pipeline_json,seed,platform,ont_profile,ref_preset,num_reads,min_len,max_len,max_coverage,call_precision,call_recall,called_snps,truth_snps,truth_het_snps,oracle_phase_accuracy,oracle_switch_error,oracle_num_phase_sets,oracle_phasing_rate_shared_het,oracle_effective_phased_recall,oracle_shared_het_recall,called_phase_accuracy,called_switch_error,called_num_phase_sets,called_phasing_rate_shared_het,called_effective_phased_recall,called_shared_het_recall,dup_segments,dup_len,dup_min_gap,len_model,ln_mean,ln_sigma,start_model,dropout_fraction,dropout_block_len
output/dup_validate_10seeds/ds0_s0.pipeline.json,0,ont,q20,plain,200,2000,6000,15,1.0,0.70375,563,800,638,1.0,0.0,2,0.9545454545454546,0.9545454545454546,1.0,0.9041916167664671,0.11178247734138973,3,0.8308457711442786,0.47335423197492166,0.6300940438871473,0,3000,500,uniform,,,uniform,0.0,
output/dup_validate_10seeds/ds0_s1.pipeline.json,1,ont,q20,plain,200,2000,6000,15,1.0,0.64625,517,800,642,1.0,0.0,1,0.9127725856697819,0.9127725856697819,1.0,0.7231404958677686,0.30962343096234307,3,0.6558265582655827,0.27258566978193144,0.5747663551401869,0,3000,500,uniform,,,uniform,0.0,
output/dup_validate_10seeds/ds0_s2.pipeline.json,2,ont,q20,plain,200,2000,6000,15,1.0,0.635,508,800,650,0.9881154499151104,0.0017035775127768314,2,0.9061538461538462,0.8953846153846153,1.0,1.0,0.0,3,0.9375,0.5307692307692308,0.5661538461538461,0,3000,500,uniform,,,uniform,0.0,
output/dup_validate_10seeds/ds0_s3.pipeline.json,3,ont,q20,plain,200,2000,6000,15,1.0,0.6475,518,800,660,1.0,0.0,2,0.9424242424242424,0.9424242424242424,1.0,0.8221476510067114,0.18983050847457628,3,0.7842105263157895,0.3712121212121212,0.5757575757575758,0,3000,500,uniform,,,uniform,0.0,
output/dup_validate_10seeds/ds0_s4.pipeline.json,4,ont,q20,plain,200,2000,6000,15,1.0,0.68125,545,800,629,0.9982788296041308,0.0034542314335060447,2,0.9236883942766295,0.9220985691573926,1.0,1.0,0.0,5,0.8842105263157894,0.534181240063593,0.604133545310016,0,3000,500,uniform,,,uniform,0.0,
output/dup_validate_10seeds/ds0_s5.pipeline.json,5,ont,q20,plain,200,2000,6000,15,1.0,0.73,584,800,629,0.9983164983164983,0.003372681281618887,1,0.9443561208267091,0.9427662957074722,1.0,0.9640883977900553,0.04189944134078212,4,0.8743961352657005,0.5548489666136724,0.6581875993640699,0,3000,500,uniform,,,uniform,0.0,
output/dup_validate_10seeds/ds0_s6.pipeline.json,6,ont,q20,plain,200,2000,6000,15,1.0,0.68375,547,800,643,0.998330550918197,0.0033444816053511705,1,0.9315707620528771,0.9300155520995335,1.0,0.6201550387596899,0.4549019607843137,3,0.6515151515151515,0.24883359253499224,0.6158631415241057,0,3000,500,uniform,,,uniform,0.0,
output/dup_validate_10seeds/ds0_s7.pipeline.json,7,ont,q20,plain,200,2000,6000,15,1.0,0.65125,521,800,650,1.0,0.0,1,0.92,0.92,1.0,1.0,0.0,2,0.9417989417989417,0.5476923076923077,0.5815384615384616,0,3000,500,uniform,,,uniform,0.0,
output/dup_validate_10seeds/ds0_s8.pipeline.json,8,ont,q20,plain,200,2000,6000,15,1.0,0.68,544,800,646,0.9982964224872232,0.0034129692832764505,1,0.9086687306501547,0.9071207430340558,1.0,0.8483965014577259,0.14411764705882352,3,0.8639798488664987,0.4504643962848297,0.6145510835913313,0,3000,500,uniform,,,uniform,0.0,
output/dup_validate_10seeds/ds0_s9.pipeline.json,9,ont,q20,plain,200,2000,6000,15,1.0,0.67,536,800,638,1.0,0.0,1,0.9420062695924765,0.9420062695924765,1.0,1.0,0.0,1,0.9442970822281167,0.5579937304075235,0.5909090909090909,0,3000,500,uniform,,,uniform,0.0,
