pipeline_json,seed,platform,ont_profile,num_reads,min_len,max_len,max_coverage,call_precision,call_recall,called_snps,truth_snps,truth_het_snps,oracle_phase_accuracy,oracle_switch_error,oracle_num_phase_sets,oracle_phasing_rate_shared_het,oracle_effective_phased_recall,oracle_shared_het_recall,called_phase_accuracy,called_switch_error,called_num_phase_sets,called_phasing_rate_shared_het,called_effective_phased_recall,called_shared_het_recall
output/exp_baseline_q20/ont_q20_r100_mc10_s0/ont_q20_r100_mc10_s0.pipeline.json,0,ont,q20,100,2000,6000,10,1.0,0.855,171,200,162,1.0,0.0,1,0.9444444444444444,0.9444444444444444,1.0,0.9924242424242424,0.015267175572519083,1,0.9850746268656716,0.808641975308642,0.8271604938271605
output/exp_baseline_q20/ont_q20_r100_mc10_s1/ont_q20_r100_mc10_s1.pipeline.json,1,ont,q20,100,2000,6000,10,1.0,0.86,172,200,166,1.0,0.0,1,0.9036144578313253,0.9036144578313253,1.0,1.0,0.0,1,0.9785714285714285,0.8253012048192772,0.8433734939759037
output/exp_baseline_q20/ont_q20_r100_mc10_s2/ont_q20_r100_mc10_s2.pipeline.json,2,ont,q20,100,2000,6000,10,1.0,0.755,151,200,142,1.0,0.0,1,0.9084507042253521,0.9084507042253521,1.0,1.0,0.0,1,0.9791666666666666,0.6619718309859155,0.676056338028169
output/exp_baseline_q20/ont_q20_r100_mc15_s0/ont_q20_r100_mc15_s0.pipeline.json,0,ont,q20,100,2000,6000,15,1.0,0.855,171,200,162,1.0,0.0,1,0.9444444444444444,0.9444444444444444,1.0,1.0,0.0,1,0.9850746268656716,0.8148148148148148,0.8271604938271605
output/exp_baseline_q20/ont_q20_r100_mc15_s1/ont_q20_r100_mc15_s1.pipeline.json,1,ont,q20,100,2000,6000,15,1.0,0.86,172,200,166,1.0,0.0,1,0.9216867469879518,0.9216867469879518,1.0,1.0,0.0,1,0.9857142857142858,0.8313253012048193,0.8433734939759037
output/exp_baseline_q20/ont_q20_r100_mc15_s2/ont_q20_r100_mc15_s2.pipeline.json,2,ont,q20,100,2000,6000,15,1.0,0.755,151,200,142,1.0,0.0,1,0.9084507042253521,0.9084507042253521,1.0,1.0,0.0,1,0.9791666666666666,0.6619718309859155,0.676056338028169
output/exp_baseline_q20/ont_q20_r100_mc20_s0/ont_q20_r100_mc20_s0.pipeline.json,0,ont,q20,100,2000,6000,20,1.0,0.855,171,200,162,1.0,0.0,1,0.9444444444444444,0.9444444444444444,1.0,1.0,0.0,1,0.9850746268656716,0.8148148148148148,0.8271604938271605
output/exp_baseline_q20/ont_q20_r100_mc20_s1/ont_q20_r100_mc20_s1.pipeline.json,1,ont,q20,100,2000,6000,20,1.0,0.86,172,200,166,1.0,0.0,1,0.9216867469879518,0.9216867469879518,1.0,1.0,0.0,1,0.9857142857142858,0.8313253012048193,0.8433734939759037
output/exp_baseline_q20/ont_q20_r100_mc20_s2/ont_q20_r100_mc20_s2.pipeline.json,2,ont,q20,100,2000,6000,20,1.0,0.755,151,200,142,1.0,0.0,1,0.9084507042253521,0.9084507042253521,1.0,1.0,0.0,1,0.9791666666666666,0.6619718309859155,0.676056338028169
output/exp_baseline_q20/ont_q20_r200_mc10_s0/ont_q20_r200_mc10_s0.pipeline.json,0,ont,q20,200,2000,6000,10,1.0,0.94,188,200,162,1.0,0.0,1,0.9691358024691358,0.9691358024691358,1.0,1.0,0.0,1,0.9933774834437086,0.9259259259259259,0.9320987654320988
output/exp_baseline_q20/ont_q20_r200_mc10_s1/ont_q20_r200_mc10_s1.pipeline.json,1,ont,q20,200,2000,6000,10,1.0,0.92,184,200,166,1.0,0.0,1,0.9337349397590361,0.9337349397590361,1.0,1.0,0.0,1,0.9866666666666667,0.891566265060241,0.9036144578313253
output/exp_baseline_q20/ont_q20_r200_mc10_s2/ont_q20_r200_mc10_s2.pipeline.json,2,ont,q20,200,2000,6000,10,1.0,0.9,180,200,142,1.0,0.0,1,0.9295774647887324,0.9295774647887324,1.0,1.0,0.0,1,1.0,0.8732394366197183,0.8732394366197183
output/exp_baseline_q20/ont_q20_r200_mc15_s0/ont_q20_r200_mc15_s0.pipeline.json,0,ont,q20,200,2000,6000,15,1.0,0.94,188,200,162,1.0,0.0,1,0.9691358024691358,0.9691358024691358,1.0,1.0,0.0,1,0.9933774834437086,0.9259259259259259,0.9320987654320988
output/exp_baseline_q20/ont_q20_r200_mc15_s1/ont_q20_r200_mc15_s1.pipeline.json,1,ont,q20,200,2000,6000,15,1.0,0.92,184,200,166,1.0,0.0,1,0.9457831325301205,0.9457831325301205,1.0,1.0,0.0,1,0.9866666666666667,0.891566265060241,0.9036144578313253
output/exp_baseline_q20/ont_q20_r200_mc15_s2/ont_q20_r200_mc15_s2.pipeline.json,2,ont,q20,200,2000,6000,15,1.0,0.9,180,200,142,1.0,0.0,1,0.9295774647887324,0.9295774647887324,1.0,1.0,0.0,1,1.0,0.8732394366197183,0.8732394366197183
output/exp_baseline_q20/ont_q20_r200_mc20_s0/ont_q20_r200_mc20_s0.pipeline.json,0,ont,q20,200,2000,6000,20,1.0,0.94,188,200,162,1.0,0.0,1,0.9691358024691358,0.9691358024691358,1.0,1.0,0.0,1,0.9933774834437086,0.9259259259259259,0.9320987654320988
output/exp_baseline_q20/ont_q20_r200_mc20_s1/ont_q20_r200_mc20_s1.pipeline.json,1,ont,q20,200,2000,6000,20,1.0,0.92,184,200,166,1.0,0.0,1,0.9457831325301205,0.9457831325301205,1.0,1.0,0.0,1,0.9866666666666667,0.891566265060241,0.9036144578313253
output/exp_baseline_q20/ont_q20_r200_mc20_s2/ont_q20_r200_mc20_s2.pipeline.json,2,ont,q20,200,2000,6000,20,1.0,0.9,180,200,142,1.0,0.0,1,0.9295774647887324,0.9295774647887324,1.0,1.0,0.0,1,1.0,0.8732394366197183,0.8732394366197183
output/exp_baseline_q20/ont_q20_r400_mc10_s0/ont_q20_r400_mc10_s0.pipeline.json,0,ont,q20,400,2000,6000,10,1.0,0.975,195,200,162,1.0,0.0,1,0.9876543209876543,0.9876543209876543,1.0,1.0,0.0,1,0.9873417721518988,0.9629629629629629,0.9753086419753086
output/exp_baseline_q20/ont_q20_r400_mc10_s1/ont_q20_r400_mc10_s1.pipeline.json,1,ont,q20,400,2000,6000,10,1.0,0.94,188,200,166,1.0,0.0,1,0.9698795180722891,0.9698795180722891,1.0,1.0,0.0,1,1.0,0.927710843373494,0.927710843373494
output/exp_baseline_q20/ont_q20_r400_mc10_s2/ont_q20_r400_mc10_s2.pipeline.json,2,ont,q20,400,2000,6000,10,1.0,0.935,187,200,142,1.0,0.0,1,0.9647887323943662,0.9647887323943662,1.0,1.0,0.0,1,0.9923076923076923,0.9084507042253521,0.9154929577464789
output/exp_baseline_q20/ont_q20_r400_mc15_s0/ont_q20_r400_mc15_s0.pipeline.json,0,ont,q20,400,2000,6000,15,1.0,0.975,195,200,162,1.0,0.0,1,0.9876543209876543,0.9876543209876543,1.0,1.0,0.0,1,0.9873417721518988,0.9629629629629629,0.9753086419753086
output/exp_baseline_q20/ont_q20_r400_mc15_s1/ont_q20_r400_mc15_s1.pipeline.json,1,ont,q20,400,2000,6000,15,1.0,0.94,188,200,166,1.0,0.0,1,0.9698795180722891,0.9698795180722891,1.0,1.0,0.0,1,1.0,0.927710843373494,0.927710843373494
output/exp_baseline_q20/ont_q20_r400_mc15_s2/ont_q20_r400_mc15_s2.pipeline.json,2,ont,q20,400,2000,6000,15,1.0,0.935,187,200,142,1.0,0.0,1,0.9647887323943662,0.9647887323943662,1.0,1.0,0.0,1,0.9923076923076923,0.9084507042253521,0.9154929577464789
output/exp_baseline_q20/ont_q20_r400_mc20_s0/ont_q20_r400_mc20_s0.pipeline.json,0,ont,q20,400,2000,6000,20,1.0,0.975,195,200,162,1.0,0.0,1,0.9876543209876543,0.9876543209876543,1.0,1.0,0.0,1,0.9873417721518988,0.9629629629629629,0.9753086419753086
output/exp_baseline_q20/ont_q20_r400_mc20_s1/ont_q20_r400_mc20_s1.pipeline.json,1,ont,q20,400,2000,6000,20,1.0,0.94,188,200,166,1.0,0.0,1,0.9698795180722891,0.9698795180722891,1.0,1.0,0.0,1,1.0,0.927710843373494,0.927710843373494
output/exp_baseline_q20/ont_q20_r400_mc20_s2/ont_q20_r400_mc20_s2.pipeline.json,2,ont,q20,400,2000,6000,20,1.0,0.935,187,200,142,1.0,0.0,1,0.9647887323943662,0.9647887323943662,1.0,1.0,0.0,1,0.9923076923076923,0.9084507042253521,0.9154929577464789
output/exp_baseline_q20/ont_q20_r50_mc10_s0/ont_q20_r50_mc10_s0.pipeline.json,0,ont,q20,50,2000,6000,10,1.0,0.695,139,200,162,1.0,0.0,1,0.8950617283950617,0.8950617283950617,1.0,1.0,0.0,1,0.9711538461538461,0.6234567901234568,0.6419753086419753
output/exp_baseline_q20/ont_q20_r50_mc10_s1/ont_q20_r50_mc10_s1.pipeline.json,1,ont,q20,50,2000,6000,10,1.0,0.71,142,200,166,1.0,0.0,1,0.8313253012048193,0.8313253012048193,1.0,1.0,0.0,1,0.9636363636363636,0.6385542168674698,0.6626506024096386
output/exp_baseline_q20/ont_q20_r50_mc10_s2/ont_q20_r50_mc10_s2.pipeline.json,2,ont,q20,50,2000,6000,10,1.0,0.62,124,200,142,1.0,0.0,1,0.8802816901408451,0.8802816901408451,1.0,1.0,0.0,2,0.7,0.34507042253521125,0.49295774647887325
output/exp_baseline_q20/ont_q20_r50_mc15_s0/ont_q20_r50_mc15_s0.pipeline.json,0,ont,q20,50,2000,6000,15,1.0,0.695,139,200,162,1.0,0.0,1,0.8950617283950617,0.8950617283950617,1.0,1.0,0.0,1,0.9711538461538461,0.6234567901234568,0.6419753086419753
output/exp_baseline_q20/ont_q20_r50_mc15_s1/ont_q20_r50_mc15_s1.pipeline.json,1,ont,q20,50,2000,6000,15,1.0,0.71,142,200,166,1.0,0.0,1,0.8493975903614458,0.8493975903614458,1.0,1.0,0.0,1,0.9727272727272728,0.6445783132530121,0.6626506024096386
output/exp_baseline_q20/ont_q20_r50_mc15_s2/ont_q20_r50_mc15_s2.pipeline.json,2,ont,q20,50,2000,6000,15,1.0,0.62,124,200,142,1.0,0.0,1,0.8802816901408451,0.8802816901408451,1.0,1.0,0.0,2,0.7,0.34507042253521125,0.49295774647887325
output/exp_baseline_q20/ont_q20_r50_mc20_s0/ont_q20_r50_mc20_s0.pipeline.json,0,ont,q20,50,2000,6000,20,1.0,0.695,139,200,162,1.0,0.0,1,0.8950617283950617,0.8950617283950617,1.0,1.0,0.0,1,0.9711538461538461,0.6234567901234568,0.6419753086419753
output/exp_baseline_q20/ont_q20_r50_mc20_s1/ont_q20_r50_mc20_s1.pipeline.json,1,ont,q20,50,2000,6000,20,1.0,0.71,142,200,166,1.0,0.0,1,0.8493975903614458,0.8493975903614458,1.0,1.0,0.0,1,0.9727272727272728,0.6445783132530121,0.6626506024096386
output/exp_baseline_q20/ont_q20_r50_mc20_s2/ont_q20_r50_mc20_s2.pipeline.json,2,ont,q20,50,2000,6000,20,1.0,0.62,124,200,142,1.0,0.0,1,0.8802816901408451,0.8802816901408451,1.0,1.0,0.0,2,0.7,0.34507042253521125,0.49295774647887325
