pipeline_json,prefix,seed,time_total_sec,ref_preset,ref_length,num_snps,het_rate,avoid_regions,platform,ont_profile,map_preset,num_reads,min_len,max_len,len_model,ln_mean,ln_sigma,start_model,dropout_fraction,dropout_block_len,dup_segments,dup_len,dup_min_gap,burst_prob,burst_count,burst_len,burst_mult,num_indels,indel_min_len,indel_max_len,indel_het_rate,phase_snps_only,eval_snps_only,call_min_mapq,call_min_baseq,max_coverage,min_mapq,min_baseq,call_precision,call_recall,truth_snps,truth_het_snps,called_snps,shared_snps,oracle_phase_accuracy,oracle_switch_error,oracle_num_phase_sets,oracle_effective_phased_recall,oracle_phasing_rate_shared_het,oracle_shared_het_recall,called_phase_accuracy,called_switch_error,called_num_phase_sets,called_effective_phased_recall,called_phasing_rate_shared_het,called_shared_het_recall
output/experiments_all/07_interaction_dup_x_dropout/dup0_df0.0_s0.pipeline.json,output/experiments_all/07_interaction_dup_x_dropout/dup0_df0.0_s0,0,2.4482341849943623,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,,,20,15,15,20,20,1.0,0.70375,800,638,563,563,1.0,0.0,2,0.9545454545454546,0.9545454545454546,1.0,0.9041916167664671,0.11178247734138973,3,0.47335423197492166,0.8308457711442786,0.6300940438871473
output/experiments_all/07_interaction_dup_x_dropout/dup0_df0.0_s1.pipeline.json,output/experiments_all/07_interaction_dup_x_dropout/dup0_df0.0_s1,1,2.5434554499806836,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,,,20,15,15,20,20,1.0,0.64625,800,642,517,517,1.0,0.0,1,0.9127725856697819,0.9127725856697819,1.0,0.7231404958677686,0.30962343096234307,3,0.27258566978193144,0.6558265582655827,0.5747663551401869
output/experiments_all/07_interaction_dup_x_dropout/dup0_df0.0_s2.pipeline.json,output/experiments_all/07_interaction_dup_x_dropout/dup0_df0.0_s2,2,2.5607861320022494,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,,,20,15,15,20,20,1.0,0.635,800,650,508,508,0.9881154499151104,0.0017035775127768314,2,0.8953846153846153,0.9061538461538462,1.0,1.0,0.0,3,0.5307692307692308,0.9375,0.5661538461538461
output/experiments_all/07_interaction_dup_x_dropout/dup0_df0.1_s0.pipeline.json,output/experiments_all/07_interaction_dup_x_dropout/dup0_df0.1_s0,0,2.5796230250271037,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,,,20,15,15,20,20,1.0,0.60625,800,638,485,485,1.0,0.0,3,0.8040752351097179,0.8040752351097179,1.0,1.0,0.0,6,0.34169278996865204,0.6337209302325582,0.5391849529780565
output/experiments_all/07_interaction_dup_x_dropout/dup0_df0.1_s1.pipeline.json,output/experiments_all/07_interaction_dup_x_dropout/dup0_df0.1_s1,1,2.463736990990583,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,,,20,15,15,20,20,1.0,0.615,800,642,492,492,1.0,0.0,3,0.8722741433021807,0.8722741433021807,1.0,1.0,0.0,7,0.2554517133956386,0.478134110787172,0.5342679127725857
output/experiments_all/07_interaction_dup_x_dropout/dup0_df0.1_s2.pipeline.json,output/experiments_all/07_interaction_dup_x_dropout/dup0_df0.1_s2,2,2.5279479589953553,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,,,20,15,15,20,20,1.0,0.62375,800,650,499,499,1.0,0.0,2,0.8907692307692308,0.8907692307692308,1.0,1.0,0.0,8,0.32153846153846155,0.5821727019498607,0.5523076923076923
output/experiments_all/07_interaction_dup_x_dropout/dup5_df0.0_s0.pipeline.json,output/experiments_all/07_interaction_dup_x_dropout/dup5_df0.0_s0,0,2.760017221007729,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,5,3000,500,0.0,1,200,5.0,0,1,5,0.5,,,20,15,15,20,20,1.0,0.69,800,638,552,552,0.9982758620689656,0.0034602076124567475,2,0.9075235109717869,0.9090909090909091,1.0,0.6333333333333333,0.373134328358209,2,0.26802507836990597,0.690537084398977,0.6128526645768025
output/experiments_all/07_interaction_dup_x_dropout/dup5_df0.0_s1.pipeline.json,output/experiments_all/07_interaction_dup_x_dropout/dup5_df0.0_s1,1,2.6972779229981825,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,5,3000,500,0.0,1,200,5.0,0,1,5,0.5,,,20,15,15,20,20,1.0,0.65125,800,642,521,521,1.0,0.0,1,0.9314641744548287,0.9314641744548287,1.0,0.7518248175182481,0.2647058823529412,2,0.32087227414330216,0.7425474254742548,0.5747663551401869
output/experiments_all/07_interaction_dup_x_dropout/dup5_df0.0_s2.pipeline.json,output/experiments_all/07_interaction_dup_x_dropout/dup5_df0.0_s2,2,2.5717251330206636,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,5,3000,500,0.0,1,200,5.0,0,1,5,0.5,,,20,15,15,20,20,1.0,0.62625,800,650,501,501,1.0,0.0,2,0.9107692307692308,0.9107692307692308,1.0,1.0,0.0,3,0.47384615384615386,0.8579387186629527,0.5523076923076923
output/experiments_all/07_interaction_dup_x_dropout/dup5_df0.1_s0.pipeline.json,output/experiments_all/07_interaction_dup_x_dropout/dup5_df0.1_s0,0,2.4044740080134943,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.0,1,200,5.0,0,1,5,0.5,,,20,15,15,20,20,1.0,0.595,800,638,476,476,1.0,0.0,5,0.8573667711598746,0.8573667711598746,1.0,0.9545454545454546,0.033783783783783786,6,0.2304075235109718,0.4723926380368098,0.5109717868338558
output/experiments_all/07_interaction_dup_x_dropout/dup5_df0.1_s1.pipeline.json,output/experiments_all/07_interaction_dup_x_dropout/dup5_df0.1_s1,1,2.4177252000081353,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.0,1,200,5.0,0,1,5,0.5,,,20,15,15,20,20,1.0,0.5425,800,642,434,434,0.9963302752293578,0.0073937153419593345,4,0.8457943925233645,0.8489096573208723,1.0,0.9895833333333334,0.011111111111111112,6,0.14797507788161993,0.33217993079584773,0.4501557632398754
output/experiments_all/07_interaction_dup_x_dropout/dup5_df0.1_s2.pipeline.json,output/experiments_all/07_interaction_dup_x_dropout/dup5_df0.1_s2,2,2.482454966986552,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.0,1,200,5.0,0,1,5,0.5,,,20,15,15,20,20,1.0,0.6125,800,650,490,490,1.0,0.0,4,0.8615384615384616,0.8615384615384616,1.0,1.0,0.0,5,0.28923076923076924,0.5310734463276836,0.5446153846153846
