pipeline_json,prefix,seed,time_total_sec,ref_preset,ref_length,num_snps,het_rate,avoid_regions,platform,ont_profile,map_preset,num_reads,min_len,max_len,len_model,ln_mean,ln_sigma,start_model,dropout_fraction,dropout_block_len,dup_segments,dup_len,dup_min_gap,burst_prob,burst_count,burst_len,burst_mult,num_indels,indel_min_len,indel_max_len,indel_het_rate,phase_snps_only,eval_snps_only,call_min_mapq,call_min_baseq,max_coverage,min_mapq,min_baseq,call_precision,call_recall,truth_snps,truth_het_snps,called_snps,shared_snps,oracle_phase_accuracy,oracle_switch_error,oracle_num_phase_sets,oracle_effective_phased_recall,oracle_phasing_rate_shared_het,oracle_shared_het_recall,called_phase_accuracy,called_switch_error,called_num_phase_sets,called_effective_phased_recall,called_phasing_rate_shared_het,called_shared_het_recall
output/experiments_draft/04_ablation_bursts/bp0.0_s0.pipeline.json,output/experiments_draft/04_ablation_bursts/bp0.0_s0,0,4.4993664578069,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,2,300,8.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.70375,800,638,563,563,1.0,0.0,2,0.9545454545454546,0.9545454545454546,1.0,0.9041916167664671,0.11178247734138973,3,0.47335423197492166,0.8308457711442786,0.6300940438871473
output/experiments_draft/04_ablation_bursts/bp0.0_s1.pipeline.json,output/experiments_draft/04_ablation_bursts/bp0.0_s1,1,4.139491041889414,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,2,300,8.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.64625,800,642,517,517,1.0,0.0,1,0.9127725856697819,0.9127725856697819,1.0,0.7231404958677686,0.30962343096234307,3,0.27258566978193144,0.6558265582655827,0.5747663551401869
output/experiments_draft/04_ablation_bursts/bp0.0_s2.pipeline.json,output/experiments_draft/04_ablation_bursts/bp0.0_s2,2,4.118487166939303,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,2,300,8.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.635,800,650,508,508,0.9881154499151104,0.0017035775127768314,2,0.8953846153846153,0.9061538461538462,1.0,1.0,0.0,3,0.5307692307692308,0.9375,0.5661538461538461
output/experiments_draft/04_ablation_bursts/bp0.0_s3.pipeline.json,output/experiments_draft/04_ablation_bursts/bp0.0_s3,3,4.164674874860793,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,2,300,8.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.6475,800,660,518,518,1.0,0.0,2,0.9424242424242424,0.9424242424242424,1.0,0.8221476510067114,0.18983050847457628,3,0.3712121212121212,0.7842105263157895,0.5757575757575758
output/experiments_draft/04_ablation_bursts/bp0.0_s4.pipeline.json,output/experiments_draft/04_ablation_bursts/bp0.0_s4,4,4.998033209005371,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,2,300,8.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.68125,800,629,545,545,0.9982788296041308,0.0034542314335060447,2,0.9220985691573926,0.9236883942766295,1.0,1.0,0.0,5,0.534181240063593,0.8842105263157894,0.604133545310016
output/experiments_draft/04_ablation_bursts/bp0.3_s0.pipeline.json,output/experiments_draft/04_ablation_bursts/bp0.3_s0,0,5.348291374975815,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.3,2,300,8.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.665,800,638,532,532,1.0,0.0,1,0.9310344827586207,0.9310344827586207,1.0,0.78125,0.2204724409448819,2,0.31347962382445144,0.6900269541778976,0.5815047021943573
output/experiments_draft/04_ablation_bursts/bp0.3_s1.pipeline.json,output/experiments_draft/04_ablation_bursts/bp0.3_s1,1,3.343627791851759,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.3,2,300,8.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.66625,800,642,533,533,1.0,0.0,1,0.9221183800623053,0.9221183800623053,1.0,1.0,0.0,2,0.5482866043613707,0.9214659685863874,0.5950155763239875
output/experiments_draft/04_ablation_bursts/bp0.3_s2.pipeline.json,output/experiments_draft/04_ablation_bursts/bp0.3_s2,2,3.2508528328035027,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.3,2,300,8.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.67125,800,650,537,537,1.0,0.0,1,0.9261538461538461,0.9261538461538461,1.0,0.7430555555555556,0.23776223776223776,2,0.3292307692307692,0.7272727272727273,0.6092307692307692
output/experiments_draft/04_ablation_bursts/bp0.3_s3.pipeline.json,output/experiments_draft/04_ablation_bursts/bp0.3_s3,3,3.1270963330753148,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.3,2,300,8.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.685,800,660,548,548,0.9967897271268058,0.006430868167202572,1,0.9409090909090909,0.943939393939394,1.0,0.553133514986376,0.008241758241758242,3,0.30757575757575756,0.8951219512195122,0.6212121212121212
output/experiments_draft/04_ablation_bursts/bp0.3_s4.pipeline.json,output/experiments_draft/04_ablation_bursts/bp0.3_s4,4,3.1305779579561204,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.3,2,300,8.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.715,800,629,572,572,0.9982517482517482,0.0035026269702276708,1,0.9077901430842608,0.9093799682034976,1.0,0.7525773195876289,0.2413793103448276,1,0.3481717011128776,0.7167487684729064,0.6454689984101749
