pipeline_json,prefix,seed,time_total_sec,ref_preset,ref_length,num_snps,het_rate,avoid_regions,platform,ont_profile,map_preset,num_reads,min_len,max_len,len_model,ln_mean,ln_sigma,start_model,dropout_fraction,dropout_block_len,dup_segments,dup_len,dup_min_gap,burst_prob,burst_count,burst_len,burst_mult,num_indels,indel_min_len,indel_max_len,indel_het_rate,phase_snps_only,eval_snps_only,call_min_mapq,call_min_baseq,max_coverage,min_mapq,min_baseq,call_precision,call_recall,truth_snps,truth_het_snps,called_snps,shared_snps,oracle_phase_accuracy,oracle_switch_error,oracle_num_phase_sets,oracle_effective_phased_recall,oracle_phasing_rate_shared_het,oracle_shared_het_recall,called_phase_accuracy,called_switch_error,called_num_phase_sets,called_effective_phased_recall,called_phasing_rate_shared_het,called_shared_het_recall
output/experiments_draft/05_ablation_indels/indel0_s0.pipeline.json,output/experiments_draft/05_ablation_indels/indel0_s0,0,2.68880949402228,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.70375,800,638,563,563,1.0,0.0,2,0.9545454545454546,0.9545454545454546,1.0,0.9041916167664671,0.11178247734138973,3,0.47335423197492166,0.8308457711442786,0.6300940438871473
output/experiments_draft/05_ablation_indels/indel0_s1.pipeline.json,output/experiments_draft/05_ablation_indels/indel0_s1,1,2.5885276808403432,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.64625,800,642,517,517,1.0,0.0,1,0.9127725856697819,0.9127725856697819,1.0,0.7231404958677686,0.30962343096234307,3,0.27258566978193144,0.6558265582655827,0.5747663551401869
output/experiments_draft/05_ablation_indels/indel0_s2.pipeline.json,output/experiments_draft/05_ablation_indels/indel0_s2,2,2.578965375898406,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.635,800,650,508,508,0.9881154499151104,0.0017035775127768314,2,0.8953846153846153,0.9061538461538462,1.0,1.0,0.0,3,0.5307692307692308,0.9375,0.5661538461538461
output/experiments_draft/05_ablation_indels/indel0_s3.pipeline.json,output/experiments_draft/05_ablation_indels/indel0_s3,3,2.508903793990612,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.6475,800,660,518,518,1.0,0.0,2,0.9424242424242424,0.9424242424242424,1.0,0.8221476510067114,0.18983050847457628,3,0.3712121212121212,0.7842105263157895,0.5757575757575758
output/experiments_draft/05_ablation_indels/indel0_s4.pipeline.json,output/experiments_draft/05_ablation_indels/indel0_s4,4,2.6329967451747507,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.68125,800,629,545,545,0.9982788296041308,0.0034542314335060447,2,0.9220985691573926,0.9236883942766295,1.0,1.0,0.0,5,0.534181240063593,0.8842105263157894,0.604133545310016
output/experiments_draft/05_ablation_indels/indel200_s0.pipeline.json,output/experiments_draft/05_ablation_indels/indel200_s0,0,2.6188774458132684,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,200,1,5,0.5,True,True,20,15,15,20,20,0.9962335216572504,0.66125,800,638,531,529,1.0,0.0,2,0.8949843260188087,0.8949843260188087,1.0,1.0,0.0,2,0.5109717868338558,0.8763440860215054,0.5830721003134797
output/experiments_draft/05_ablation_indels/indel200_s1.pipeline.json,output/experiments_draft/05_ablation_indels/indel200_s1,1,2.64339037402533,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,200,1,5,0.5,True,True,20,15,15,20,20,0.9942748091603053,0.65125,800,642,524,521,1.0,0.0,1,0.9314641744548287,0.9314641744548287,1.0,1.0,0.0,4,0.48442367601246106,0.8474114441416893,0.5716510903426791
output/experiments_draft/05_ablation_indels/indel200_s2.pipeline.json,output/experiments_draft/05_ablation_indels/indel200_s2,2,2.6730598339345306,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,200,1,5,0.5,True,True,20,15,15,20,20,0.9980276134122288,0.6325,800,650,507,506,1.0,0.0,2,0.9446153846153846,0.9446153846153846,1.0,1.0,0.0,7,0.49538461538461537,0.8969359331476323,0.5523076923076923
output/experiments_draft/05_ablation_indels/indel200_s3.pipeline.json,output/experiments_draft/05_ablation_indels/indel200_s3,3,2.7499482959974557,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,200,1,5,0.5,True,True,20,15,15,20,20,1.0,0.66875,800,660,535,535,1.0,0.0,2,0.896969696969697,0.896969696969697,1.0,1.0,0.0,3,0.4696969696969697,0.775,0.6060606060606061
output/experiments_draft/05_ablation_indels/indel200_s4.pipeline.json,output/experiments_draft/05_ablation_indels/indel200_s4,4,2.701394387986511,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,200,1,5,0.5,True,True,20,15,15,20,20,0.994328922495274,0.6575,800,629,529,526,0.9983050847457627,0.003401360544217687,2,0.9364069952305246,0.9379968203497615,1.0,1.0,0.0,4,0.505564387917329,0.8833333333333333,0.5723370429252782
