pipeline_json,prefix,seed,time_total_sec,ref_preset,ref_length,num_snps,het_rate,avoid_regions,platform,ont_profile,map_preset,num_reads,min_len,max_len,len_model,ln_mean,ln_sigma,start_model,dropout_fraction,dropout_block_len,dup_segments,dup_len,dup_min_gap,burst_prob,burst_count,burst_len,burst_mult,num_indels,indel_min_len,indel_max_len,indel_het_rate,phase_snps_only,eval_snps_only,call_min_mapq,call_min_baseq,max_coverage,min_mapq,min_baseq,call_precision,call_recall,truth_snps,truth_het_snps,called_snps,shared_snps,oracle_phase_accuracy,oracle_switch_error,oracle_num_phase_sets,oracle_effective_phased_recall,oracle_phasing_rate_shared_het,oracle_shared_het_recall,called_phase_accuracy,called_switch_error,called_num_phase_sets,called_effective_phased_recall,called_phasing_rate_shared_het,called_shared_het_recall
output/experiments_draft/06_ablation_lenmodel/lognormal_s0.pipeline.json,output/experiments_draft/06_ablation_lenmodel/lognormal_s0,0,2.6278516098391265,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,lognormal,8.3,0.6,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.6925,800,638,554,554,1.0,0.0,1,0.9310344827586207,0.9310344827586207,1.0,1.0,0.0,1,0.5219435736677116,0.8494897959183674,0.6144200626959248
output/experiments_draft/06_ablation_lenmodel/lognormal_s1.pipeline.json,output/experiments_draft/06_ablation_lenmodel/lognormal_s1,1,2.7785352419596165,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,lognormal,8.3,0.6,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.67875,800,642,543,543,1.0,0.0,2,0.9236760124610592,0.9236760124610592,1.0,0.9050445103857567,0.07164179104477612,2,0.4750778816199377,0.8663239074550129,0.6059190031152648
output/experiments_draft/06_ablation_lenmodel/lognormal_s2.pipeline.json,output/experiments_draft/06_ablation_lenmodel/lognormal_s2,2,2.6627119740005583,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,lognormal,8.3,0.6,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.6775,800,650,542,542,1.0,0.0,1,0.9538461538461539,0.9538461538461539,1.0,0.7195571955719557,0.34814814814814815,1,0.3,0.6826196473551638,0.6107692307692307
output/experiments_draft/06_ablation_lenmodel/lognormal_s3.pipeline.json,output/experiments_draft/06_ablation_lenmodel/lognormal_s3,3,2.766668416094035,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,lognormal,8.3,0.6,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.6975,800,660,558,558,1.0,0.0,2,0.9136363636363637,0.9136363636363637,1.0,1.0,0.0,2,0.5863636363636363,0.9170616113744076,0.6393939393939394
output/experiments_draft/06_ablation_lenmodel/lognormal_s4.pipeline.json,output/experiments_draft/06_ablation_lenmodel/lognormal_s4,4,2.7725045359693468,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,lognormal,8.3,0.6,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.7575,800,629,606,606,1.0,0.0,1,0.9348171701112877,0.9348171701112877,1.0,0.6479750778816199,0.4043887147335423,2,0.33068362480127184,0.7362385321100917,0.6931637519872814
output/experiments_draft/06_ablation_lenmodel/uniform_s0.pipeline.json,output/experiments_draft/06_ablation_lenmodel/uniform_s0,0,2.7545807959977537,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.70375,800,638,563,563,1.0,0.0,2,0.9545454545454546,0.9545454545454546,1.0,0.9041916167664671,0.11178247734138973,3,0.47335423197492166,0.8308457711442786,0.6300940438871473
output/experiments_draft/06_ablation_lenmodel/uniform_s1.pipeline.json,output/experiments_draft/06_ablation_lenmodel/uniform_s1,1,2.6237738218624145,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.64625,800,642,517,517,1.0,0.0,1,0.9127725856697819,0.9127725856697819,1.0,0.7231404958677686,0.30962343096234307,3,0.27258566978193144,0.6558265582655827,0.5747663551401869
output/experiments_draft/06_ablation_lenmodel/uniform_s2.pipeline.json,output/experiments_draft/06_ablation_lenmodel/uniform_s2,2,2.6028877848293632,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.635,800,650,508,508,0.9881154499151104,0.0017035775127768314,2,0.8953846153846153,0.9061538461538462,1.0,1.0,0.0,3,0.5307692307692308,0.9375,0.5661538461538461
output/experiments_draft/06_ablation_lenmodel/uniform_s3.pipeline.json,output/experiments_draft/06_ablation_lenmodel/uniform_s3,3,2.55800747894682,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.6475,800,660,518,518,1.0,0.0,2,0.9424242424242424,0.9424242424242424,1.0,0.8221476510067114,0.18983050847457628,3,0.3712121212121212,0.7842105263157895,0.5757575757575758
output/experiments_draft/06_ablation_lenmodel/uniform_s4.pipeline.json,output/experiments_draft/06_ablation_lenmodel/uniform_s4,4,2.6317173701245338,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.68125,800,629,545,545,0.9982788296041308,0.0034542314335060447,2,0.9220985691573926,0.9236883942766295,1.0,1.0,0.0,5,0.534181240063593,0.8842105263157894,0.604133545310016
