pipeline_json,prefix,seed,time_total_sec,ref_preset,ref_length,num_snps,het_rate,avoid_regions,platform,ont_profile,map_preset,num_reads,min_len,max_len,len_model,ln_mean,ln_sigma,start_model,dropout_fraction,dropout_block_len,dup_segments,dup_len,dup_min_gap,burst_prob,burst_count,burst_len,burst_mult,num_indels,indel_min_len,indel_max_len,indel_het_rate,phase_snps_only,eval_snps_only,call_min_mapq,call_min_baseq,max_coverage,min_mapq,min_baseq,call_precision,call_recall,truth_snps,truth_het_snps,called_snps,shared_snps,oracle_phase_accuracy,oracle_switch_error,oracle_num_phase_sets,oracle_effective_phased_recall,oracle_phasing_rate_shared_het,oracle_shared_het_recall,called_phase_accuracy,called_switch_error,called_num_phase_sets,called_effective_phased_recall,called_phasing_rate_shared_het,called_shared_het_recall,scenario_label,config_label
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__balanced_s0.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__balanced_s0,0,3.0459324339990417,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,8,20,10,1.0,0.7175,800,638,574,574,1.0,0.0,1,0.9937304075235108,0.9937304075235108,1.0,1.0,0.0,2,0.6018808777429467,0.9297820823244553,0.6473354231974922,baseline,balanced
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__balanced_s1.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__balanced_s1,1,3.092849242999364,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,8,20,10,1.0,0.66375,800,642,531,531,0.9984177215189872,0.0031695721077654,1,0.9828660436137072,0.9844236760124612,1.0,1.0,0.0,1,0.5607476635514018,0.9399477806788512,0.5965732087227414,baseline,balanced
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__balanced_s2.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__balanced_s2,2,3.041469687999779,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,8,20,10,1.0,0.65375,800,650,523,523,1.0,0.0,1,0.9861538461538462,0.9861538461538462,1.0,1.0,0.0,1,0.563076923076923,0.9556135770234988,0.5892307692307692,baseline,balanced
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__balanced_s3.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__balanced_s3,3,2.9684919720002654,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,8,20,10,1.0,0.665,800,660,532,532,1.0,0.0,1,0.9984848484848484,0.9984848484848484,1.0,0.8672839506172839,0.1733746130030959,1,0.4257575757575758,0.8223350253807107,0.5969696969696969,baseline,balanced
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__balanced_s4.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__balanced_s4,4,2.962837123001009,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,8,20,10,1.0,0.69375,800,629,555,555,1.0,0.0,1,0.985691573926868,0.985691573926868,1.0,1.0,0.0,2,0.5723370429252782,0.9254498714652956,0.6184419713831478,baseline,balanced
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__default_s0.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__default_s0,0,2.953454023998347,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.70375,800,638,563,563,1.0,0.0,2,0.9545454545454546,0.9545454545454546,1.0,0.9041916167664672,0.1117824773413897,3,0.4733542319749216,0.8308457711442786,0.6300940438871473,baseline,default
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__default_s1.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__default_s1,1,2.9638418840004306,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.64625,800,642,517,517,1.0,0.0,1,0.912772585669782,0.912772585669782,1.0,0.7231404958677686,0.309623430962343,3,0.2725856697819314,0.6558265582655827,0.5747663551401869,baseline,default
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__default_s2.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__default_s2,2,2.946569695001017,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.635,800,650,508,508,0.9881154499151104,0.0017035775127768,2,0.8953846153846153,0.9061538461538462,1.0,1.0,0.0,3,0.5307692307692308,0.9375,0.5661538461538461,baseline,default
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__default_s3.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__default_s3,3,2.899596486000519,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.6475,800,660,518,518,1.0,0.0,2,0.9424242424242424,0.9424242424242424,1.0,0.8221476510067114,0.1898305084745762,3,0.3712121212121212,0.7842105263157895,0.5757575757575758,baseline,default
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__default_s4.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__default_s4,4,3.1613813510011823,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.68125,800,629,545,545,0.9982788296041308,0.003454231433506,2,0.9220985691573926,0.9236883942766296,1.0,1.0,0.0,5,0.534181240063593,0.8842105263157894,0.604133545310016,baseline,default
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__runtime_s0.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__runtime_s0,0,2.955998465999073,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,6,20,10,1.0,0.7175,800,638,574,574,1.0,0.0,1,0.9937304075235108,0.9937304075235108,1.0,1.0,0.0,2,0.6018808777429467,0.9297820823244553,0.6473354231974922,baseline,runtime
