pipeline_json,seed,called_shared_het_recall,called_phasing_rate_shared_het,called_phase_accuracy,called_effective_phased_recall,called_loss_calling_or_sites,called_loss_unphased,called_loss_switch_or_phase_error,called_effective_phased_recall_check
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__balanced_s0.pipeline.json,0,0.6473354231974922,0.9297820823244553,1.0,0.6018808777429467,0.35266457680250785,0.04545454545454543,0.0,0.6018808777429467
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__balanced_s1.pipeline.json,1,0.5965732087227414,0.9399477806788512,1.0,0.5607476635514018,0.40342679127725856,0.03582554517133955,0.0,0.5607476635514019
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__balanced_s2.pipeline.json,2,0.5892307692307692,0.9556135770234988,1.0,0.563076923076923,0.4107692307692308,0.026153846153846087,0.0,0.5630769230769231
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__balanced_s3.pipeline.json,3,0.5969696969696969,0.8223350253807107,0.8672839506172839,0.4257575757575758,0.40303030303030307,0.10606060606060604,0.06515151515151517,0.4257575757575757
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__balanced_s4.pipeline.json,4,0.6184419713831478,0.9254498714652956,1.0,0.5723370429252782,0.3815580286168522,0.046104928457869676,0.0,0.5723370429252782
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__default_s0.pipeline.json,0,0.6300940438871473,0.8308457711442786,0.9041916167664672,0.4733542319749216,0.3699059561128527,0.10658307210031348,0.050156739811912154,0.47335423197492166
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__default_s1.pipeline.json,1,0.5747663551401869,0.6558265582655827,0.7231404958677686,0.2725856697819314,0.4252336448598131,0.19781931464174454,0.10436137071651089,0.2725856697819315
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__default_s2.pipeline.json,2,0.5661538461538461,0.9375,1.0,0.5307692307692308,0.4338461538461539,0.03538461538461538,0.0,0.5307692307692308
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__default_s3.pipeline.json,3,0.5757575757575758,0.7842105263157895,0.8221476510067114,0.3712121212121212,0.4242424242424242,0.12424242424242425,0.08030303030303032,0.3712121212121212
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__default_s4.pipeline.json,4,0.604133545310016,0.8842105263157894,1.0,0.534181240063593,0.39586645468998405,0.06995230524642292,0.0,0.534181240063593
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__runtime_s0.pipeline.json,0,0.6473354231974922,0.9297820823244553,1.0,0.6018808777429467,0.35266457680250785,0.04545454545454543,0.0,0.6018808777429467
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__runtime_s1.pipeline.json,1,0.5965732087227414,0.9399477806788512,1.0,0.5607476635514018,0.40342679127725856,0.03582554517133955,0.0,0.5607476635514019
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__runtime_s2.pipeline.json,2,0.5892307692307692,0.9556135770234988,1.0,0.563076923076923,0.4107692307692308,0.026153846153846087,0.0,0.5630769230769231
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__runtime_s3.pipeline.json,3,0.5969696969696969,0.8223350253807107,0.8672839506172839,0.4257575757575758,0.40303030303030307,0.10606060606060604,0.06515151515151517,0.4257575757575757
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__runtime_s4.pipeline.json,4,0.6184419713831478,0.9254498714652956,1.0,0.5723370429252782,0.3815580286168522,0.046104928457869676,0.0,0.5723370429252782
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__balanced_s0.pipeline.json,0,0.5564263322884012,0.6422535211267606,1.0,0.3573667711598746,0.4435736677115988,0.1990595611285266,0.0,0.3573667711598746
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__balanced_s1.pipeline.json,1,0.5404984423676013,0.4899135446685879,1.0,0.2647975077881619,0.45950155763239875,0.2757009345794393,0.0,0.26479750778816197
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__balanced_s2.pipeline.json,2,0.5676923076923077,0.5989159891598916,1.0,0.34,0.4323076923076923,0.2276923076923077,0.0,0.34
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__balanced_s3.pipeline.json,3,0.4939393939393939,0.4325153374233129,1.0,0.2136363636363636,0.5060606060606061,0.28030303030303033,0.0,0.21363636363636362
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__balanced_s4.pipeline.json,4,0.5516693163751988,0.515850144092219,0.9776536312849162,0.2782193958664546,0.4483306836248012,0.26709062003179657,0.006359300476947529,0.27821939586645467
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__default_s0.pipeline.json,0,0.5391849529780565,0.6337209302325582,1.0,0.341692789968652,0.46081504702194354,0.1974921630094044,0.0,0.34169278996865204
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__default_s1.pipeline.json,1,0.5342679127725857,0.478134110787172,1.0,0.2554517133956386,0.4657320872274143,0.27881619937694707,0.0,0.2554517133956386
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__default_s2.pipeline.json,2,0.5523076923076923,0.5821727019498607,1.0,0.3215384615384615,0.4476923076923077,0.23076923076923075,0.0,0.3215384615384615
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__default_s3.pipeline.json,3,0.4893939393939394,0.3962848297213622,0.9296875,0.1803030303030303,0.5106060606060606,0.29545454545454547,0.013636363636363634,0.18030303030303027
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__default_s4.pipeline.json,4,0.5310015898251192,0.4790419161676646,0.975,0.2480127186009539,0.46899841017488075,0.27662957074721783,0.006359300476947541,0.24801271860095386
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__runtime_s0.pipeline.json,0,0.5564263322884012,0.6422535211267606,1.0,0.3573667711598746,0.4435736677115988,0.1990595611285266,0.0,0.3573667711598746
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__runtime_s1.pipeline.json,1,0.5404984423676013,0.4899135446685879,1.0,0.2647975077881619,0.45950155763239875,0.2757009345794393,0.0,0.26479750778816197
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__runtime_s2.pipeline.json,2,0.5676923076923077,0.5989159891598916,1.0,0.34,0.4323076923076923,0.2276923076923077,0.0,0.34
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__runtime_s3.pipeline.json,3,0.4939393939393939,0.4325153374233129,1.0,0.2136363636363636,0.5060606060606061,0.28030303030303033,0.0,0.21363636363636362
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__runtime_s4.pipeline.json,4,0.5516693163751988,0.515850144092219,0.9776536312849162,0.2782193958664546,0.4483306836248012,0.26709062003179657,0.006359300476947529,0.27821939586645467
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__balanced_s0.pipeline.json,0,0.4906639004149377,0.6131078224101479,1.0,0.3008298755186722,0.5093360995850623,0.18983402489626555,0.0,0.30082987551867213
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__balanced_s1.pipeline.json,1,0.5191709844559586,0.6586826347305389,1.0,0.3419689119170984,0.48082901554404145,0.1772020725388601,0.0,0.34196891191709844
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__balanced_s2.pipeline.json,2,0.5318930041152263,0.6499032882011605,1.0,0.345679012345679,0.46810699588477367,0.18621399176954734,0.0,0.345679012345679
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__balanced_s3.pipeline.json,3,0.5240585774058577,0.5489021956087824,1.0,0.2876569037656903,0.4759414225941423,0.23640167364016737,0.0,0.28765690376569036
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__balanced_s4.pipeline.json,4,0.5247629083245522,0.5742971887550201,0.8111888111888111,0.244467860906217,0.4752370916754478,0.22339304531085352,0.05690200210748158,0.24446786090621708
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__default_s0.pipeline.json,0,0.483402489626556,0.6072961373390557,1.0,0.2935684647302904,0.5165975103734439,0.18983402489626558,0.0,0.2935684647302904
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__default_s1.pipeline.json,1,0.5170984455958549,0.6452905811623246,1.0,0.3336787564766839,0.48290155440414506,0.183419689119171,0.0,0.33367875647668394
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__default_s2.pipeline.json,2,0.5164609053497943,0.6235059760956175,1.0,0.3220164609053498,0.4835390946502057,0.19444444444444445,0.0,0.3220164609053498
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__default_s3.pipeline.json,3,0.5125523012552301,0.5244897959183673,0.9883268482490272,0.2656903765690376,0.4874476987447699,0.24372384937238495,0.0031380753138075495,0.2656903765690376
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__default_s4.pipeline.json,4,0.5194942044257113,0.5314401622718052,0.8854961832061069,0.244467860906217,0.48050579557428874,0.2434141201264489,0.0316122233930453,0.24446786090621705
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__runtime_s0.pipeline.json,0,0.4906639004149377,0.6131078224101479,1.0,0.3008298755186722,0.5093360995850623,0.18983402489626555,0.0,0.30082987551867213
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__runtime_s1.pipeline.json,1,0.5191709844559586,0.6586826347305389,1.0,0.3419689119170984,0.48082901554404145,0.1772020725388601,0.0,0.34196891191709844
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__runtime_s2.pipeline.json,2,0.5318930041152263,0.6499032882011605,1.0,0.345679012345679,0.46810699588477367,0.18621399176954734,0.0,0.345679012345679
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__runtime_s3.pipeline.json,3,0.5240585774058577,0.5489021956087824,0.9963636363636365,0.2866108786610878,0.4759414225941423,0.23640167364016737,0.0010460251046024852,0.28661087866108786
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/hard__runtime_s4.pipeline.json,4,0.5247629083245522,0.5742971887550201,0.8111888111888111,0.244467860906217,0.4752370916754478,0.22339304531085352,0.05690200210748158,0.24446786090621708
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/interaction__balanced_s0.pipeline.json,0,0.5188087774294671,0.4773413897280967,0.9620253164556962,0.238244514106583,0.48119122257053293,0.27115987460815044,0.009404388714733538,0.2382445141065831
