pipeline_json,prefix,seed,time_total_sec,ref_preset,ref_length,num_snps,het_rate,avoid_regions,platform,ont_profile,map_preset,num_reads,min_len,max_len,len_model,ln_mean,ln_sigma,start_model,dropout_fraction,dropout_block_len,dup_segments,dup_len,dup_min_gap,burst_prob,burst_count,burst_len,burst_mult,num_indels,indel_min_len,indel_max_len,indel_het_rate,phase_snps_only,eval_snps_only,call_min_mapq,call_min_baseq,max_coverage,min_mapq,min_baseq,call_precision,call_recall,truth_snps,truth_het_snps,called_snps,shared_snps,oracle_time_vcf_parse_sec,oracle_time_build_readset_sec,oracle_time_readselection_sec,oracle_time_solve_sec,oracle_time_ps_sec,oracle_time_write_sec,oracle_time_total_sec,called_time_vcf_parse_sec,called_time_build_readset_sec,called_time_readselection_sec,called_time_solve_sec,called_time_ps_sec,called_time_write_sec,called_time_total_sec,oracle_phase_accuracy,oracle_switch_error,oracle_num_phase_sets,oracle_effective_phased_recall,oracle_phasing_rate_shared_het,oracle_shared_het_recall,called_phase_accuracy,called_switch_error,called_num_phase_sets,called_effective_phased_recall,called_phasing_rate_shared_het,called_shared_het_recall
output/poster_dropout_dense/dropout0.00_s0.pipeline.json,output/poster_dropout_dense/dropout0.00_s0,0,2.6138108459999785,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.0,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.70375,800,638,563,563,0.0015165329969022423,0.49137008099933155,0.0022219599995878525,0.015235115002724342,0.0010699549966375344,0.001810679998015985,0.5137713229996734,0.0009826980021898635,0.35124340999755077,0.0019972190057160333,0.010668777998944279,0.0007047859980957583,0.002230407000752166,0.36828180700103985,1.0,0.0,2,0.9545454545454546,0.9545454545454546,1.0,0.9041916167664671,0.11178247734138973,3,0.47335423197492166,0.8308457711442786,0.6300940438871473
output/poster_dropout_dense/dropout0.00_s1.pipeline.json,output/poster_dropout_dense/dropout0.00_s1,1,2.5501360060006846,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.0,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.64625,800,642,517,517,0.0012585739968926646,0.525982400002249,0.0022266750020207837,0.036773160005395766,0.0010056239989353344,0.001822193997213617,0.5696697380044498,0.0012069680014974438,0.29828658599581104,0.0015464559983229265,0.022573492999072187,0.0006897109997225925,0.0021275979961501434,0.3268815339979483,1.0,0.0,1,0.9127725856697819,0.9127725856697819,1.0,0.7231404958677686,0.30962343096234307,3,0.27258566978193144,0.6558265582655827,0.5747663551401869
output/poster_dropout_dense/dropout0.00_s2.pipeline.json,output/poster_dropout_dense/dropout0.00_s2,2,2.57668984799966,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.0,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.635,800,650,508,508,0.0016532939989701845,0.5197313789976761,0.0023039380030240864,0.05579556199518265,0.0011277570010861382,0.0017458729998907074,0.5829193000026862,0.001088525001250673,0.29897331499523716,0.0015989629973773845,0.01799927300453419,0.0007007159947534092,0.001677831998676993,0.3224175319992355,0.9881154499151104,0.0017035775127768314,2,0.8953846153846153,0.9061538461538462,1.0,1.0,0.0,3,0.5307692307692308,0.9375,0.5661538461538461
output/poster_dropout_dense/dropout0.025_s0.pipeline.json,output/poster_dropout_dense/dropout0.025_s0,0,2.707700020997436,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.025,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.7175,800,638,574,574,0.0015770050013088621,0.5338659600020037,0.0024659970003995113,0.051969558000564575,0.0011064279970014468,0.0017990900014410727,0.593402522004908,0.0009322679979959503,0.31051458200090565,0.0016139470026246272,0.042000180001195986,0.0007058560004225001,0.002066594002826605,0.35824203200172633,0.9966329966329966,0.006745362563237774,1,0.9278996865203761,0.9310344827586207,1.0,0.9970238095238095,0.0030120481927710845,4,0.5250783699059561,0.8155339805825242,0.64576802507837
output/poster_dropout_dense/dropout0.025_s1.pipeline.json,output/poster_dropout_dense/dropout0.025_s1,1,2.654285044001881,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.025,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.65625,800,642,525,525,0.0017149519990198314,0.5493282000024919,0.0023473660039599054,0.0395883360033622,0.001196630000777077,0.002013138000620529,0.5968883940004162,0.001093492996005807,0.27816846600035205,0.0015048569985083304,0.030781041001318954,0.0005995280007482506,0.0020315109941293485,0.3145659340007114,0.9982876712328768,0.003430531732418525,1,0.9080996884735203,0.9096573208722741,1.0,0.9107806691449815,0.09125475285171103,6,0.38161993769470404,0.7078947368421052,0.5919003115264797
output/poster_dropout_dense/dropout0.025_s2.pipeline.json,output/poster_dropout_dense/dropout0.025_s2,2,2.5310110690043075,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.025,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.65875,800,650,527,527,0.0014643520044046454,0.5485829800018109,0.002400887999101542,0.025221637995855417,0.0011209809963474981,0.0017129520056187175,0.5810415779997129,0.0011491620025481097,0.29355529099848354,0.0015981360047589988,0.013278367994644213,0.0006155410010251217,0.0019283759975223802,0.31252472999767633,0.9983333333333333,0.003355704697986577,4,0.9215384615384615,0.9230769230769231,1.0,0.6680672268907563,0.2948717948717949,4,0.24461538461538462,0.6214099216710183,0.5892307692307692
output/poster_dropout_dense/dropout0.05_s0.pipeline.json,output/poster_dropout_dense/dropout0.05_s0,0,2.585660053999163,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.05,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.65,800,638,520,520,0.0012027350021526217,0.5268693699981668,0.0025456479997956194,0.049404453005990945,0.001317613001447171,0.0020037459980812855,0.584039469002164,0.0020660260051954538,0.28724930099997437,0.001535825002065394,0.032535170001210645,0.0006356170051731169,0.0020457009959500283,0.3264679010026157,0.9982547993019197,0.0035026269702276708,2,0.896551724137931,0.8981191222570533,1.0,0.8333333333333334,0.0037593984962406013,4,0.35266457680250785,0.743801652892562,0.5689655172413793
output/poster_dropout_dense/dropout0.05_s1.pipeline.json,output/poster_dropout_dense/dropout0.05_s1,1,2.7674121310046758,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.05,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.65875,800,642,527,527,0.001255492003110703,0.5443722150012036,0.0024024910017033108,0.061971628994797356,0.0010622410045471042,0.0017146879981737584,0.6133694119998836,0.0009016049953061156,0.2976427620014874,0.0015814869984751567,0.058318444003816694,0.0006848890043329448,0.0019677740056067705,0.3615070000014384,1.0,0.0,2,0.8598130841121495,0.8598130841121495,1.0,1.0,0.0,5,0.4392523364485981,0.7382198952879581,0.5950155763239875
output/poster_dropout_dense/dropout0.05_s2.pipeline.json,output/poster_dropout_dense/dropout0.05_s2,2,2.6073717160033993,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.05,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.6275,800,650,502,502,0.0013446029988699593,0.5482889190025162,0.002465286997903604,0.05376139999862062,0.001071826001862064,0.0018295460031367838,0.609340142000292,0.0008272619961644523,0.2759470470045926,0.001646036995225586,0.04233142900193343,0.0006351300035021268,0.002061952000076417,0.3238437230029376,0.9965034965034965,0.007042253521126761,4,0.8769230769230769,0.88,1.0,0.7013574660633484,0.2962962962962963,5,0.23846153846153847,0.6038251366120219,0.563076923076923
output/poster_dropout_dense/dropout0.075_s0.pipeline.json,output/poster_dropout_dense/dropout0.075_s0,0,2.5804944319970673,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.075,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.5975,800,638,478,478,0.001259844000742305,0.494945964004728,0.0025462219928158447,0.0849146809996455,0.0010489529959158972,0.001975120998395141,0.5872362640002393,0.0010811129977810197,0.2438926599934348,0.0016059359986684285,0.0467305460042553,0.0005874859998584725,0.0019983259990112856,0.2962498199995025,0.9981132075471698,0.003787878787878788,2,0.829153605015674,0.8307210031347962,1.0,1.0,0.0,6,0.3667711598746082,0.7134146341463414,0.5141065830721003
output/poster_dropout_dense/dropout0.075_s1.pipeline.json,output/poster_dropout_dense/dropout0.075_s1,1,2.6629515550012,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.075,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.59125,800,642,473,473,0.0014955119986552745,0.5793098400026793,0.0028353529996820726,0.08234877300128574,0.0010240650008199736,0.001868851002654992,0.6694699919971754,0.0008430470043094829,0.19802315500419354,0.0012351830009720288,0.05261252100171987,0.00044642399734584615,0.0017443390024709515,0.2552131729971734,1.0,0.0,4,0.8582554517133957,0.8582554517133957,1.0,0.9939759036144579,0.006289308176100629,7,0.2570093457943925,0.503030303030303,0.514018691588785
output/poster_dropout_dense/dropout0.075_s2.pipeline.json,output/poster_dropout_dense/dropout0.075_s2,2,2.4983494070038432,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.075,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.615,800,650,492,492,0.0016569139988860115,0.5057342010040884,0.002381323000008706,0.06091056800505612,0.0009716319982544519,0.00205281099624699,0.5742398479997064,0.001045906996296253,0.209335782994458,0.001503573999798391,0.06040486400161171,0.0005828010034747422,0.001771777999238111,0.27502062499843305,1.0,0.0,5,0.8507692307692307,0.8507692307692307,1.0,1.0,0.0,7,0.3707692307692308,0.6769662921348315,0.5476923076923077
output/poster_dropout_dense/dropout0.10_s0.pipeline.json,output/poster_dropout_dense/dropout0.10_s0,0,2.6236011720029637,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.60625,800,638,485,485,0.0011935680013266392,0.5096653239961597,0.00241914700018242,0.0921354629972484,0.0010154210031032562,0.0017354900046484545,0.6087146150020999,0.0008916459992178716,0.23231651200330816,0.0013605550047941506,0.06073771599767497,0.0005401809976319782,0.0018081390007864684,0.29799899099452887,1.0,0.0,3,0.8040752351097179,0.8040752351097179,1.0,1.0,0.0,6,0.34169278996865204,0.6337209302325582,0.5391849529780565
output/poster_dropout_dense/dropout0.10_s1.pipeline.json,output/poster_dropout_dense/dropout0.10_s1,1,2.4999052679995657,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.615,800,642,492,492,0.0017612410010769963,0.5095233539977926,0.0024055539979599416,0.052464151005551685,0.0011153749946970493,0.00176186300086556,0.5695909619971644,0.0008858069995767437,0.16510507900238736,0.0012060779990861192,0.03532410800107755,0.00041254700045101345,0.0018348239973420277,0.20510632899822667,1.0,0.0,3,0.8722741433021807,0.8722741433021807,1.0,1.0,0.0,7,0.2554517133956386,0.478134110787172,0.5342679127725857
output/poster_dropout_dense/dropout0.10_s2.pipeline.json,output/poster_dropout_dense/dropout0.10_s2,2,2.5332589890022064,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.62375,800,650,499,499,0.0012383659995975904,0.5263961320015369,0.002406755003903527,0.050822939003410283,0.001060693000908941,0.0020449639996513724,0.5845329699950526,0.001100058994779829,0.1973376969981473,0.001312021995545365,0.04185088099620771,0.00047279400314437225,0.0019485109951347113,0.24433399699773872,1.0,0.0,2,0.8907692307692308,0.8907692307692308,1.0,1.0,0.0,8,0.32153846153846155,0.5821727019498607,0.5523076923076923
output/poster_dropout_dense/dropout0.125_s0.pipeline.json,output/poster_dropout_dense/dropout0.125_s0,0,2.4744791720004287,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.125,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.62375,800,638,499,499,0.0011335919989505783,0.4987752279994311,0.002276821993291378,0.06261329099652357,0.0010644540016073734,0.0020607869955711067,0.568499826003972,0.0012173610011814162,0.1950482859974727,0.0013984550023451447,0.053991079999832436,0.0004974879993824288,0.0017091810004785657,0.2541773529956117,0.998109640831758,0.0038095238095238095,4,0.8275862068965517,0.829153605015674,1.0,0.8141025641025641,0.22666666666666666,6,0.19905956112852666,0.4469914040114613,0.5470219435736677
output/poster_dropout_dense/dropout0.125_s1.pipeline.json,output/poster_dropout_dense/dropout0.125_s1,1,2.4666476079946733,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.125,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.50625,800,642,405,405,0.0018185760054620914,0.5217622049967758,0.002431845001410693,0.060635460999037605,0.0009806529997149482,0.0017217310014530085,0.5898667740038945,0.0008708859968464822,0.15239713900518836,0.0010495840033399872,0.01608414699876448,0.0005930279949097894,0.0017891680035972968,0.17310483300389023,0.9917184265010351,0.016666666666666666,3,0.7461059190031153,0.7523364485981309,1.0,0.9847328244274809,0.024,6,0.20093457943925233,0.48518518518518516,0.4205607476635514
output/poster_dropout_dense/dropout0.125_s2.pipeline.json,output/poster_dropout_dense/dropout0.125_s2,2,2.4749907059958787,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.125,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.50875,800,650,407,407,0.001183078005851712,0.5310898239986273,0.0023432439993484877,0.07051676000264706,0.0009579999968991615,0.0018695240069064312,0.6085098820040002,0.0009254510005121119,0.1394672169990372,0.0010769850050564855,0.02910075600084383,0.00031232099718181416,0.0019480420014588162,0.17309191200183704,1.0,0.0,6,0.8184615384615385,0.8184615384615385,1.0,0.9391304347826087,0.06481481481481481,7,0.16615384615384615,0.40350877192982454,0.43846153846153846
output/poster_dropout_dense/dropout0.15_s0.pipeline.json,output/poster_dropout_dense/dropout0.15_s0,0,2.553877464000834,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.15,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.505,800,638,404,404,0.004147913998167496,0.5304769380018115,0.002387275999353733,0.09258272599981865,0.0009202489964081906,0.0016942290021688677,0.6327735269951518,0.0009446019976167008,0.14929941199807217,0.0010419480022392236,0.04285395199985942,0.00030931600485928357,0.0016073779988801107,0.19632439099950716,1.0,0.0,7,0.7178683385579937,0.7178683385579937,1.0,0.9423076923076923,0.08163265306122448,6,0.1536050156739812,0.38661710037174724,0.4216300940438871
output/poster_dropout_dense/dropout0.15_s1.pipeline.json,output/poster_dropout_dense/dropout0.15_s1,1,2.5096077029957087,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.15,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.43125,800,642,345,345,0.0017714200002956204,0.5281339989960543,0.0020377109976834618,0.10195450999890454,0.0008541979987057857,0.0016481250058859587,0.6368628010022803,0.0008462799960398115,0.13763025400112383,0.0010944250025204383,0.03230500400240999,0.0003087980003328994,0.0015522910034633242,0.173996036995959,0.9974093264248705,0.005291005291005291,8,0.5996884735202492,0.6012461059190031,1.0,0.7840909090909091,0.2073170731707317,6,0.10747663551401869,0.3876651982378855,0.35358255451713394
output/poster_dropout_dense/dropout0.15_s2.pipeline.json,output/poster_dropout_dense/dropout0.15_s2,2,2.5101228860003175,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.15,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.5275,800,650,422,422,0.0016791460002423264,0.5263623650025693,0.0025001609974424355,0.10566411699983291,0.0010275419990648516,0.002211487000749912,0.6400058430008357,0.0011263499982305802,0.14630093400046462,0.001061883995134849,0.042307356001401786,0.000348133995430544,0.0016680999979143962,0.19306972000049427,0.9960474308300395,0.008,6,0.7753846153846153,0.7784615384615384,1.0,1.0,0.0,6,0.19230769230769232,0.40716612377850164,0.4723076923076923
output/poster_dropout_dense/dropout0.175_s0.pipeline.json,output/poster_dropout_dense/dropout0.175_s0,0,2.5445040029953816,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.175,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.46125,800,638,369,369,0.001253789996553678,0.48917799099581316,0.0021215599990682676,0.0779322630041861,0.0007490760035580024,0.0017018610014929436,0.5733942500010016,0.0013558420032495633,0.16582806700171204,0.001440888001525309,0.0623902450024616,0.0006012829981045797,0.001533126000140328,0.2335153879976133,0.9974293059125964,0.005277044854881266,10,0.6081504702194357,0.609717868338558,1.0,1.0,0.0,5,0.219435736677116,0.5511811023622047,0.3981191222570533
output/poster_dropout_dense/dropout0.175_s1.pipeline.json,output/poster_dropout_dense/dropout0.175_s1,1,2.523376596996968,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.175,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.43875,800,642,351,351,0.0015297159989131615,0.530397594004171,0.0021112399990670383,0.09033193399955053,0.0007606819999637082,0.0016720999992685392,0.6272609750012634,0.0008944129949668422,0.14443464299984043,0.001317281996307429,0.05164593700465048,0.0003313049965072423,0.0014147940019029193,0.2002782190029393,1.0,0.0,8,0.5981308411214953,0.5981308411214953,1.0,0.7608695652173914,0.21839080459770116,5,0.10903426791277258,0.3881856540084388,0.3691588785046729
output/poster_dropout_dense/dropout0.175_s2.pipeline.json,output/poster_dropout_dense/dropout0.175_s2,2,2.458349956999882,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.175,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.49375,800,650,395,395,0.001690054006758146,0.514163614003337,0.0024534850017516874,0.0967580819997238,0.0009441329966648482,0.0018890010032919236,0.6183999100030633,0.0007417240049107932,0.1286127459970885,0.000957104995904956,0.014493616996333003,0.00027718599449144676,0.0014984319932409562,0.14681840599951101,1.0,0.0,6,0.7353846153846154,0.7353846153846154,1.0,0.788235294117647,0.3670886075949367,6,0.10307692307692308,0.2992957746478873,0.4369230769230769
output/poster_dropout_dense/dropout0.20_s0.pipeline.json,output/poster_dropout_dense/dropout0.20_s0,0,2.530914045004465,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.2,1000,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.43,800,638,344,344,0.0015660389981348999,0.5571483869935037,0.0020167770053376444,0.08226267300051404,0.0007886930034146644,0.002170548999856692,0.646412258996861,0.0007581480022054166,0.12260802600212628,0.0010958439961541444,0.030380436997802462,0.00027838700043503195,0.001488442998379469,0.15683925399935106,1.0,0.0,11,0.6081504702194357,0.6081504702194357,1.0,1.0,0.0,6,0.1614420062695925,0.4517543859649123,0.3573667711598746
