read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:71265-76286	2	71265	5021	5023	34	27	25	chr1_hap2
r1_hap2_chr1_hap2:25702-31437	2	25702	5735	5734	22	17	18	chr1_hap2
r2_hap1_chr1_hap1:50482-54732	1	50482	4250	4245	37	23	28	chr1_hap1
r3_hap1_chr1_hap1:16412-20136	1	16412	3724	3719	10	9	14	chr1_hap1
r4_hap1_chr1_hap1:9136-12416	1	9136	3280	3280	15	10	10	chr1_hap1
r5_hap2_chr1_hap2:69557-75438	2	69557	5881	5882	27	20	19	chr1_hap2
r6_hap1_chr1_hap1:66477-70715	1	66477	4238	4246	16	18	10	chr1_hap1
r7_hap1_chr1_hap1:65240-69237	1	65240	3997	3995	17	10	12	chr1_hap1
r8_hap1_chr1_hap1:8683-10705	1	8683	2022	2022	8	4	4	chr1_hap1
r9_hap1_chr1_hap1:53113-55691	1	53113	2578	2576	9	11	13	chr1_hap1
r10_hap1_chr1_hap1:56839-61741	1	56839	4902	4907	23	16	11	chr1_hap1
r11_hap2_chr1_hap2:54964-58095	2	54964	3131	3143	25	28	16	chr1_hap2
r12_hap1_chr1_hap1:68222-70761	1	68222	2539	2535	8	7	11	chr1_hap1
r13_hap2_chr1_hap2:5082-10067	2	5082	4985	4974	35	20	31	chr1_hap2
r14_hap2_chr1_hap2:8254-12189	2	8254	3935	3944	17	14	5	chr1_hap2
r15_hap2_chr1_hap2:75884-79367	2	75884	3483	3492	34	23	14	chr1_hap2
r16_hap1_chr1_hap1:49215-53948	1	49215	4733	4725	18	4	12	chr1_hap1
r17_hap1_chr1_hap1:50632-54252	1	50632	3620	3617	18	4	7	chr1_hap1
r18_hap1_chr1_hap1:12049-17357	1	12049	5308	5315	21	18	11	chr1_hap1
r19_hap2_chr1_hap2:14468-16825	2	14468	2357	2357	10	6	6	chr1_hap2
r20_hap1_chr1_hap1:19338-23055	1	19338	3717	3732	18	22	7	chr1_hap1
r21_hap2_chr1_hap2:12384-17017	2	12384	4633	4633	16	16	16	chr1_hap2
r22_hap2_chr1_hap2:17899-22886	2	17899	4987	4988	26	11	10	chr1_hap2
r23_hap1_chr1_hap1:65298-69884	1	65298	4586	4590	22	13	9	chr1_hap1
r24_hap1_chr1_hap1:68455-73323	1	68455	4868	4873	21	19	14	chr1_hap1
r25_hap2_chr1_hap2:69550-72391	2	69550	2841	2836	30	19	24	chr1_hap2
r26_hap2_chr1_hap2:32189-34885	2	32189	2696	2693	23	18	21	chr1_hap2
r27_hap1_chr1_hap1:40780-46373	1	40780	5593	5586	35	12	19	chr1_hap1
r28_hap2_chr1_hap2:11905-15168	2	11905	3263	3259	10	10	14	chr1_hap2
r29_hap2_chr1_hap2:34863-38038	2	34863	3175	3178	13	12	9	chr1_hap2
r30_hap1_chr1_hap1:67881-71448	1	67881	3567	3569	13	14	12	chr1_hap1
r31_hap2_chr1_hap2:58676-63499	2	58676	4823	4826	22	20	17	chr1_hap2
r32_hap1_chr1_hap1:26416-29008	1	26416	2592	2596	20	18	14	chr1_hap1
r33_hap2_chr1_hap2:66664-69313	2	66664	2649	2653	35	27	23	chr1_hap2
r34_hap2_chr1_hap2:35156-38564	2	35156	3408	3404	12	10	14	chr1_hap2
r35_hap1_chr1_hap1:70769-76191	1	70769	5422	5416	15	16	22	chr1_hap1
r36_hap2_chr1_hap2:33758-37095	2	33758	3337	3342	9	10	5	chr1_hap2
r37_hap2_chr1_hap2:44084-47999	2	44084	3915	3911	16	17	21	chr1_hap2
r38_hap2_chr1_hap2:39625-42751	2	39625	3126	3115	30	16	27	chr1_hap2
r39_hap1_chr1_hap1:42447-47656	1	42447	5209	5210	33	25	24	chr1_hap1
r40_hap2_chr1_hap2:65896-71709	2	65896	5813	5820	22	27	20	chr1_hap2
r41_hap2_chr1_hap2:55418-57435	2	55418	2017	2014	12	4	7	chr1_hap2
r42_hap1_chr1_hap1:10241-13060	1	10241	2819	2818	9	4	5	chr1_hap1
r43_hap1_chr1_hap1:5044-7779	1	5044	2735	2731	16	3	7	chr1_hap1
r44_hap2_chr1_hap2:35716-39211	2	35716	3495	3486	15	8	17	chr1_hap2
r45_hap1_chr1_hap1:29782-34406	1	29782	4624	4624	16	16	16	chr1_hap1
r46_hap2_chr1_hap2:64159-67708	2	64159	3549	3554	11	12	7	chr1_hap2
r47_hap2_chr1_hap2:59657-62634	2	59657	2977	2983	27	26	20	chr1_hap2
r48_hap1_chr1_hap1:43901-49581	1	43901	5680	5673	31	21	28	chr1_hap1
r49_hap2_chr1_hap2:29220-35118	2	29220	5898	5890	18	13	21	chr1_hap2
r50_hap2_chr1_hap2:51534-56078	2	51534	4544	4543	37	23	24	chr1_hap2
r51_hap2_chr1_hap2:10829-14049	2	10829	3220	3221	29	30	29	chr1_hap2
r52_hap2_chr1_hap2:39552-43698	2	39552	4146	4150	30	7	3	chr1_hap2
r53_hap2_chr1_hap2:54824-60086	2	54824	5262	5270	21	23	15	chr1_hap2
r54_hap2_chr1_hap2:31936-37527	2	31936	5591	5599	20	23	15	chr1_hap2
r55_hap2_chr1_hap2:57089-62763	2	57089	5674	5677	21	20	17	chr1_hap2
r56_hap1_chr1_hap1:9507-14687	1	9507	5180	5181	24	15	14	chr1_hap1
r57_hap2_chr1_hap2:8916-13698	2	8916	4782	4775	32	25	32	chr1_hap2
r58_hap2_chr1_hap2:36459-41759	2	36459	5300	5301	15	15	14	chr1_hap2
r59_hap1_chr1_hap1:58001-60963	1	58001	2962	2962	10	8	8	chr1_hap1
r60_hap2_chr1_hap2:70558-75202	2	70558	4644	4636	32	21	29	chr1_hap2
r61_hap1_chr1_hap1:27565-31739	1	27565	4174	4190	34	40	24	chr1_hap1
r62_hap2_chr1_hap2:36796-40216	2	36796	3420	3419	12	11	12	chr1_hap2
r63_hap2_chr1_hap2:50787-54940	2	50787	4153	4145	18	6	14	chr1_hap2
r64_hap2_chr1_hap2:4362-9061	2	4362	4699	4694	24	11	16	chr1_hap2
r65_hap2_chr1_hap2:74494-78552	2	74494	4058	4056	28	12	14	chr1_hap2
r66_hap1_chr1_hap1:14691-17974	1	14691	3283	3284	13	11	10	chr1_hap1
r67_hap2_chr1_hap2:51673-55046	2	51673	3373	3379	33	25	19	chr1_hap2
r68_hap2_chr1_hap2:25089-28552	2	25089	3463	3465	9	14	12	chr1_hap2
r69_hap2_chr1_hap2:38056-42965	2	38056	4909	4904	30	22	27	chr1_hap2
r70_hap1_chr1_hap1:1836-6412	1	1836	4576	4577	33	30	29	chr1_hap1
r71_hap1_chr1_hap1:9928-15202	1	9928	5274	5273	45	29	30	chr1_hap1
r72_hap1_chr1_hap1:5396-10442	1	5396	5046	5054	18	24	16	chr1_hap1
r73_hap2_chr1_hap2:44446-48291	2	44446	3845	3847	42	24	22	chr1_hap2
r74_hap2_chr1_hap2:55699-60391	2	55699	4692	4698	21	18	12	chr1_hap2
r75_hap2_chr1_hap2:42371-45531	2	42371	3160	3168	14	13	5	chr1_hap2
r76_hap2_chr1_hap2:5022-8385	2	5022	3363	3366	10	12	9	chr1_hap2
r77_hap2_chr1_hap2:44772-48329	2	44772	3557	3555	9	10	12	chr1_hap2
r78_hap2_chr1_hap2:57059-61049	2	57059	3990	3991	22	12	11	chr1_hap2
r79_hap2_chr1_hap2:65681-69825	2	65681	4144	4151	18	19	12	chr1_hap2
r80_hap1_chr1_hap1:39234-43253	1	39234	4019	4020	40	24	23	chr1_hap1
r81_hap2_chr1_hap2:10627-16472	2	10627	5845	5842	20	17	20	chr1_hap2
r82_hap2_chr1_hap2:66775-69483	2	66775	2708	2716	29	21	13	chr1_hap2
r83_hap2_chr1_hap2:75323-78458	2	75323	3135	3138	20	23	20	chr1_hap2
r84_hap2_chr1_hap2:51976-56743	2	51976	4767	4769	28	23	21	chr1_hap2
r85_hap1_chr1_hap1:43227-47477	1	43227	4250	4260	33	40	30	chr1_hap1
r86_hap1_chr1_hap1:37578-41223	1	37578	3645	3645	9	11	11	chr1_hap1
r87_hap2_chr1_hap2:25132-29314	2	25132	4182	4177	19	11	16	chr1_hap2
r88_hap2_chr1_hap2:23544-28729	2	23544	5185	5189	16	27	23	chr1_hap2
r89_hap1_chr1_hap1:38976-42044	1	38976	3068	3064	33	22	26	chr1_hap1
r90_hap1_chr1_hap1:21357-23709	1	21357	2352	2360	29	29	21	chr1_hap1
r91_hap2_chr1_hap2:41978-45991	2	41978	4013	4017	23	16	12	chr1_hap2
r92_hap1_chr1_hap1:5369-8722	1	5369	3353	3356	43	27	24	chr1_hap1
r93_hap1_chr1_hap1:44621-47123	1	44621	2502	2509	17	20	13	chr1_hap1
r94_hap2_chr1_hap2:7885-10529	2	7885	2644	2656	26	30	18	chr1_hap2
r95_hap2_chr1_hap2:49073-52304	2	49073	3231	3232	8	8	7	chr1_hap2
r96_hap1_chr1_hap1:22121-24384	1	22121	2263	2268	17	14	9	chr1_hap1
r97_hap1_chr1_hap1:69480-72599	1	69480	3119	3121	13	11	9	chr1_hap1
r98_hap2_chr1_hap2:54858-57175	2	54858	2317	2321	26	22	18	chr1_hap2
r99_hap2_chr1_hap2:6558-8653	2	6558	2095	2098	10	11	8	chr1_hap2
r100_hap2_chr1_hap2:25087-29214	2	25087	4127	4127	14	14	14	chr1_hap2
r101_hap2_chr1_hap2:34340-40318	2	34340	5978	5978	28	20	20	chr1_hap2
r102_hap1_chr1_hap1:58481-63330	1	58481	4849	4849	21	12	12	chr1_hap1
r103_hap1_chr1_hap1:65178-69831	1	65178	4653	4660	15	15	8	chr1_hap1
r104_hap1_chr1_hap1:43872-47637	1	43872	3765	3770	31	23	18	chr1_hap1
r105_hap2_chr1_hap2:35164-37877	2	35164	2713	2709	21	13	17	chr1_hap2
r106_hap1_chr1_hap1:52051-55297	1	52051	3246	3249	12	11	8	chr1_hap1
r107_hap2_chr1_hap2:50497-54313	2	50497	3816	3821	27	32	27	chr1_hap2
r108_hap1_chr1_hap1:62433-66202	1	62433	3769	3771	11	13	11	chr1_hap1
r109_hap1_chr1_hap1:63132-65949	1	63132	2817	2823	28	20	14	chr1_hap1
r110_hap2_chr1_hap2:45163-49003	2	45163	3840	3842	12	16	14	chr1_hap2
r111_hap2_chr1_hap2:68909-74451	2	68909	5542	5549	13	18	11	chr1_hap2
r112_hap1_chr1_hap1:21613-24530	1	21613	2917	2911	13	2	8	chr1_hap1
r113_hap2_chr1_hap2:2360-4708	2	2360	2348	2349	7	6	5	chr1_hap2
r114_hap1_chr1_hap1:47234-51096	1	47234	3862	3871	19	17	8	chr1_hap1
r115_hap2_chr1_hap2:28100-31263	2	28100	3163	3169	7	11	5	chr1_hap2
r116_hap1_chr1_hap1:7586-11659	1	7586	4073	4068	10	12	17	chr1_hap1
r117_hap2_chr1_hap2:56942-60228	2	56942	3286	3285	29	21	22	chr1_hap2
r118_hap1_chr1_hap1:23762-26811	1	23762	3049	3049	11	7	7	chr1_hap1
r119_hap1_chr1_hap1:46463-49129	1	46463	2666	2675	6	14	5	chr1_hap1
r120_hap2_chr1_hap2:55292-60964	2	55292	5672	5670	19	15	17	chr1_hap2
r121_hap2_chr1_hap2:70056-73589	2	70056	3533	3531	17	8	10	chr1_hap2
r122_hap1_chr1_hap1:12839-18374	1	12839	5535	5533	52	32	34	chr1_hap1
r123_hap2_chr1_hap2:29820-35197	2	29820	5377	5373	27	14	18	chr1_hap2
r124_hap2_chr1_hap2:46572-49965	2	46572	3393	3400	17	15	8	chr1_hap2
r125_hap1_chr1_hap1:7727-12128	1	7727	4401	4405	22	17	13	chr1_hap1
r126_hap1_chr1_hap1:43126-45404	1	43126	2278	2284	18	22	16	chr1_hap1
r127_hap2_chr1_hap2:59504-62330	2	59504	2826	2820	19	24	30	chr1_hap2
r128_hap1_chr1_hap1:55771-58136	1	55771	2365	2361	4	4	8	chr1_hap1
r129_hap2_chr1_hap2:45532-50330	2	45532	4798	4800	28	31	29	chr1_hap2
r130_hap1_chr1_hap1:13496-18017	1	13496	4521	4521	23	18	18	chr1_hap1
r131_hap1_chr1_hap1:33423-37421	1	33423	3998	4012	42	33	19	chr1_hap1
r132_hap2_chr1_hap2:70128-75355	2	70128	5227	5222	9	11	16	chr1_hap2
r133_hap1_chr1_hap1:56817-60225	1	56817	3408	3416	14	14	6	chr1_hap1
r134_hap1_chr1_hap1:58063-63713	1	58063	5650	5643	20	16	23	chr1_hap1
r135_hap2_chr1_hap2:31413-35116	2	31413	3703	3715	18	21	9	chr1_hap2
r136_hap2_chr1_hap2:57064-59316	2	57064	2252	2256	10	7	3	chr1_hap2
r137_hap1_chr1_hap1:35514-40621	1	35514	5107	5107	29	27	27	chr1_hap1
r138_hap2_chr1_hap2:14517-19212	2	14517	4695	4695	18	14	14	chr1_hap2
r139_hap1_chr1_hap1:27626-31123	1	27626	3497	3497	12	15	15	chr1_hap1
r140_hap1_chr1_hap1:47497-51551	1	47497	4054	4060	13	15	9	chr1_hap1
r141_hap1_chr1_hap1:37931-40071	1	37931	2140	2140	21	19	19	chr1_hap1
r142_hap1_chr1_hap1:58304-61855	1	58304	3551	3554	16	20	17	chr1_hap1
r143_hap2_chr1_hap2:33759-36894	2	33759	3135	3136	19	21	20	chr1_hap2
r144_hap2_chr1_hap2:14333-17913	2	14333	3580	3569	14	8	19	chr1_hap2
r145_hap2_chr1_hap2:57676-63070	2	57676	5394	5401	31	21	14	chr1_hap2
r146_hap2_chr1_hap2:8081-13777	2	8081	5696	5697	19	21	20	chr1_hap2
r147_hap1_chr1_hap1:55470-60906	1	55470	5436	5428	41	26	34	chr1_hap1
r148_hap2_chr1_hap2:16875-22515	2	16875	5640	5642	23	22	20	chr1_hap2
r149_hap1_chr1_hap1:5287-8463	1	5287	3176	3185	16	14	5	chr1_hap1
r150_hap1_chr1_hap1:45462-47594	1	45462	2132	2139	6	11	4	chr1_hap1
r151_hap1_chr1_hap1:43941-48846	1	43941	4905	4908	19	17	14	chr1_hap1
r152_hap1_chr1_hap1:59084-64640	1	59084	5556	5555	41	31	32	chr1_hap1
r153_hap1_chr1_hap1:54413-58751	1	54413	4338	4327	15	9	20	chr1_hap1
r154_hap1_chr1_hap1:60300-64281	1	60300	3981	3977	14	9	13	chr1_hap1
r155_hap1_chr1_hap1:47947-53656	1	47947	5709	5713	22	21	17	chr1_hap1
r156_hap2_chr1_hap2:20007-22370	2	20007	2363	2360	9	3	6	chr1_hap2
r157_hap1_chr1_hap1:59530-63011	1	59530	3481	3478	15	9	12	chr1_hap1
r158_hap2_chr1_hap2:1956-6922	2	1956	4966	4963	21	8	11	chr1_hap2
r159_hap2_chr1_hap2:11422-14779	2	11422	3357	3350	14	7	14	chr1_hap2
r160_hap1_chr1_hap1:66695-70564	1	66695	3869	3867	10	15	17	chr1_hap1
r161_hap1_chr1_hap1:18143-20908	1	18143	2765	2765	14	8	8	chr1_hap1
r162_hap2_chr1_hap2:8519-10853	2	8519	2334	2336	11	7	5	chr1_hap2
r163_hap2_chr1_hap2:57793-60431	2	57793	2638	2631	9	6	13	chr1_hap2
r164_hap2_chr1_hap2:9104-13768	2	9104	4664	4646	33	30	48	chr1_hap2
r165_hap2_chr1_hap2:1129-4667	2	1129	3538	3543	13	17	12	chr1_hap2
