read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap1:21269-27114	2	21269	5845	5841	13	12	16	chr1_hap1
r1_hap2_chr1_hap1:67636-70559	2	67636	2923	2928	11	10	5	chr1_hap1
r2_hap1_chr1_hap1:71232-74608	1	71232	3376	3373	14	9	12	chr1_hap1
r3_hap1_chr1_hap1:51647-55018	1	51647	3371	3370	17	11	12	chr1_hap1
r4_hap1_chr1_hap1:73530-78572	1	73530	5042	5028	16	8	22	chr1_hap1
r5_hap1_chr1_hap1:7484-13242	1	7484	5758	5766	28	24	16	chr1_hap1
r6_hap2_chr1_hap1:73379-79150	2	73379	5771	5779	32	23	15	chr1_hap1
r7_hap1_chr1_hap1:34612-39929	1	34612	5317	5327	23	19	9	chr1_hap1
r8_hap2_chr1_hap1:59755-62572	2	59755	2817	2820	16	13	10	chr1_hap1
r9_hap1_chr1_hap1:19774-24322	1	19774	4548	4550	20	8	6	chr1_hap1
r10_hap2_chr1_hap1:60783-66042	2	60783	5259	5258	14	12	13	chr1_hap1
r11_hap2_chr1_hap1:52250-57516	2	52250	5266	5271	8	21	16	chr1_hap1
r12_hap1_chr1_hap1:29495-34173	1	29495	4678	4674	19	14	18	chr1_hap1
r13_hap2_chr1_hap1:58065-60075	2	58065	2010	2010	8	6	6	chr1_hap1
r14_hap2_chr1_hap1:49159-51301	2	49159	2142	2146	13	10	6	chr1_hap1
r15_hap1_chr1_hap1:58828-61128	1	58828	2300	2299	11	3	4	chr1_hap1
r16_hap2_chr1_hap1:46757-49060	2	46757	2303	2297	12	4	10	chr1_hap1
r17_hap2_chr1_hap1:33107-35618	2	33107	2511	2507	10	8	12	chr1_hap1
r18_hap1_chr1_hap1:18027-20954	1	18027	2927	2931	13	9	5	chr1_hap1
r19_hap2_chr1_hap1:28716-31494	2	28716	2778	2778	6	7	7	chr1_hap1
r20_hap1_chr1_hap1:27283-32057	1	27283	4774	4772	19	13	15	chr1_hap1
r21_hap2_chr1_hap1:58135-63745	2	58135	5610	5620	22	25	15	chr1_hap1
r22_hap1_chr1_hap1:67133-71284	1	67133	4151	4150	25	11	12	chr1_hap1
r23_hap2_chr1_hap1:10417-12992	2	10417	2575	2585	11	13	3	chr1_hap1
r24_hap2_chr1_hap1:28729-33749	2	28729	5020	5026	13	22	16	chr1_hap1
r25_hap1_chr1_hap1:45514-51020	1	45514	5506	5505	16	10	11	chr1_hap1
r26_hap2_chr1_hap1:45156-49313	2	45156	4157	4158	16	14	13	chr1_hap1
r27_hap1_chr1_hap1:13987-19170	1	13987	5183	5179	13	18	22	chr1_hap1
r28_hap2_chr1_hap1:71112-75409	2	71112	4297	4300	19	15	12	chr1_hap1
r29_hap1_chr1_hap1:25435-29240	1	25435	3805	3810	21	15	10	chr1_hap1
r30_hap1_chr1_hap1:5254-10643	1	5254	5389	5392	21	12	9	chr1_hap1
r31_hap2_chr1_hap1:355-6349	2	355	5994	5995	34	20	19	chr1_hap1
r32_hap1_chr1_hap1:53002-58746	1	53002	5744	5750	15	29	23	chr1_hap1
r33_hap2_chr1_hap1:8157-12789	2	8157	4632	4633	20	13	12	chr1_hap1
r34_hap2_chr1_hap1:52573-56544	2	52573	3971	3970	21	11	12	chr1_hap1
r35_hap1_chr1_hap1:60700-64982	1	60700	4282	4287	20	17	12	chr1_hap1
r36_hap1_chr1_hap1:33452-37048	1	33452	3596	3597	19	10	9	chr1_hap1
r37_hap2_chr1_hap1:33328-38453	2	33328	5125	5109	22	6	22	chr1_hap1
r38_hap1_chr1_hap1:37635-42731	1	37635	5096	5102	18	17	11	chr1_hap1
r39_hap2_chr1_hap1:60580-65617	2	60580	5037	5033	27	8	12	chr1_hap1
r40_hap1_chr1_hap1:18709-21807	1	18709	3098	3095	16	8	11	chr1_hap1
r41_hap1_chr1_hap1:48359-52564	1	48359	4205	4211	26	18	12	chr1_hap1
r42_hap2_chr1_hap1:63995-67432	2	63995	3437	3441	11	14	10	chr1_hap1
r43_hap1_chr1_hap1:19189-24896	1	19189	5707	5707	24	17	17	chr1_hap1
r44_hap2_chr1_hap1:41805-46774	2	41805	4969	4974	11	18	13	chr1_hap1
r45_hap1_chr1_hap1:32072-37234	1	32072	5162	5170	18	19	11	chr1_hap1
r46_hap1_chr1_hap1:39159-44107	1	39159	4948	4947	26	12	13	chr1_hap1
r47_hap1_chr1_hap1:13119-16349	1	13119	3230	3226	12	5	9	chr1_hap1
r48_hap2_chr1_hap1:11324-15978	2	11324	4654	4662	13	25	17	chr1_hap1
r49_hap1_chr1_hap1:15174-18835	1	15174	3661	3670	16	11	2	chr1_hap1
r50_hap1_chr1_hap1:42710-48428	1	42710	5718	5730	22	24	12	chr1_hap1
r51_hap2_chr1_hap1:33680-37431	2	33680	3751	3752	19	10	9	chr1_hap1
r52_hap1_chr1_hap1:286-4459	1	286	4173	4178	14	12	7	chr1_hap1
r53_hap1_chr1_hap1:76183-78494	1	76183	2311	2313	9	7	5	chr1_hap1
r54_hap2_chr1_hap1:51932-57317	2	51932	5385	5386	16	12	11	chr1_hap1
r55_hap1_chr1_hap1:22458-27024	1	22458	4566	4570	16	15	11	chr1_hap1
r56_hap1_chr1_hap1:70249-73291	1	70249	3042	3037	20	9	14	chr1_hap1
r57_hap2_chr1_hap1:71419-76295	2	71419	4876	4884	23	19	11	chr1_hap1
r58_hap2_chr1_hap1:59799-63703	2	59799	3904	3903	13	12	13	chr1_hap1
r59_hap1_chr1_hap1:35087-37931	1	35087	2844	2840	12	5	9	chr1_hap1
r60_hap2_chr1_hap1:50846-55167	2	50846	4321	4323	20	14	12	chr1_hap1
r61_hap2_chr1_hap1:37607-43161	2	37607	5554	5548	22	17	23	chr1_hap1
r62_hap1_chr1_hap1:68872-74727	1	68872	5855	5865	25	25	15	chr1_hap1
r63_hap1_chr1_hap1:64815-66948	1	64815	2133	2135	11	6	4	chr1_hap1
r64_hap1_chr1_hap1:55622-60076	1	55622	4454	4454	16	16	16	chr1_hap1
r65_hap1_chr1_hap1:35522-39198	1	35522	3676	3677	14	13	12	chr1_hap1
r66_hap2_chr1_hap1:17143-22680	2	17143	5537	5523	23	7	21	chr1_hap1
r67_hap1_chr1_hap1:55020-57624	1	55020	2604	2606	5	14	12	chr1_hap1
r68_hap2_chr1_hap1:1170-5820	2	1170	4650	4650	12	12	12	chr1_hap1
r69_hap2_chr1_hap1:27826-30288	2	27826	2462	2461	3	7	8	chr1_hap1
r70_hap1_chr1_hap1:15868-19005	1	15868	3137	3133	6	7	11	chr1_hap1
r71_hap1_chr1_hap1:73669-77000	1	73669	3331	3329	13	11	13	chr1_hap1
r72_hap2_chr1_hap1:24697-29807	2	24697	5110	5109	20	16	17	chr1_hap1
r73_hap1_chr1_hap1:22810-26005	1	22810	3195	3198	14	11	8	chr1_hap1
r74_hap2_chr1_hap1:16242-21466	2	16242	5224	5229	17	22	17	chr1_hap1
r75_hap1_chr1_hap1:43714-49114	1	43714	5400	5399	26	12	13	chr1_hap1
r76_hap2_chr1_hap1:60404-63217	2	60404	2813	2817	10	8	4	chr1_hap1
r77_hap2_chr1_hap1:52769-54951	2	52769	2182	2183	7	4	3	chr1_hap1
r78_hap1_chr1_hap1:19939-24927	1	19939	4988	4999	21	24	13	chr1_hap1
r79_hap2_chr1_hap1:48392-54083	2	48392	5691	5696	18	25	20	chr1_hap1
r80_hap2_chr1_hap1:24357-26469	2	24357	2112	2114	9	8	6	chr1_hap1
r81_hap1_chr1_hap1:62975-68294	1	62975	5319	5315	22	15	19	chr1_hap1
r82_hap2_chr1_hap1:14254-19786	2	14254	5532	5533	27	16	15	chr1_hap1
r83_hap2_chr1_hap1:40414-44130	2	40414	3716	3727	11	20	9	chr1_hap1
r84_hap2_chr1_hap1:8108-13034	2	8108	4926	4919	16	10	17	chr1_hap1
r85_hap2_chr1_hap1:39030-44728	2	39030	5698	5712	19	25	11	chr1_hap1
r86_hap1_chr1_hap1:47834-52549	1	47834	4715	4718	16	18	15	chr1_hap1
r87_hap2_chr1_hap1:17006-19897	2	17006	2891	2897	9	10	4	chr1_hap1
r88_hap1_chr1_hap1:14930-20853	1	14930	5923	5930	31	17	10	chr1_hap1
r89_hap1_chr1_hap1:24680-27503	1	24680	2823	2825	10	9	7	chr1_hap1
r90_hap2_chr1_hap1:31300-34304	2	31300	3004	3001	11	9	12	chr1_hap1
r91_hap1_chr1_hap1:35955-41748	1	35955	5793	5784	21	16	25	chr1_hap1
r92_hap1_chr1_hap1:16074-20832	1	16074	4758	4759	34	13	12	chr1_hap1
r93_hap1_chr1_hap1:4740-9149	1	4740	4409	4408	22	10	11	chr1_hap1
r94_hap2_chr1_hap1:39364-45176	2	39364	5812	5804	26	18	26	chr1_hap1
r95_hap1_chr1_hap1:27749-33028	1	27749	5279	5289	23	24	14	chr1_hap1
r96_hap1_chr1_hap1:19134-24478	1	19134	5344	5347	28	17	14	chr1_hap1
r97_hap1_chr1_hap1:62522-65552	1	62522	3030	3031	14	13	12	chr1_hap1
r98_hap1_chr1_hap1:19249-25089	1	19249	5840	5847	21	25	18	chr1_hap1
r99_hap2_chr1_hap1:74724-78660	2	74724	3936	3932	15	10	14	chr1_hap1
r100_hap1_chr1_hap1:60099-65652	1	60099	5553	5556	21	18	15	chr1_hap1
r101_hap2_chr1_hap1:52842-55328	2	52842	2486	2488	9	9	7	chr1_hap1
r102_hap2_chr1_hap1:17501-22892	2	17501	5391	5384	21	14	21	chr1_hap1
r103_hap2_chr1_hap1:76202-79844	2	76202	3642	3637	14	4	9	chr1_hap1
r104_hap2_chr1_hap1:46289-49928	2	46289	3639	3638	16	14	15	chr1_hap1
r105_hap1_chr1_hap1:41102-44520	1	41102	3418	3418	23	9	9	chr1_hap1
r106_hap2_chr1_hap1:4425-6708	2	4425	2283	2285	13	8	6	chr1_hap1
r107_hap2_chr1_hap1:13777-17084	2	13777	3307	3308	14	6	5	chr1_hap1
r108_hap1_chr1_hap1:31987-36457	1	31987	4470	4474	14	17	13	chr1_hap1
r109_hap1_chr1_hap1:9502-14371	1	9502	4869	4867	28	13	15	chr1_hap1
r110_hap2_chr1_hap1:22859-27650	2	22859	4791	4791	20	14	14	chr1_hap1
r111_hap1_chr1_hap1:11379-16056	1	11379	4677	4679	16	13	11	chr1_hap1
r112_hap2_chr1_hap1:62171-66381	2	62171	4210	4213	13	15	12	chr1_hap1
r113_hap1_chr1_hap1:72480-74735	1	72480	2255	2255	9	6	6	chr1_hap1
r114_hap1_chr1_hap1:41403-45618	1	41403	4215	4223	19	19	11	chr1_hap1
r115_hap1_chr1_hap1:43861-47746	1	43861	3885	3885	15	12	12	chr1_hap1
r116_hap2_chr1_hap1:21455-24426	2	21455	2971	2967	10	8	12	chr1_hap1
r117_hap1_chr1_hap1:10672-14018	1	10672	3346	3344	13	11	13	chr1_hap1
r118_hap2_chr1_hap1:50529-53495	2	50529	2966	2964	7	9	11	chr1_hap1
r119_hap2_chr1_hap1:31826-34497	2	31826	2671	2664	12	6	13	chr1_hap1
r120_hap2_chr1_hap1:42199-44785	2	42199	2586	2587	11	8	7	chr1_hap1
r121_hap2_chr1_hap1:2655-6484	2	2655	3829	3820	12	11	20	chr1_hap1
r122_hap1_chr1_hap1:60120-62493	1	60120	2373	2371	10	4	6	chr1_hap1
r123_hap2_chr1_hap1:56717-62257	2	56717	5540	5539	16	17	18	chr1_hap1
r124_hap2_chr1_hap1:552-4433	2	552	3881	3882	14	8	7	chr1_hap1
