read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:2425-3436	2	2425	1011	1010	3	3	4	chr1_hap2
r1_hap1_chr1_hap1:7833-9276	1	7833	1443	1440	2	4	7	chr1_hap1
r2_hap2_chr1_hap2:703-2035	2	703	1332	1325	7	1	8	chr1_hap2
r3_hap2_chr1_hap2:1020-1870	2	1020	850	848	4	3	5	chr1_hap2
r4_hap1_chr1_hap1:5083-6054	1	5083	971	970	5	1	2	chr1_hap1
r5_hap1_chr1_hap1:1798-2468	1	1798	670	670	3	2	2	chr1_hap1
r6_hap2_chr1_hap2:4598-5927	2	4598	1329	1330	9	5	4	chr1_hap2
r7_hap2_chr1_hap2:7877-8886	2	7877	1009	1013	8	5	1	chr1_hap2
r8_hap1_chr1_hap1:3429-4765	1	3429	1336	1338	2	4	2	chr1_hap1
r9_hap1_chr1_hap1:8602-9162	1	8602	560	558	2	0	2	chr1_hap1
r10_hap2_chr1_hap2:1416-2307	2	1416	891	890	4	0	1	chr1_hap2
r11_hap1_chr1_hap1:5627-6653	1	5627	1026	1030	4	6	2	chr1_hap1
r12_hap2_chr1_hap2:5969-7426	2	5969	1457	1454	3	2	5	chr1_hap2
r13_hap1_chr1_hap1:732-1417	1	732	685	685	2	3	3	chr1_hap1
r14_hap2_chr1_hap2:3700-5128	2	3700	1428	1426	3	1	3	chr1_hap2
r15_hap2_chr1_hap2:2479-3872	2	2479	1393	1393	6	4	4	chr1_hap2
r16_hap1_chr1_hap1:101-943	1	101	842	840	4	1	3	chr1_hap1
r17_hap1_chr1_hap1:5282-6500	1	5282	1218	1215	6	1	4	chr1_hap1
r18_hap1_chr1_hap1:5180-6533	1	5180	1353	1350	5	3	6	chr1_hap1
r19_hap1_chr1_hap1:5115-6020	1	5115	905	904	1	2	3	chr1_hap1
r20_hap1_chr1_hap1:192-1045	1	192	853	854	3	1	0	chr1_hap1
r21_hap2_chr1_hap2:8800-9546	2	8800	746	748	4	3	1	chr1_hap2
r22_hap1_chr1_hap1:7801-9139	1	7801	1338	1337	1	4	5	chr1_hap1
r23_hap2_chr1_hap2:2844-3877	2	2844	1033	1035	3	3	1	chr1_hap2
r24_hap1_chr1_hap1:5277-6708	1	5277	1431	1433	3	5	3	chr1_hap1
r25_hap2_chr1_hap2:2175-2987	2	2175	812	811	1	3	4	chr1_hap2
r26_hap1_chr1_hap1:4800-5392	1	4800	592	590	5	1	3	chr1_hap1
r27_hap2_chr1_hap2:1007-2405	2	1007	1398	1400	10	7	5	chr1_hap2
r28_hap2_chr1_hap2:4825-5682	2	4825	857	859	6	5	3	chr1_hap2
r29_hap1_chr1_hap1:5900-7190	1	5900	1290	1288	4	2	4	chr1_hap1
