read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:14459-17778	2	14459	3319	3318	28	25	26	chr1_hap2
r1_hap1_chr1_hap1:46091-49876	1	46091	3785	3781	37	20	24	chr1_hap1
r2_hap1_chr1_hap1:41017-43566	1	41017	2549	2547	12	7	9	chr1_hap1
r3_hap1_chr1_hap1:84212-88469	1	84212	4257	4258	21	14	13	chr1_hap1
r4_hap2_chr1_hap2:112308-115774	2	112308	3466	3461	28	19	24	chr1_hap2
r5_hap1_chr1_hap1:18572-24255	1	18572	5683	5675	27	15	23	chr1_hap1
r6_hap1_chr1_hap1:64999-67084	1	64999	2085	2089	6	7	3	chr1_hap1
r7_hap2_chr1_hap2:105340-110551	2	105340	5211	5216	28	23	18	chr1_hap2
r8_hap2_chr1_hap2:35063-40831	2	35063	5768	5760	30	24	32	chr1_hap2
r9_hap2_chr1_hap2:17462-19468	2	17462	2006	2006	6	4	4	chr1_hap2
r10_hap1_chr1_hap1:41681-46387	1	41681	4706	4705	22	18	19	chr1_hap1
r11_hap1_chr1_hap1:42115-47872	1	42115	5757	5760	22	16	13	chr1_hap1
r12_hap2_chr1_hap2:56145-60011	2	56145	3866	3864	32	23	25	chr1_hap2
r13_hap2_chr1_hap2:85361-89117	2	85361	3756	3749	14	9	16	chr1_hap2
r14_hap1_chr1_hap1:94885-97366	1	94885	2481	2487	9	8	2	chr1_hap1
r15_hap1_chr1_hap1:67745-73215	1	67745	5470	5471	35	29	28	chr1_hap1
r16_hap2_chr1_hap2:4629-6981	2	4629	2352	2352	10	2	2	chr1_hap2
r17_hap2_chr1_hap2:11778-14995	2	11778	3217	3207	11	2	12	chr1_hap2
r18_hap1_chr1_hap1:14131-16572	1	14131	2441	2443	9	5	3	chr1_hap1
r19_hap2_chr1_hap2:110312-114715	2	110312	4403	4409	18	15	9	chr1_hap2
r20_hap2_chr1_hap2:105866-110880	2	105866	5014	5017	38	27	24	chr1_hap2
r21_hap1_chr1_hap1:6004-8344	1	6004	2340	2347	13	18	11	chr1_hap1
r22_hap1_chr1_hap1:71684-75199	1	71684	3515	3512	31	20	23	chr1_hap1
r23_hap1_chr1_hap1:8002-13843	1	8002	5841	5838	27	12	15	chr1_hap1
r24_hap2_chr1_hap2:78937-84256	2	78937	5319	5328	25	18	9	chr1_hap2
r25_hap1_chr1_hap1:11233-16888	1	11233	5655	5656	30	33	32	chr1_hap1
r26_hap2_chr1_hap2:109748-113774	2	109748	4026	4030	11	17	13	chr1_hap2
r27_hap1_chr1_hap1:40031-45260	1	40031	5229	5225	48	29	33	chr1_hap1
r28_hap1_chr1_hap1:19321-21395	1	19321	2074	2061	25	16	29	chr1_hap1
r29_hap2_chr1_hap2:42554-46979	2	42554	4425	4428	20	15	12	chr1_hap2
r30_hap1_chr1_hap1:62630-66197	1	62630	3567	3566	13	12	13	chr1_hap1
r31_hap2_chr1_hap2:52702-54711	2	52702	2009	2010	12	10	9	chr1_hap2
r32_hap1_chr1_hap1:24069-27418	1	24069	3349	3347	23	25	27	chr1_hap1
r33_hap1_chr1_hap1:92045-95528	1	92045	3483	3478	31	18	23	chr1_hap1
r34_hap1_chr1_hap1:82094-85267	1	82094	3173	3172	11	10	11	chr1_hap1
r35_hap1_chr1_hap1:74542-79133	1	74542	4591	4581	30	25	35	chr1_hap1
r36_hap2_chr1_hap2:106267-112158	2	106267	5891	5884	40	30	37	chr1_hap2
r37_hap1_chr1_hap1:8867-13931	1	8867	5064	5061	33	26	29	chr1_hap1
r38_hap1_chr1_hap1:40456-44139	1	40456	3683	3687	31	25	21	chr1_hap1
r39_hap1_chr1_hap1:19840-24425	1	19840	4585	4581	13	12	16	chr1_hap1
r40_hap2_chr1_hap2:44753-46982	2	44753	2229	2229	5	7	7	chr1_hap2
r41_hap2_chr1_hap2:94568-97100	2	94568	2532	2535	23	24	21	chr1_hap2
r42_hap2_chr1_hap2:37824-40378	2	37824	2554	2551	15	5	8	chr1_hap2
