read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap1_chr1_hap1:23152-25589	1	23152	2437	2436	9	10	11	chr1_hap1
r1_hap2_chr1_hap2:67437-71628	2	67437	4191	4186	19	9	14	chr1_hap2
r2_hap1_chr1_hap1:4458-9506	1	4458	5048	5041	18	13	20	chr1_hap1
r3_hap2_chr1_hap2:70425-73169	2	70425	2744	2740	10	4	8	chr1_hap2
r4_hap2_chr1_hap2:33628-35879	2	33628	2251	2247	3	4	8	chr1_hap2
r5_hap1_chr1_hap1:40087-45912	1	40087	5825	5822	21	13	16	chr1_hap1
r6_hap1_chr1_hap1:8175-11088	1	8175	2913	2910	15	8	11	chr1_hap1
r7_hap1_chr1_hap1:40041-45587	1	40041	5546	5535	25	9	20	chr1_hap1
r8_hap2_chr1_hap2:48208-50627	2	48208	2419	2421	8	7	5	chr1_hap2
r9_hap2_chr1_hap2:45351-49612	2	45351	4261	4256	16	12	17	chr1_hap2
r10_hap2_chr1_hap2:40119-43365	2	40119	3246	3249	19	11	8	chr1_hap2
r11_hap1_chr1_hap1:24885-27468	1	24885	2583	2582	11	7	8	chr1_hap1
r12_hap2_chr1_hap2:20296-23567	2	20296	3271	3272	20	12	11	chr1_hap2
r13_hap2_chr1_hap2:6379-9573	2	6379	3194	3194	20	9	9	chr1_hap2
r14_hap1_chr1_hap1:56629-61700	1	56629	5071	5068	17	19	22	chr1_hap1
r15_hap2_chr1_hap2:21959-25948	2	21959	3989	3996	16	15	8	chr1_hap2
r16_hap2_chr1_hap2:61385-67090	2	61385	5705	5706	25	16	15	chr1_hap2
r17_hap2_chr1_hap2:19783-25355	2	19783	5572	5570	20	21	23	chr1_hap2
r18_hap2_chr1_hap2:61136-64070	2	61136	2934	2927	9	5	12	chr1_hap2
r19_hap2_chr1_hap2:55801-59632	2	55801	3831	3837	14	10	4	chr1_hap2
r20_hap2_chr1_hap2:39244-41941	2	39244	2697	2696	6	5	6	chr1_hap2
r21_hap1_chr1_hap1:10015-13762	1	10015	3747	3747	19	10	10	chr1_hap1
r22_hap2_chr1_hap2:49228-54918	2	49228	5690	5693	24	22	19	chr1_hap2
r23_hap2_chr1_hap2:73505-76378	2	73505	2873	2879	10	9	3	chr1_hap2
r24_hap1_chr1_hap1:61374-66176	1	61374	4802	4793	13	10	19	chr1_hap1
r25_hap1_chr1_hap1:54111-59617	1	54111	5506	5508	27	18	16	chr1_hap1
r26_hap2_chr1_hap2:54042-58619	2	54042	4577	4577	14	12	12	chr1_hap2
r27_hap2_chr1_hap2:40387-44032	2	40387	3645	3640	14	10	15	chr1_hap2
r28_hap2_chr1_hap2:21700-27139	2	21700	5439	5427	21	15	27	chr1_hap2
r29_hap2_chr1_hap2:57916-59918	2	57916	2002	2003	6	8	7	chr1_hap2
r30_hap2_chr1_hap2:64685-67585	2	64685	2900	2906	6	11	5	chr1_hap2
r31_hap2_chr1_hap2:43292-46947	2	43292	3655	3650	13	9	14	chr1_hap2
r32_hap2_chr1_hap2:41388-44657	2	41388	3269	3274	20	14	9	chr1_hap2
r33_hap1_chr1_hap1:34941-37539	1	34941	2598	2598	15	6	6	chr1_hap1
r34_hap1_chr1_hap1:54969-57241	1	54969	2272	2273	6	9	8	chr1_hap1
r35_hap2_chr1_hap2:56046-59353	2	56046	3307	3299	15	9	17	chr1_hap2
r36_hap1_chr1_hap1:67090-73032	1	67090	5942	5951	16	25	16	chr1_hap1
r37_hap2_chr1_hap2:14772-17449	2	14772	2677	2676	9	7	8	chr1_hap2
r38_hap2_chr1_hap2:66018-70662	2	66018	4644	4640	19	11	15	chr1_hap2
r39_hap2_chr1_hap2:12788-16593	2	12788	3805	3806	17	8	7	chr1_hap2
r40_hap1_chr1_hap1:43809-47333	1	43809	3524	3525	9	10	9	chr1_hap1
r41_hap1_chr1_hap1:66433-71010	1	66433	4577	4573	19	7	11	chr1_hap1
r42_hap1_chr1_hap1:50018-55527	1	50018	5509	5518	24	20	11	chr1_hap1
r43_hap1_chr1_hap1:66679-68788	1	66679	2109	2109	8	5	5	chr1_hap1
r44_hap2_chr1_hap2:72896-77918	2	72896	5022	5022	14	11	11	chr1_hap2
r45_hap2_chr1_hap2:58944-61362	2	58944	2418	2416	12	6	8	chr1_hap2
r46_hap2_chr1_hap2:46239-50927	2	46239	4688	4690	17	15	13	chr1_hap2
r47_hap2_chr1_hap2:1417-6214	2	1417	4797	4793	14	15	19	chr1_hap2
r48_hap1_chr1_hap1:21288-23988	1	21288	2700	2698	11	10	12	chr1_hap1
r49_hap1_chr1_hap1:59404-64711	1	59404	5307	5305	20	8	10	chr1_hap1
