read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:109905-113635	2	109905	3730	3729	14	13	14	chr1_hap2
r1_hap1_chr1_hap1:62914-66921	1	62914	4007	4000	18	8	15	chr1_hap1
r2_hap2_chr1_hap2:79493-84305	2	79493	4812	4800	35	24	36	chr1_hap2
r3_hap1_chr1_hap1:108642-113853	1	108642	5211	5211	42	26	26	chr1_hap1
r4_hap1_chr1_hap1:55339-61241	1	55339	5902	5896	23	15	21	chr1_hap1
r5_hap1_chr1_hap1:112325-118274	1	112325	5949	5939	46	23	33	chr1_hap1
r6_hap2_chr1_hap2:54706-60333	2	54706	5627	5628	23	17	16	chr1_hap2
r7_hap2_chr1_hap2:100570-103235	2	100570	2665	2656	6	5	14	chr1_hap2
r8_hap2_chr1_hap2:95235-99829	2	95235	4594	4601	39	30	23	chr1_hap2
r9_hap1_chr1_hap1:62823-67258	1	62823	4435	4444	26	20	11	chr1_hap1
r10_hap1_chr1_hap1:22614-26896	1	22614	4282	4280	31	21	23	chr1_hap1
r11_hap2_chr1_hap2:84251-88343	2	84251	4092	4093	12	18	17	chr1_hap2
r12_hap1_chr1_hap1:20982-24659	1	20982	3677	3684	17	13	6	chr1_hap1
r13_hap2_chr1_hap2:111239-116944	2	111239	5705	5704	41	26	27	chr1_hap2
r14_hap1_chr1_hap1:102379-106286	1	102379	3907	3887	21	23	43	chr1_hap1
r15_hap2_chr1_hap2:38150-42553	2	38150	4403	4404	33	25	24	chr1_hap2
r16_hap1_chr1_hap1:44231-46924	1	44231	2693	2692	24	19	20	chr1_hap1
r17_hap2_chr1_hap2:14206-17482	2	14206	3276	3276	32	18	18	chr1_hap2
r18_hap2_chr1_hap2:61380-64725	2	61380	3345	3332	31	20	33	chr1_hap2
r19_hap1_chr1_hap1:65113-69418	1	65113	4305	4305	16	13	13	chr1_hap1
r20_hap2_chr1_hap2:70202-72889	2	70202	2687	2690	16	23	20	chr1_hap2
r21_hap1_chr1_hap1:107244-109477	1	107244	2233	2234	28	18	17	chr1_hap1
r22_hap1_chr1_hap1:73836-78816	1	73836	4980	4992	36	34	22	chr1_hap1
