read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap1_chr1_hap1:50751-53556	1	50751	2805	2802	11	10	13	chr1_hap1
r1_hap1_chr1_hap1:26221-31582	1	26221	5361	5350	22	10	21	chr1_hap1
r2_hap1_chr1_hap1:12071-16511	1	12071	4440	4437	16	12	15	chr1_hap1
r3_hap1_chr1_hap1:50807-56018	1	50807	5211	5208	15	10	13	chr1_hap1
r4_hap2_chr1_hap2:16284-20060	2	16284	3776	3775	10	12	13	chr1_hap2
r5_hap2_chr1_hap2:5362-8701	2	5362	3339	3332	17	8	15	chr1_hap2
r6_hap1_chr1_hap1:52576-58176	1	52576	5600	5591	25	9	18	chr1_hap1
r7_hap1_chr1_hap1:26431-32108	1	26431	5677	5674	20	15	18	chr1_hap1
r8_hap2_chr1_hap2:10456-12605	2	10456	2149	2149	12	7	7	chr1_hap2
r9_hap2_chr1_hap2:7465-10730	2	7465	3265	3267	17	11	9	chr1_hap2
r10_hap1_chr1_hap1:60761-63766	1	60761	3005	3008	15	11	8	chr1_hap1
r11_hap2_chr1_hap2:50747-54128	2	50747	3381	3388	21	13	6	chr1_hap2
r12_hap2_chr1_hap2:1224-3475	2	1224	2251	2248	13	8	11	chr1_hap2
r13_hap2_chr1_hap2:75050-78334	2	75050	3284	3280	13	8	12	chr1_hap2
r14_hap1_chr1_hap1:15107-19033	1	15107	3926	3928	16	14	12	chr1_hap1
r15_hap2_chr1_hap2:34282-40217	2	34282	5935	5943	27	21	13	chr1_hap2
r16_hap2_chr1_hap2:31312-37145	2	31312	5833	5830	19	19	22	chr1_hap2
r17_hap2_chr1_hap2:31276-37264	2	31276	5988	5979	14	12	21	chr1_hap2
r18_hap1_chr1_hap1:37038-39645	1	37038	2607	2611	14	7	3	chr1_hap1
r19_hap2_chr1_hap2:6647-9690	2	6647	3043	3039	10	4	8	chr1_hap2
r20_hap2_chr1_hap2:17006-20489	2	17006	3483	3488	14	14	9	chr1_hap2
r21_hap1_chr1_hap1:10248-15995	1	10248	5747	5758	24	25	14	chr1_hap1
r22_hap1_chr1_hap1:69430-72725	1	69430	3295	3297	13	7	5	chr1_hap1
r23_hap1_chr1_hap1:47046-49180	1	47046	2134	2128	5	4	10	chr1_hap1
r24_hap1_chr1_hap1:14145-18849	1	14145	4704	4700	21	12	16	chr1_hap1
r25_hap2_chr1_hap2:30445-35963	2	30445	5518	5515	16	15	18	chr1_hap2
r26_hap1_chr1_hap1:50791-56635	1	50791	5844	5845	31	20	19	chr1_hap1
r27_hap2_chr1_hap2:29753-32205	2	29753	2452	2446	9	4	10	chr1_hap2
r28_hap2_chr1_hap2:29234-31485	2	29234	2251	2250	7	9	10	chr1_hap2
r29_hap1_chr1_hap1:26498-30395	1	26498	3897	3903	11	15	9	chr1_hap1
r30_hap1_chr1_hap1:39102-43024	1	39102	3922	3913	12	8	17	chr1_hap1
r31_hap2_chr1_hap2:48537-52286	2	48537	3749	3750	18	14	13	chr1_hap2
r32_hap2_chr1_hap2:35123-37721	2	35123	2598	2599	16	7	6	chr1_hap2
r33_hap2_chr1_hap2:59130-61838	2	59130	2708	2707	7	10	11	chr1_hap2
r34_hap1_chr1_hap1:48487-52405	1	48487	3918	3916	16	15	17	chr1_hap1
r35_hap2_chr1_hap2:29706-32600	2	29706	2894	2894	9	10	10	chr1_hap2
r36_hap1_chr1_hap1:71210-77184	1	71210	5974	5975	21	18	17	chr1_hap1
r37_hap1_chr1_hap1:45493-50362	1	45493	4869	4867	19	12	14	chr1_hap1
r38_hap2_chr1_hap2:16086-20754	2	16086	4668	4668	17	11	11	chr1_hap2
