read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:20491-24536	2	20491	4045	4034	13	10	21	chr1_hap2
r1_hap2_chr1_hap2:9601-14742	2	9601	5141	5138	32	13	16	chr1_hap2
r2_hap2_chr1_hap2:10890-15983	2	10890	5093	5089	16	12	16	chr1_hap2
r3_hap2_chr1_hap2:61425-63578	2	61425	2153	2149	5	3	7	chr1_hap2
r4_hap1_chr1_hap1:40219-46088	1	40219	5869	5862	24	9	16	chr1_hap1
r5_hap2_chr1_hap2:58273-63713	2	58273	5440	5438	14	14	16	chr1_hap2
r6_hap2_chr1_hap2:58304-61356	2	58304	3052	3051	19	12	13	chr1_hap2
r7_hap2_chr1_hap2:74982-78055	2	74982	3073	3074	15	10	9	chr1_hap2
r8_hap1_chr1_hap1:75775-79120	1	75775	3345	3340	16	10	15	chr1_hap1
r9_hap1_chr1_hap1:73388-78205	1	73388	4817	4821	25	17	13	chr1_hap1
r10_hap1_chr1_hap1:45530-51244	1	45530	5714	5713	22	25	26	chr1_hap1
r11_hap2_chr1_hap2:36150-41696	2	36150	5546	5543	17	13	16	chr1_hap2
r12_hap2_chr1_hap2:17959-22835	2	17959	4876	4888	19	22	10	chr1_hap2
r13_hap1_chr1_hap1:52699-57320	1	52699	4621	4619	16	11	13	chr1_hap1
r14_hap1_chr1_hap1:32804-38582	1	32804	5778	5779	30	21	20	chr1_hap1
r15_hap1_chr1_hap1:7181-10551	1	7181	3370	3368	18	16	18	chr1_hap1
r16_hap2_chr1_hap2:11602-14739	2	11602	3137	3139	10	11	9	chr1_hap2
r17_hap2_chr1_hap2:68523-72145	2	68523	3622	3625	17	12	9	chr1_hap2
r18_hap1_chr1_hap1:7480-12766	1	7480	5286	5285	27	12	13	chr1_hap1
r19_hap2_chr1_hap2:32608-35134	2	32608	2526	2517	10	6	15	chr1_hap2
r20_hap1_chr1_hap1:57715-61535	1	57715	3820	3824	14	16	12	chr1_hap1
r21_hap1_chr1_hap1:56915-60884	1	56915	3969	3970	13	9	8	chr1_hap1
r22_hap1_chr1_hap1:43494-45555	1	43494	2061	2063	14	5	3	chr1_hap1
r23_hap1_chr1_hap1:68857-72873	1	68857	4016	4017	16	9	8	chr1_hap1
r24_hap2_chr1_hap2:69620-73188	2	69620	3568	3557	15	6	17	chr1_hap2
r25_hap2_chr1_hap2:41686-45758	2	41686	4072	4071	23	9	10	chr1_hap2
r26_hap2_chr1_hap2:66328-71922	2	66328	5594	5595	24	21	20	chr1_hap2
r27_hap2_chr1_hap2:42329-46631	2	42329	4302	4302	20	9	9	chr1_hap2
r28_hap2_chr1_hap2:30763-35576	2	30763	4813	4804	21	8	17	chr1_hap2
r29_hap2_chr1_hap2:9882-15335	2	9882	5453	5453	27	17	17	chr1_hap2
r30_hap2_chr1_hap2:16030-20739	2	16030	4709	4713	16	19	15	chr1_hap2
r31_hap2_chr1_hap2:38686-43508	2	38686	4822	4822	21	12	12	chr1_hap2
r32_hap2_chr1_hap2:4576-9939	2	4576	5363	5359	23	20	24	chr1_hap2
r33_hap2_chr1_hap2:35096-39543	2	35096	4447	4437	11	7	17	chr1_hap2
r34_hap1_chr1_hap1:17531-22850	1	17531	5319	5318	30	18	19	chr1_hap1
r35_hap1_chr1_hap1:41473-46190	1	41473	4717	4714	21	11	14	chr1_hap1
r36_hap2_chr1_hap2:41147-45806	2	41147	4659	4654	22	14	19	chr1_hap2
r37_hap2_chr1_hap2:40921-45303	2	40921	4382	4384	15	19	17	chr1_hap2
r38_hap2_chr1_hap2:33576-39035	2	33576	5459	5462	24	20	17	chr1_hap2
r39_hap1_chr1_hap1:58434-62444	1	58434	4010	4016	16	16	10	chr1_hap1
r40_hap2_chr1_hap2:15680-19378	2	15680	3698	3691	14	9	16	chr1_hap2
r41_hap2_chr1_hap2:32787-36580	2	32787	3793	3792	16	9	10	chr1_hap2
r42_hap1_chr1_hap1:73049-77512	1	73049	4463	4461	11	12	14	chr1_hap1
r43_hap2_chr1_hap2:24638-27734	2	24638	3096	3096	11	7	7	chr1_hap2
r44_hap1_chr1_hap1:34406-39640	1	34406	5234	5230	28	11	15	chr1_hap1
r45_hap2_chr1_hap2:56921-60640	2	56921	3719	3727	7	12	4	chr1_hap2
r46_hap2_chr1_hap2:72373-76105	2	72373	3732	3733	7	12	11	chr1_hap2
r47_hap1_chr1_hap1:63382-68100	1	63382	4718	4715	22	12	15	chr1_hap1
r48_hap1_chr1_hap1:48652-53452	1	48652	4800	4800	18	14	14	chr1_hap1
r49_hap2_chr1_hap2:65299-69761	2	65299	4462	4459	11	15	18	chr1_hap2
r50_hap2_chr1_hap2:49295-53824	2	49295	4529	4524	16	12	17	chr1_hap2
r51_hap2_chr1_hap2:75183-77237	2	75183	2054	2055	3	5	4	chr1_hap2
r52_hap1_chr1_hap1:8332-13768	1	8332	5436	5444	19	21	13	chr1_hap1
r53_hap2_chr1_hap2:41194-46040	2	41194	4846	4848	16	15	13	chr1_hap2
r54_hap1_chr1_hap1:14593-18785	1	14593	4192	4184	17	5	13	chr1_hap1
r55_hap2_chr1_hap2:37768-41566	2	37768	3798	3809	15	17	6	chr1_hap2
