read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap1:71265-76286	2	71265	5021	5021	21	12	12	chr1_hap1
r1_hap1_chr1_hap1:56287-61926	1	56287	5639	5640	28	17	16	chr1_hap1
r2_hap1_chr1_hap1:21273-25392	1	21273	4119	4120	22	13	12	chr1_hap1
r3_hap1_chr1_hap1:58501-62415	1	58501	3914	3911	14	10	13	chr1_hap1
r4_hap2_chr1_hap1:25018-28298	2	25018	3280	3279	14	9	10	chr1_hap1
r5_hap2_chr1_hap1:11749-15338	2	11749	3589	3592	16	12	9	chr1_hap1
r6_hap2_chr1_hap1:661-2710	2	661	2049	2049	10	8	8	chr1_hap1
r7_hap1_chr1_hap1:47488-52640	1	47488	5152	5159	20	21	14	chr1_hap1
r8_hap2_chr1_hap1:69725-74622	2	69725	4897	4899	20	13	11	chr1_hap1
r9_hap1_chr1_hap1:39985-43569	1	39985	3584	3584	10	15	15	chr1_hap1
r10_hap1_chr1_hap1:74175-79592	1	74175	5417	5419	24	15	13	chr1_hap1
r11_hap1_chr1_hap1:42852-45641	1	42852	2789	2788	13	7	8	chr1_hap1
r12_hap2_chr1_hap1:10621-13112	2	10621	2491	2494	9	9	6	chr1_hap1
r13_hap2_chr1_hap1:25997-30337	2	25997	4340	4333	16	10	17	chr1_hap1
r14_hap1_chr1_hap1:38647-41658	1	38647	3011	3020	8	10	1	chr1_hap1
r15_hap1_chr1_hap1:5068-7466	1	5068	2398	2398	6	7	7	chr1_hap1
r16_hap1_chr1_hap1:40578-43227	1	40578	2649	2645	11	5	9	chr1_hap1
r17_hap1_chr1_hap1:41080-43688	1	41080	2608	2608	7	3	3	chr1_hap1
r18_hap1_chr1_hap1:6753-8785	1	6753	2032	2027	7	4	9	chr1_hap1
r19_hap2_chr1_hap1:75574-77972	2	75574	2398	2397	12	3	4	chr1_hap1
r20_hap1_chr1_hap1:68209-74054	1	68209	5845	5852	23	18	11	chr1_hap1
r21_hap2_chr1_hap1:30950-36647	2	30950	5697	5702	20	21	16	chr1_hap1
r22_hap2_chr1_hap1:41606-45730	2	41606	4124	4133	16	18	9	chr1_hap1
r23_hap1_chr1_hap1:61532-64255	1	61532	2723	2719	9	8	12	chr1_hap1
r24_hap2_chr1_hap1:50242-53465	2	50242	3223	3225	18	8	6	chr1_hap1
r25_hap2_chr1_hap1:29790-34117	2	29790	4327	4331	20	13	9	chr1_hap1
r26_hap2_chr1_hap1:71489-76740	2	71489	5251	5256	19	21	16	chr1_hap1
r27_hap2_chr1_hap1:41063-47042	2	41063	5979	5977	20	21	23	chr1_hap1
r28_hap2_chr1_hap1:20042-24423	2	20042	4381	4376	26	11	16	chr1_hap1
r29_hap2_chr1_hap1:46543-50391	2	46543	3848	3846	10	12	14	chr1_hap1
r30_hap1_chr1_hap1:60808-64640	1	60808	3832	3833	20	14	13	chr1_hap1
r31_hap2_chr1_hap1:63905-68507	2	63905	4602	4606	22	18	14	chr1_hap1
r32_hap2_chr1_hap1:28539-34136	2	28539	5597	5596	22	16	17	chr1_hap1
r33_hap1_chr1_hap1:12937-18845	1	12937	5908	5906	19	20	22	chr1_hap1
r34_hap1_chr1_hap1:31484-36515	1	31484	5031	5026	15	15	20	chr1_hap1
r35_hap1_chr1_hap1:30413-32795	1	30413	2382	2379	4	5	8	chr1_hap1
r36_hap2_chr1_hap1:10688-15080	2	10688	4392	4393	15	21	20	chr1_hap1
r37_hap1_chr1_hap1:15066-19821	1	15066	4755	4763	28	19	11	chr1_hap1
r38_hap2_chr1_hap1:44230-49470	2	44230	5240	5236	18	12	16	chr1_hap1
r39_hap1_chr1_hap1:25092-30880	1	25092	5788	5794	23	27	21	chr1_hap1
r40_hap2_chr1_hap1:23042-28875	2	23042	5833	5830	28	8	11	chr1_hap1
r41_hap1_chr1_hap1:36949-39987	1	36949	3038	3037	14	8	9	chr1_hap1
r42_hap1_chr1_hap1:34411-39318	1	34411	4907	4899	20	13	21	chr1_hap1
r43_hap2_chr1_hap1:26912-32423	2	26912	5511	5518	12	22	15	chr1_hap1
r44_hap1_chr1_hap1:5327-8122	1	5327	2795	2799	5	13	9	chr1_hap1
r45_hap1_chr1_hap1:61506-65015	1	61506	3509	3513	10	16	12	chr1_hap1
r46_hap2_chr1_hap1:62915-68437	2	62915	5522	5519	20	13	16	chr1_hap1
r47_hap1_chr1_hap1:11583-13842	1	11583	2259	2257	8	6	8	chr1_hap1
r48_hap2_chr1_hap1:60255-62994	2	60255	2739	2737	17	8	10	chr1_hap1
r49_hap1_chr1_hap1:19038-22128	1	19038	3090	3091	9	10	9	chr1_hap1
r50_hap1_chr1_hap1:3839-7897	1	3839	4058	4053	26	9	14	chr1_hap1
r51_hap2_chr1_hap1:62566-68049	2	62566	5483	5485	27	14	12	chr1_hap1
r52_hap2_chr1_hap1:27610-33573	2	27610	5963	5980	19	31	14	chr1_hap1
r53_hap1_chr1_hap1:12072-16939	1	12072	4867	4866	17	15	16	chr1_hap1
r54_hap1_chr1_hap1:43913-49682	1	43913	5769	5772	31	18	15	chr1_hap1
r55_hap2_chr1_hap1:43911-49163	2	43911	5252	5243	14	11	20	chr1_hap1
r56_hap2_chr1_hap1:11767-15834	2	11767	4067	4065	17	11	13	chr1_hap1
r57_hap1_chr1_hap1:12805-18590	1	12805	5785	5786	16	14	13	chr1_hap1
r58_hap2_chr1_hap1:21418-25045	2	21418	3627	3615	9	4	16	chr1_hap1
r59_hap1_chr1_hap1:42485-44685	1	42485	2200	2205	8	11	6	chr1_hap1
r60_hap2_chr1_hap1:21602-24418	2	21602	2816	2813	10	10	13	chr1_hap1
r61_hap1_chr1_hap1:35934-40522	1	35934	4588	4580	18	13	21	chr1_hap1
r62_hap2_chr1_hap1:57434-60061	2	57434	2627	2624	8	4	7	chr1_hap1
r63_hap1_chr1_hap1:39239-41448	1	39239	2209	2206	14	6	9	chr1_hap1
r64_hap2_chr1_hap1:57228-59411	2	57228	2183	2181	8	5	7	chr1_hap1
r65_hap2_chr1_hap1:55866-58519	2	55866	2653	2653	18	9	9	chr1_hap1
r66_hap2_chr1_hap1:24183-28941	2	24183	4758	4755	23	13	16	chr1_hap1
r67_hap1_chr1_hap1:12721-18693	1	12721	5972	5968	20	19	23	chr1_hap1
r68_hap1_chr1_hap1:6535-10964	1	6535	4429	4428	16	16	17	chr1_hap1
r69_hap2_chr1_hap1:16722-19316	2	16722	2594	2604	6	12	2	chr1_hap1
r70_hap2_chr1_hap1:36021-39665	2	36021	3644	3655	15	19	8	chr1_hap1
r71_hap2_chr1_hap1:10859-16764	2	10859	5905	5903	27	19	21	chr1_hap1
r72_hap2_chr1_hap1:22392-26860	2	22392	4468	4474	14	21	15	chr1_hap1
r73_hap1_chr1_hap1:8134-12598	1	8134	4464	4466	31	12	10	chr1_hap1
r74_hap1_chr1_hap1:33518-36463	1	33518	2945	2946	17	11	10	chr1_hap1
r75_hap1_chr1_hap1:52063-56554	1	52063	4491	4498	17	15	8	chr1_hap1
r76_hap2_chr1_hap1:34282-37982	2	34282	3700	3704	14	13	9	chr1_hap1
r77_hap1_chr1_hap1:39626-43175	1	39626	3549	3543	9	9	15	chr1_hap1
r78_hap2_chr1_hap1:70314-73043	2	70314	2729	2733	13	13	9	chr1_hap1
r79_hap2_chr1_hap1:4541-9284	2	4541	4743	4752	19	19	10	chr1_hap1
r80_hap2_chr1_hap1:36817-39179	2	36817	2362	2353	13	2	11	chr1_hap1
r81_hap1_chr1_hap1:61799-67134	1	61799	5335	5333	20	16	18	chr1_hap1
r82_hap2_chr1_hap1:48133-52141	2	48133	4008	4010	12	13	11	chr1_hap1
r83_hap2_chr1_hap1:6631-9065	2	6631	2434	2429	7	5	10	chr1_hap1
r84_hap1_chr1_hap1:16578-20864	1	16578	4286	4284	20	12	14	chr1_hap1
r85_hap1_chr1_hap1:23673-28237	1	23673	4564	4569	18	15	10	chr1_hap1
r86_hap2_chr1_hap1:49966-53223	2	49966	3257	3256	15	13	14	chr1_hap1
r87_hap1_chr1_hap1:53185-55721	1	53185	2536	2536	7	9	9	chr1_hap1
r88_hap1_chr1_hap1:10106-12289	1	10106	2183	2180	8	7	10	chr1_hap1
r89_hap2_chr1_hap1:30140-35183	2	30140	5043	5043	19	18	18	chr1_hap1
r90_hap1_chr1_hap1:3627-7109	1	3627	3482	3487	13	20	15	chr1_hap1
r91_hap1_chr1_hap1:17327-21798	1	17327	4471	4473	22	15	13	chr1_hap1
r92_hap1_chr1_hap1:56461-61911	1	56461	5450	5459	32	23	14	chr1_hap1
r93_hap1_chr1_hap1:57434-61230	1	57434	3796	3797	14	11	10	chr1_hap1
r94_hap2_chr1_hap1:33647-37151	2	33647	3504	3509	13	12	7	chr1_hap1
r95_hap2_chr1_hap1:63123-65665	2	63123	2542	2541	8	6	7	chr1_hap1
r96_hap2_chr1_hap1:38610-40873	2	38610	2263	2269	17	14	8	chr1_hap1
r97_hap2_chr1_hap1:39945-44087	2	39945	4142	4146	16	14	10	chr1_hap1
r98_hap1_chr1_hap1:55777-59536	1	55777	3759	3766	18	18	11	chr1_hap1
r99_hap2_chr1_hap1:29980-32444	2	29980	2464	2466	7	9	7	chr1_hap1
r100_hap2_chr1_hap1:22677-26283	2	22677	3606	3604	17	11	13	chr1_hap1
r101_hap1_chr1_hap1:32746-37785	1	32746	5039	5041	26	16	14	chr1_hap1
r102_hap1_chr1_hap1:61366-66286	1	61366	4920	4925	19	18	13	chr1_hap1
r103_hap1_chr1_hap1:59843-63120	1	59843	3277	3282	11	8	3	chr1_hap1
r104_hap1_chr1_hap1:64395-67561	1	64395	3166	3164	14	8	10	chr1_hap1
r105_hap2_chr1_hap1:11171-16120	2	11171	4949	4949	22	14	14	chr1_hap1
r106_hap2_chr1_hap1:12646-15289	2	12646	2643	2644	6	13	12	chr1_hap1
r107_hap2_chr1_hap1:54257-59741	2	54257	5484	5489	20	22	17	chr1_hap1
r108_hap2_chr1_hap1:67507-71985	2	67507	4478	4480	16	14	12	chr1_hap1
r109_hap2_chr1_hap1:34528-39018	2	34528	4490	4494	14	17	13	chr1_hap1
r110_hap2_chr1_hap1:41775-46184	2	41775	4409	4414	12	14	9	chr1_hap1
r111_hap2_chr1_hap1:53145-56031	2	53145	2886	2880	13	1	7	chr1_hap1
r112_hap1_chr1_hap1:63561-67020	1	63561	3459	3463	16	9	5	chr1_hap1
r113_hap1_chr1_hap1:17194-22608	1	17194	5414	5424	22	22	12	chr1_hap1
r114_hap2_chr1_hap1:4250-8579	2	4250	4329	4328	10	14	15	chr1_hap1
r115_hap2_chr1_hap1:55199-58485	2	55199	3286	3291	10	12	7	chr1_hap1
r116_hap2_chr1_hap1:23847-29674	2	23847	5827	5839	16	24	12	chr1_hap1
r117_hap2_chr1_hap1:7255-12927	2	7255	5672	5672	17	15	15	chr1_hap1
r118_hap1_chr1_hap1:8715-12248	1	8715	3533	3531	17	8	10	chr1_hap1
r119_hap2_chr1_hap1:74238-77627	2	74238	3389	3389	18	15	15	chr1_hap1
r120_hap1_chr1_hap1:18988-21126	1	18988	2138	2133	12	4	9	chr1_hap1
r121_hap1_chr1_hap1:13574-19462	1	13574	5888	5889	30	18	17	chr1_hap1
r122_hap2_chr1_hap1:76880-79611	2	76880	2731	2739	13	14	6	chr1_hap1
r123_hap2_chr1_hap1:52844-55473	2	52844	2629	2630	16	7	6	chr1_hap1
