read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:4640-7993	2	4640	3353	3346	18	7	14	chr1_hap2
r1_hap2_chr1_hap2:74373-78420	2	74373	4047	4042	15	5	10	chr1_hap2
r2_hap1_chr1_hap1:17599-23183	1	17599	5584	5582	20	12	14	chr1_hap1
r3_hap2_chr1_hap2:16388-21900	2	16388	5512	5516	19	16	12	chr1_hap2
r4_hap2_chr1_hap2:34259-37464	2	34259	3205	3205	15	11	11	chr1_hap2
r5_hap1_chr1_hap1:49443-51523	1	49443	2080	2079	14	8	9	chr1_hap1
r6_hap2_chr1_hap2:75180-78858	2	75180	3678	3682	14	14	10	chr1_hap2
r7_hap1_chr1_hap1:50912-55435	1	50912	4523	4526	21	14	11	chr1_hap1
r8_hap2_chr1_hap2:57136-63079	2	57136	5943	5938	18	13	18	chr1_hap2
r9_hap2_chr1_hap2:70693-75859	2	70693	5166	5160	20	8	14	chr1_hap2
r10_hap1_chr1_hap1:10862-16571	1	10862	5709	5711	22	18	16	chr1_hap1
r11_hap2_chr1_hap2:7675-12517	2	7675	4842	4848	13	20	14	chr1_hap2
r12_hap1_chr1_hap1:26182-31073	1	26182	4891	4883	20	10	18	chr1_hap1
r13_hap1_chr1_hap1:15694-21680	1	15694	5986	5979	21	16	23	chr1_hap1
r14_hap1_chr1_hap1:21714-23787	1	21714	2073	2066	9	4	11	chr1_hap1
r15_hap1_chr1_hap1:25307-27557	1	25307	2250	2251	7	5	4	chr1_hap1
r16_hap1_chr1_hap1:30529-35752	1	30529	5223	5219	20	22	26	chr1_hap1
r17_hap2_chr1_hap2:7695-10495	2	7695	2800	2800	13	7	7	chr1_hap2
r18_hap2_chr1_hap2:10769-13774	2	10769	3005	3008	13	11	8	chr1_hap2
r19_hap2_chr1_hap2:74124-77909	2	74124	3785	3789	11	12	8	chr1_hap2
r20_hap1_chr1_hap1:18416-22414	1	18416	3998	3996	7	13	15	chr1_hap1
r21_hap2_chr1_hap2:5210-10718	2	5210	5508	5507	26	17	18	chr1_hap2
r22_hap2_chr1_hap2:34706-40674	2	34706	5968	5971	28	17	14	chr1_hap2
r23_hap2_chr1_hap2:4682-9544	2	4682	4862	4861	14	14	15	chr1_hap2
r24_hap1_chr1_hap1:20874-26501	1	20874	5627	5634	27	24	17	chr1_hap1
r25_hap1_chr1_hap1:20650-24105	1	20650	3455	3452	12	7	10	chr1_hap1
r26_hap1_chr1_hap1:11416-16001	1	11416	4585	4588	15	21	18	chr1_hap1
r27_hap2_chr1_hap2:3508-9155	2	3508	5647	5651	21	20	16	chr1_hap2
r28_hap1_chr1_hap1:18106-22818	1	18106	4712	4710	17	15	17	chr1_hap1
r29_hap1_chr1_hap1:24305-29126	1	24305	4821	4817	13	10	14	chr1_hap1
r30_hap1_chr1_hap1:17387-22662	1	17387	5275	5274	19	16	17	chr1_hap1
r31_hap1_chr1_hap1:11109-15896	1	11109	4787	4778	17	11	20	chr1_hap1
r32_hap1_chr1_hap1:29708-33305	1	29708	3597	3591	21	7	13	chr1_hap1
r33_hap1_chr1_hap1:22961-28810	1	22961	5849	5854	16	13	8	chr1_hap1
r34_hap2_chr1_hap2:2982-7602	2	2982	4620	4619	26	13	14	chr1_hap2
r35_hap1_chr1_hap1:121-3661	1	121	3540	3536	21	10	14	chr1_hap1
r36_hap1_chr1_hap1:14119-18925	1	14119	4806	4809	18	16	13	chr1_hap1
r37_hap1_chr1_hap1:42617-45641	1	42617	3024	3019	10	8	13	chr1_hap1
r38_hap1_chr1_hap1:41988-44448	1	41988	2460	2455	15	4	9	chr1_hap1
r39_hap1_chr1_hap1:65100-68077	1	65100	2977	2972	12	6	11	chr1_hap1
r40_hap1_chr1_hap1:32263-35654	1	32263	3391	3393	16	10	8	chr1_hap1
r41_hap1_chr1_hap1:16238-21925	1	16238	5687	5686	18	16	17	chr1_hap1
r42_hap2_chr1_hap2:34497-36814	2	34497	2317	2319	6	7	5	chr1_hap2
r43_hap1_chr1_hap1:11107-13506	1	11107	2399	2398	13	6	7	chr1_hap1
r44_hap1_chr1_hap1:62658-65356	1	62658	2698	2695	12	5	8	chr1_hap1
r45_hap1_chr1_hap1:27072-30146	1	27072	3074	3066	15	8	16	chr1_hap1
r46_hap1_chr1_hap1:163-5174	1	163	5011	5012	20	17	16	chr1_hap1
r47_hap1_chr1_hap1:49490-53275	1	49490	3785	3783	15	8	10	chr1_hap1
r48_hap2_chr1_hap2:15107-20724	2	15107	5617	5621	29	22	18	chr1_hap2
r49_hap1_chr1_hap1:28371-32707	1	28371	4336	4334	17	11	13	chr1_hap1
r50_hap1_chr1_hap1:16065-19480	1	16065	3415	3422	13	15	8	chr1_hap1
r51_hap1_chr1_hap1:11001-15212	1	11001	4211	4211	19	13	13	chr1_hap1
r52_hap1_chr1_hap1:13142-17338	1	13142	4196	4196	15	12	12	chr1_hap1
