read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap1_chr1_hap1:85101-89767	1	85101	4666	4656	19	13	23	chr1_hap1
r1_hap1_chr1_hap1:15133-19976	1	15133	4843	4843	42	30	30	chr1_hap1
r2_hap2_chr1_hap2:22410-27831	2	22410	5421	5426	28	34	29	chr1_hap2
r3_hap2_chr1_hap2:110969-115760	2	110969	4791	4783	20	12	20	chr1_hap2
r4_hap2_chr1_hap2:39099-42406	2	39099	3307	3323	21	31	15	chr1_hap2
r5_hap2_chr1_hap2:8239-11230	2	8239	2991	2990	13	7	8	chr1_hap2
r6_hap2_chr1_hap2:92117-95077	2	92117	2960	2958	35	23	25	chr1_hap2
r7_hap2_chr1_hap2:112376-115699	2	112376	3323	3323	28	23	23	chr1_hap2
r8_hap2_chr1_hap2:35559-38597	2	35559	3038	3044	28	20	14	chr1_hap2
r9_hap2_chr1_hap2:107407-112945	2	107407	5538	5533	30	13	18	chr1_hap2
r10_hap2_chr1_hap2:20420-23258	2	20420	2838	2849	25	27	16	chr1_hap2
r11_hap2_chr1_hap2:93714-99680	2	93714	5966	5979	27	22	9	chr1_hap2
r12_hap1_chr1_hap1:85660-91489	1	85660	5829	5828	41	23	24	chr1_hap1
r13_hap2_chr1_hap2:73045-78287	2	73045	5242	5242	13	19	19	chr1_hap2
r14_hap2_chr1_hap2:48844-53381	2	48844	4537	4539	21	11	9	chr1_hap2
r15_hap2_chr1_hap2:40753-42849	2	40753	2096	2102	23	19	13	chr1_hap2
r16_hap2_chr1_hap2:90107-93668	2	90107	3561	3555	24	26	32	chr1_hap2
r17_hap1_chr1_hap1:62929-65621	1	62929	2692	2690	18	15	17	chr1_hap1
r18_hap2_chr1_hap2:66184-72178	2	66184	5994	5995	22	18	17	chr1_hap2
r19_hap2_chr1_hap2:110082-115625	2	110082	5543	5543	43	36	36	chr1_hap2
r20_hap2_chr1_hap2:48346-50947	2	48346	2601	2598	11	11	14	chr1_hap2
r21_hap1_chr1_hap1:41562-45906	1	41562	4344	4342	15	11	13	chr1_hap1
r22_hap2_chr1_hap2:24268-29229	2	24268	4961	4955	21	13	19	chr1_hap2
r23_hap1_chr1_hap1:45785-48629	1	45785	2844	2842	15	11	13	chr1_hap1
r24_hap2_chr1_hap2:27819-31252	2	27819	3433	3437	29	22	18	chr1_hap2
r25_hap2_chr1_hap2:62472-67929	2	62472	5457	5447	40	22	32	chr1_hap2
r26_hap2_chr1_hap2:48927-51855	2	48927	2928	2927	19	12	13	chr1_hap2
r27_hap1_chr1_hap1:82047-86661	1	82047	4614	4620	45	21	15	chr1_hap1
r28_hap1_chr1_hap1:78440-80654	1	78440	2214	2216	11	5	3	chr1_hap1
r29_hap2_chr1_hap2:91867-95369	2	91867	3502	3497	33	15	20	chr1_hap2
r30_hap2_chr1_hap2:58565-60577	2	58565	2012	2014	27	24	22	chr1_hap2
r31_hap1_chr1_hap1:81463-85395	1	81463	3932	3936	37	24	20	chr1_hap1
r32_hap2_chr1_hap2:64270-67607	2	64270	3337	3345	31	20	12	chr1_hap2
r33_hap2_chr1_hap2:68977-74372	2	68977	5395	5406	23	24	13	chr1_hap2
r34_hap1_chr1_hap1:83753-89364	1	83753	5611	5616	38	28	23	chr1_hap1
r35_hap1_chr1_hap1:81574-84639	1	81574	3065	3064	14	9	10	chr1_hap1
r36_hap1_chr1_hap1:30393-35001	1	30393	4608	4614	16	14	8	chr1_hap1
r37_hap1_chr1_hap1:40727-45584	1	40727	4857	4865	43	33	25	chr1_hap1
r38_hap1_chr1_hap1:46485-50253	1	46485	3768	3774	35	32	26	chr1_hap1
