read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:25101-30882	2	25101	5781	5777	24	17	21	chr1_hap2
r1_hap1_chr1_hap1:56086-60527	1	56086	4441	4430	33	26	37	chr1_hap1
r2_hap2_chr1_hap2:79875-81903	2	79875	2028	2022	22	12	18	chr1_hap2
r3_hap2_chr1_hap2:41969-47180	2	41969	5211	5200	34	16	27	chr1_hap2
r4_hap2_chr1_hap2:63011-66329	2	63011	3318	3319	16	9	8	chr1_hap2
r5_hap2_chr1_hap2:1041-3846	2	1041	2805	2791	22	19	33	chr1_hap2
r6_hap1_chr1_hap1:42737-48458	1	42737	5721	5714	27	13	20	chr1_hap1
r7_hap2_chr1_hap2:55769-61572	2	55769	5803	5817	33	39	25	chr1_hap2
r8_hap2_chr1_hap2:40584-45765	2	40584	5181	5176	20	15	20	chr1_hap2
r9_hap1_chr1_hap1:14937-18721	1	14937	3784	3787	14	14	11	chr1_hap1
r10_hap2_chr1_hap2:1885-4007	2	1885	2122	2134	23	24	12	chr1_hap2
r11_hap1_chr1_hap1:4775-8051	1	4775	3276	3279	34	22	19	chr1_hap1
r12_hap1_chr1_hap1:101850-105609	1	101850	3759	3759	16	13	13	chr1_hap1
r13_hap2_chr1_hap2:59627-62230	2	59627	2603	2597	27	20	26	chr1_hap2
r14_hap2_chr1_hap2:8398-11777	2	8398	3379	3385	15	12	6	chr1_hap2
r15_hap2_chr1_hap2:40660-44456	2	40660	3796	3799	32	26	23	chr1_hap2
r16_hap1_chr1_hap1:25836-28387	1	25836	2551	2547	20	18	22	chr1_hap1
r17_hap1_chr1_hap1:91249-95243	1	91249	3994	3990	34	22	26	chr1_hap1
r18_hap2_chr1_hap2:11503-16411	2	11503	4908	4899	15	9	18	chr1_hap2
r19_hap1_chr1_hap1:105411-110796	1	105411	5385	5380	27	23	28	chr1_hap1
r20_hap2_chr1_hap2:3072-6522	2	3072	3450	3454	32	23	19	chr1_hap2
r21_hap2_chr1_hap2:7779-13469	2	7779	5690	5692	37	35	33	chr1_hap2
r22_hap2_chr1_hap2:53300-55355	2	53300	2055	2057	27	15	13	chr1_hap2
r23_hap2_chr1_hap2:96543-99374	2	96543	2831	2829	12	5	7	chr1_hap2
r24_hap2_chr1_hap2:70042-72638	2	70042	2596	2583	7	4	17	chr1_hap2
r25_hap1_chr1_hap1:102608-108114	1	102608	5506	5506	43	27	27	chr1_hap1
r26_hap1_chr1_hap1:101835-106417	1	101835	4582	4574	28	25	33	chr1_hap1
r27_hap2_chr1_hap2:39295-45227	2	39295	5932	5924	39	24	32	chr1_hap2
r28_hap2_chr1_hap2:11308-16277	2	11308	4969	4969	36	32	32	chr1_hap2
r29_hap1_chr1_hap1:44429-48011	1	44429	3582	3590	21	21	13	chr1_hap1
r30_hap2_chr1_hap2:28258-30492	2	28258	2234	2236	25	19	17	chr1_hap2
r31_hap2_chr1_hap2:1965-5916	2	1965	3951	3942	40	20	29	chr1_hap2
r32_hap2_chr1_hap2:12820-14876	2	12820	2056	2053	19	17	20	chr1_hap2
r33_hap1_chr1_hap1:103191-108038	1	103191	4847	4838	35	25	34	chr1_hap1
r34_hap1_chr1_hap1:109886-115771	1	109886	5885	5883	19	20	22	chr1_hap1
r35_hap2_chr1_hap2:44175-47293	2	44175	3118	3117	12	7	8	chr1_hap2
r36_hap1_chr1_hap1:18225-23249	1	18225	5024	5021	26	27	30	chr1_hap1
