read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap1_chr1_hap1:18301-21018	1	18301	2717	2707	9	8	18	chr1_hap1
r1_hap1_chr1_hap1:6908-12128	1	6908	5220	5221	39	30	29	chr1_hap1
r2_hap2_chr1_hap2:70007-74142	2	70007	4135	4141	15	19	13	chr1_hap2
r3_hap1_chr1_hap1:35357-41132	1	35357	5775	5764	36	30	41	chr1_hap1
r4_hap1_chr1_hap1:9833-15349	1	9833	5516	5522	22	19	13	chr1_hap1
r5_hap1_chr1_hap1:51324-57241	1	51324	5917	5925	25	19	11	chr1_hap1
r6_hap2_chr1_hap2:17077-20172	2	17077	3095	3096	7	10	9	chr1_hap2
r7_hap1_chr1_hap1:41152-46378	1	41152	5226	5227	37	27	26	chr1_hap1
r8_hap1_chr1_hap1:27909-31473	1	27909	3564	3562	36	24	26	chr1_hap1
r9_hap2_chr1_hap2:65038-69796	2	65038	4758	4769	32	25	14	chr1_hap2
r10_hap2_chr1_hap2:14231-17240	2	14231	3009	3020	21	31	20	chr1_hap2
r11_hap1_chr1_hap1:74948-78880	1	74948	3932	3938	15	11	5	chr1_hap1
r12_hap2_chr1_hap2:53930-55969	2	53930	2039	2039	9	4	4	chr1_hap2
r13_hap1_chr1_hap1:46257-48259	1	46257	2002	2000	7	4	6	chr1_hap1
r14_hap2_chr1_hap2:677-2967	2	677	2290	2293	23	19	16	chr1_hap2
r15_hap2_chr1_hap2:65137-67542	2	65137	2405	2403	23	19	21	chr1_hap2
r16_hap2_chr1_hap2:20319-25364	2	20319	5045	5053	25	15	7	chr1_hap2
r17_hap2_chr1_hap2:41219-44612	2	41219	3393	3388	13	9	14	chr1_hap2
r18_hap1_chr1_hap1:7871-13018	1	7871	5147	5162	27	40	25	chr1_hap1
r19_hap1_chr1_hap1:43494-45846	1	43494	2352	2338	27	13	27	chr1_hap1
r20_hap1_chr1_hap1:34693-36752	1	34693	2059	2063	8	6	2	chr1_hap1
r21_hap1_chr1_hap1:20255-26215	1	20255	5960	5966	44	39	33	chr1_hap1
r22_hap2_chr1_hap2:18142-23820	2	18142	5678	5679	43	36	35	chr1_hap2
r23_hap2_chr1_hap2:8334-13270	2	8334	4936	4930	22	13	19	chr1_hap2
r24_hap1_chr1_hap1:14056-16236	1	14056	2180	2179	5	4	5	chr1_hap1
r25_hap2_chr1_hap2:42609-45886	2	42609	3277	3272	21	18	23	chr1_hap2
r26_hap1_chr1_hap1:33940-37160	1	33940	3220	3219	26	29	30	chr1_hap1
r27_hap2_chr1_hap2:41-2805	2	41	2764	2765	23	21	20	chr1_hap2
r28_hap1_chr1_hap1:72000-74158	1	72000	2158	2158	13	4	4	chr1_hap1
r29_hap2_chr1_hap2:2536-7922	2	2536	5386	5392	23	11	5	chr1_hap2
r30_hap2_chr1_hap2:23078-25596	2	23078	2518	2506	28	15	27	chr1_hap2
r31_hap1_chr1_hap1:10031-13311	1	10031	3280	3280	13	7	7	chr1_hap1
r32_hap2_chr1_hap2:35167-37875	2	35167	2708	2706	9	11	13	chr1_hap2
r33_hap1_chr1_hap1:37213-39398	1	37213	2185	2183	10	3	5	chr1_hap1
r34_hap2_chr1_hap2:24847-29534	2	24847	4687	4696	18	16	7	chr1_hap2
r35_hap2_chr1_hap2:3494-6973	2	3494	3479	3492	38	32	19	chr1_hap2
r36_hap1_chr1_hap1:70569-73166	1	70569	2597	2595	28	16	18	chr1_hap1
r37_hap2_chr1_hap2:36867-42705	2	36867	5838	5834	47	28	32	chr1_hap2
r38_hap2_chr1_hap2:64996-70519	2	64996	5523	5526	20	18	15	chr1_hap2
r39_hap2_chr1_hap2:14793-20337	2	14793	5544	5539	42	28	33	chr1_hap2
r40_hap1_chr1_hap1:39425-43532	1	39425	4107	4111	35	30	26	chr1_hap1
r41_hap1_chr1_hap1:3253-6339	1	3253	3086	3091	15	15	10	chr1_hap1
r42_hap2_chr1_hap2:26070-28988	2	26070	2918	2919	24	24	23	chr1_hap2
r43_hap1_chr1_hap1:75848-79169	1	75848	3321	3319	37	25	27	chr1_hap1
r44_hap1_chr1_hap1:49612-53943	1	49612	4331	4327	24	26	30	chr1_hap1
r45_hap2_chr1_hap2:51696-56680	2	51696	4984	4985	17	17	16	chr1_hap2
r46_hap1_chr1_hap1:32873-36652	1	32873	3779	3787	25	30	22	chr1_hap1
r47_hap2_chr1_hap2:34169-37342	2	34169	3173	3171	14	5	7	chr1_hap2
r48_hap2_chr1_hap2:18760-21640	2	18760	2880	2880	16	10	10	chr1_hap2
r49_hap1_chr1_hap1:27426-30940	1	27426	3514	3523	27	30	21	chr1_hap1
r50_hap2_chr1_hap2:47404-49470	2	47404	2066	2069	16	10	7	chr1_hap2
r51_hap1_chr1_hap1:64624-70035	1	64624	5411	5417	43	36	30	chr1_hap1
r52_hap2_chr1_hap2:186-3111	2	186	2925	2927	32	30	28	chr1_hap2
r53_hap1_chr1_hap1:27537-31377	1	27537	3840	3845	9	13	8	chr1_hap1
r54_hap1_chr1_hap1:6042-11270	1	6042	5228	5232	31	27	23	chr1_hap1
r55_hap2_chr1_hap2:2561-5447	2	2561	2886	2889	22	17	14	chr1_hap2
r56_hap2_chr1_hap2:37001-40674	2	37001	3673	3672	24	19	20	chr1_hap2
r57_hap2_chr1_hap2:33937-38534	2	33937	4597	4597	15	16	16	chr1_hap2
r58_hap2_chr1_hap2:25151-27925	2	25151	2774	2776	22	17	15	chr1_hap2
r59_hap2_chr1_hap2:26704-31703	2	26704	4999	5002	33	30	27	chr1_hap2
r60_hap1_chr1_hap1:39262-44499	1	39262	5237	5236	31	31	32	chr1_hap1
r61_hap1_chr1_hap1:62407-66211	1	62407	3804	3805	26	21	20	chr1_hap1
r62_hap2_chr1_hap2:13020-18893	2	13020	5873	5883	34	41	31	chr1_hap2
r63_hap2_chr1_hap2:52354-55684	2	52354	3330	3329	23	25	26	chr1_hap2
r64_hap2_chr1_hap2:4855-10615	2	4855	5760	5763	22	19	16	chr1_hap2
r65_hap2_chr1_hap2:11633-14021	2	11633	2388	2386	21	17	19	chr1_hap2
r66_hap2_chr1_hap2:30799-32843	2	30799	2044	2042	7	6	8	chr1_hap2
r67_hap1_chr1_hap1:50203-55202	1	50203	4999	4999	22	21	21	chr1_hap1
r68_hap1_chr1_hap1:1277-4294	1	1277	3017	3012	18	9	14	chr1_hap1
r69_hap1_chr1_hap1:5455-7702	1	5455	2247	2248	29	20	19	chr1_hap1
r70_hap1_chr1_hap1:12067-17643	1	12067	5576	5577	23	14	13	chr1_hap1
r71_hap2_chr1_hap2:20477-26135	2	20477	5658	5657	34	27	28	chr1_hap2
r72_hap2_chr1_hap2:42821-46231	2	42821	3410	3410	12	8	8	chr1_hap2
r73_hap1_chr1_hap1:11795-13999	1	11795	2204	2204	10	7	7	chr1_hap1
r74_hap2_chr1_hap2:51242-56962	2	51242	5720	5717	23	17	20	chr1_hap2
r75_hap1_chr1_hap1:1492-5378	1	1492	3886	3871	24	20	35	chr1_hap1
r76_hap2_chr1_hap2:12967-15383	2	12967	2416	2422	7	13	7	chr1_hap2
r77_hap2_chr1_hap2:24565-27194	2	24565	2629	2632	36	24	21	chr1_hap2
r78_hap2_chr1_hap2:59233-62680	2	59233	3447	3447	35	19	19	chr1_hap2
r79_hap2_chr1_hap2:58515-64155	2	58515	5640	5639	33	29	30	chr1_hap2
r80_hap2_chr1_hap2:38598-42967	2	38598	4369	4378	36	30	21	chr1_hap2
r81_hap2_chr1_hap2:26303-32182	2	26303	5879	5876	38	30	33	chr1_hap2
r82_hap2_chr1_hap2:63683-66174	2	63683	2491	2485	38	13	19	chr1_hap2
r83_hap1_chr1_hap1:77158-79704	1	77158	2546	2552	9	14	8	chr1_hap1
r84_hap1_chr1_hap1:57802-63443	1	57802	5641	5648	42	32	25	chr1_hap1
r85_hap1_chr1_hap1:1552-3709	1	1552	2157	2150	25	21	28	chr1_hap1
r86_hap2_chr1_hap2:31141-35708	2	31141	4567	4571	34	28	24	chr1_hap2
r87_hap2_chr1_hap2:66962-72453	2	66962	5491	5484	31	22	29	chr1_hap2
r88_hap1_chr1_hap1:43821-49185	1	43821	5364	5344	37	24	44	chr1_hap1
r89_hap2_chr1_hap2:46034-51654	2	46034	5620	5631	44	32	21	chr1_hap2
r90_hap1_chr1_hap1:27424-30785	1	27424	3361	3357	25	24	28	chr1_hap1
r91_hap2_chr1_hap2:49954-54085	2	49954	4131	4128	35	20	23	chr1_hap2
r92_hap1_chr1_hap1:54076-58027	1	54076	3951	3954	10	14	11	chr1_hap1
r93_hap2_chr1_hap2:44825-49201	2	44825	4376	4363	31	16	29	chr1_hap2
r94_hap2_chr1_hap2:37263-41618	2	37263	4355	4354	28	28	29	chr1_hap2
r95_hap1_chr1_hap1:33533-39091	1	33533	5558	5563	37	41	36	chr1_hap1
r96_hap2_chr1_hap2:71031-75447	2	71031	4416	4411	44	23	28	chr1_hap2
r97_hap1_chr1_hap1:55599-60310	1	55599	4711	4717	14	17	11	chr1_hap1
r98_hap2_chr1_hap2:38065-41610	2	38065	3545	3545	24	18	18	chr1_hap2
r99_hap1_chr1_hap1:5144-7788	1	5144	2644	2642	26	16	18	chr1_hap1
r100_hap1_chr1_hap1:56513-60351	1	56513	3838	3833	12	7	12	chr1_hap1
r101_hap1_chr1_hap1:64484-67042	1	64484	2558	2564	23	17	11	chr1_hap1
r102_hap1_chr1_hap1:8941-14025	1	8941	5084	5079	28	15	20	chr1_hap1
