read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:71243-76264	2	71243	5021	5021	21	12	12	chr1_hap2
r1_hap1_chr1_hap1:56285-61924	1	56285	5639	5637	21	16	18	chr1_hap1
r2_hap1_chr1_hap1:14528-17238	1	14528	2710	2713	15	12	9	chr1_hap1
r3_hap1_chr1_hap1:64473-69386	1	64473	4913	4916	20	13	10	chr1_hap1
r4_hap1_chr1_hap1:15897-19898	1	15897	4001	3999	18	11	13	chr1_hap1
r5_hap1_chr1_hap1:50496-54926	1	50496	4430	4431	20	15	14	chr1_hap1
r6_hap2_chr1_hap2:34363-37689	2	34363	3326	3329	20	14	11	chr1_hap2
r7_hap1_chr1_hap1:52399-55564	1	52399	3165	3165	7	9	9	chr1_hap1
r8_hap1_chr1_hap1:40246-44336	1	40246	4090	4093	17	13	10	chr1_hap1
r9_hap2_chr1_hap2:70674-76105	2	70674	5431	5432	23	20	19	chr1_hap2
r10_hap1_chr1_hap1:22472-27329	1	22472	4857	4855	20	11	13	chr1_hap1
r11_hap1_chr1_hap1:6063-9817	1	6063	3754	3753	15	10	11	chr1_hap1
r12_hap2_chr1_hap2:42031-47016	2	42031	4985	4983	21	14	16	chr1_hap2
r13_hap2_chr1_hap2:54089-59578	2	54089	5489	5498	19	17	8	chr1_hap2
r14_hap2_chr1_hap2:62222-66930	2	62222	4708	4704	17	7	11	chr1_hap2
r15_hap1_chr1_hap1:41367-45522	1	41367	4155	4152	18	8	11	chr1_hap1
r16_hap2_chr1_hap2:43228-47866	2	43228	4638	4638	18	11	11	chr1_hap2
r17_hap1_chr1_hap1:15731-19373	1	15731	3642	3646	9	12	8	chr1_hap1
r18_hap1_chr1_hap1:48385-53143	1	48385	4758	4773	23	25	10	chr1_hap1
r19_hap2_chr1_hap2:24049-26248	2	24049	2199	2200	9	7	6	chr1_hap2
r20_hap1_chr1_hap1:50786-55261	1	50786	4475	4472	22	11	14	chr1_hap1
r21_hap1_chr1_hap1:46582-50966	1	46582	4384	4381	17	8	11	chr1_hap1
r22_hap1_chr1_hap1:30718-35397	1	30718	4679	4687	25	18	10	chr1_hap1
r23_hap2_chr1_hap2:54980-57896	2	54980	2916	2916	10	11	11	chr1_hap2
r24_hap2_chr1_hap2:64138-69245	2	64138	5107	5103	17	17	21	chr1_hap2
r25_hap2_chr1_hap2:20362-23726	2	20362	3364	3358	27	5	11	chr1_hap2
r26_hap1_chr1_hap1:52305-55660	1	52305	3355	3347	12	8	16	chr1_hap1
r27_hap2_chr1_hap2:5314-9071	2	5314	3757	3756	18	11	12	chr1_hap2
r28_hap2_chr1_hap2:12119-17599	2	12119	5480	5483	20	20	17	chr1_hap2
r29_hap2_chr1_hap2:10588-13889	2	10588	3301	3308	17	16	9	chr1_hap2
r30_hap1_chr1_hap1:60713-62826	1	60713	2113	2112	7	7	8	chr1_hap1
r31_hap1_chr1_hap1:34464-38752	1	34464	4288	4291	18	13	10	chr1_hap1
r32_hap1_chr1_hap1:51013-55197	1	51013	4184	4178	13	12	18	chr1_hap1
r33_hap1_chr1_hap1:46038-50793	1	46038	4755	4749	13	13	19	chr1_hap1
r34_hap1_chr1_hap1:16096-19284	1	16096	3188	3189	9	7	6	chr1_hap1
r35_hap2_chr1_hap2:7704-10628	2	7704	2924	2922	8	14	16	chr1_hap2
r36_hap2_chr1_hap2:72356-75434	2	72356	3078	3077	22	9	10	chr1_hap2
r37_hap2_chr1_hap2:4780-8463	2	4780	3683	3683	14	12	12	chr1_hap2
r38_hap1_chr1_hap1:21390-26752	1	21390	5362	5357	15	12	17	chr1_hap1
r39_hap1_chr1_hap1:7658-12806	1	7658	5148	5157	26	27	18	chr1_hap1
r40_hap2_chr1_hap2:48092-50607	2	48092	2515	2517	5	6	4	chr1_hap2
r41_hap2_chr1_hap2:31281-33452	2	31281	2171	2168	14	2	5	chr1_hap2
r42_hap1_chr1_hap1:14775-17191	1	14775	2416	2414	12	6	8	chr1_hap1
r43_hap2_chr1_hap2:24888-29036	2	24888	4148	4141	16	11	18	chr1_hap2
r44_hap1_chr1_hap1:37367-39558	1	37367	2191	2189	8	8	10	chr1_hap1
r45_hap1_chr1_hap1:37011-41495	1	37011	4484	4487	11	14	11	chr1_hap1
r46_hap1_chr1_hap1:32974-38023	1	32974	5049	5054	10	24	19	chr1_hap1
r47_hap1_chr1_hap1:4238-9673	1	4238	5435	5435	19	15	15	chr1_hap1
r48_hap1_chr1_hap1:40447-42745	1	40447	2298	2299	8	6	5	chr1_hap1
r49_hap1_chr1_hap1:7916-12005	1	7916	4089	4088	22	16	17	chr1_hap1
r50_hap2_chr1_hap2:14043-18058	2	14043	4015	4014	11	14	15	chr1_hap2
r51_hap1_chr1_hap1:75939-79272	1	75939	3333	3333	24	6	6	chr1_hap1
r52_hap1_chr1_hap1:61083-66566	1	61083	5483	5485	28	14	12	chr1_hap1
r53_hap2_chr1_hap2:46976-49994	2	46976	3018	3028	9	17	7	chr1_hap2
r54_hap2_chr1_hap2:57646-59873	2	57646	2227	2234	5	11	4	chr1_hap2
r55_hap2_chr1_hap2:39634-42189	2	39634	2555	2552	12	10	13	chr1_hap2
r56_hap2_chr1_hap2:11431-17248	2	11431	5817	5819	23	18	16	chr1_hap2
r57_hap1_chr1_hap1:51639-56096	1	51639	4457	4456	21	12	13	chr1_hap1
r58_hap1_chr1_hap1:48676-53267	1	48676	4591	4584	14	9	16	chr1_hap1
r59_hap1_chr1_hap1:16601-21925	1	16601	5324	5324	13	15	15	chr1_hap1
r60_hap1_chr1_hap1:68147-70160	1	68147	2013	2013	7	7	7	chr1_hap1
r61_hap2_chr1_hap2:49897-55700	2	49897	5803	5797	22	13	19	chr1_hap2
r62_hap2_chr1_hap2:55326-61165	2	55326	5839	5838	21	21	22	chr1_hap2
r63_hap1_chr1_hap1:11883-16317	1	11883	4434	4428	21	11	17	chr1_hap1
r64_hap1_chr1_hap1:12843-15834	1	12843	2991	2987	16	5	9	chr1_hap1
r65_hap1_chr1_hap1:58713-61784	1	58713	3071	3072	11	10	9	chr1_hap1
r66_hap1_chr1_hap1:71493-75969	1	71493	4476	4473	31	13	16	chr1_hap1
r67_hap1_chr1_hap1:49629-52912	1	49629	3283	3287	13	15	11	chr1_hap1
r68_hap1_chr1_hap1:67395-70306	1	67395	2911	2904	10	6	13	chr1_hap1
r69_hap2_chr1_hap2:43911-48991	2	43911	5080	5083	19	20	17	chr1_hap2
r70_hap2_chr1_hap2:64317-67414	2	64317	3097	3098	6	10	9	chr1_hap2
r71_hap1_chr1_hap1:19872-24309	1	19872	4437	4454	15	23	6	chr1_hap1
r72_hap1_chr1_hap1:71063-74164	1	71063	3101	3101	14	11	11	chr1_hap1
r73_hap1_chr1_hap1:32550-35910	1	32550	3360	3361	14	12	11	chr1_hap1
r74_hap2_chr1_hap2:61477-64739	2	61477	3262	3262	8	14	14	chr1_hap2
r75_hap2_chr1_hap2:36210-41670	2	36210	5460	5469	36	18	9	chr1_hap2
r76_hap2_chr1_hap2:36691-40195	2	36691	3504	3509	17	14	9	chr1_hap2
r77_hap1_chr1_hap1:52416-54889	1	52416	2473	2478	11	9	4	chr1_hap1
r78_hap2_chr1_hap2:21719-26095	2	21719	4376	4386	18	18	8	chr1_hap2
r79_hap1_chr1_hap1:9936-13452	1	9936	3516	3513	8	10	13	chr1_hap1
r80_hap1_chr1_hap1:22651-25913	1	22651	3262	3263	11	11	10	chr1_hap1
r81_hap1_chr1_hap1:3268-7934	1	3268	4666	4673	21	18	11	chr1_hap1
r82_hap1_chr1_hap1:60376-63413	1	60376	3037	3040	14	9	6	chr1_hap1
r83_hap2_chr1_hap2:71974-74996	2	71974	3022	3019	12	10	13	chr1_hap2
r84_hap1_chr1_hap1:36690-39029	1	36690	2339	2339	9	4	4	chr1_hap1
r85_hap2_chr1_hap2:55367-59057	2	55367	3690	3692	11	13	11	chr1_hap2
r86_hap2_chr1_hap2:68500-73761	2	68500	5261	5254	22	11	18	chr1_hap2
r87_hap1_chr1_hap1:63016-65360	1	63016	2344	2345	9	6	5	chr1_hap1
r88_hap2_chr1_hap2:3147-8341	2	3147	5194	5198	25	19	15	chr1_hap2
r89_hap1_chr1_hap1:46871-50164	1	46871	3293	3295	9	12	10	chr1_hap1
r90_hap2_chr1_hap2:28125-32580	2	28125	4455	4452	17	14	17	chr1_hap2
r91_hap1_chr1_hap1:25225-29959	1	25225	4734	4734	21	19	19	chr1_hap1
r92_hap2_chr1_hap2:24635-28438	2	24635	3803	3805	19	19	17	chr1_hap2
r93_hap2_chr1_hap2:10848-13762	2	10848	2914	2915	15	7	6	chr1_hap2
r94_hap2_chr1_hap2:71221-75234	2	71221	4013	4017	25	16	12	chr1_hap2
r95_hap2_chr1_hap2:23077-26793	2	23077	3716	3714	13	12	14	chr1_hap2
r96_hap1_chr1_hap1:76990-79635	1	76990	2645	2648	13	7	4	chr1_hap1
r97_hap2_chr1_hap2:12917-16292	2	12917	3375	3383	8	14	6	chr1_hap2
r98_hap2_chr1_hap2:36385-39393	2	36385	3008	3014	17	11	5	chr1_hap2
r99_hap1_chr1_hap1:15052-19909	1	15052	4857	4860	21	20	17	chr1_hap1
r100_hap2_chr1_hap2:35655-38282	2	35655	2627	2631	12	11	7	chr1_hap2
r101_hap1_chr1_hap1:69668-74778	1	69668	5110	5113	22	19	16	chr1_hap1
r102_hap1_chr1_hap1:18741-24037	1	18741	5296	5291	24	16	21	chr1_hap1
r103_hap1_chr1_hap1:71477-77366	1	71477	5889	5889	28	13	13	chr1_hap1
r104_hap2_chr1_hap2:76199-79052	2	76199	2853	2862	7	13	4	chr1_hap2
