read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:4304-8349	2	4304	4045	4034	13	10	21	chr1_hap2
r1_hap2_chr1_hap2:1906-7047	2	1906	5141	5140	30	13	14	chr1_hap2
r2_hap2_chr1_hap2:10175-13209	2	10175	3034	3031	12	8	11	chr1_hap2
r3_hap1_chr1_hap1:8089-12199	1	8089	4110	4103	9	7	14	chr1_hap1
r4_hap2_chr1_hap2:2835-7454	2	2835	4619	4610	22	7	16	chr1_hap2
r5_hap2_chr1_hap2:6514-10135	2	6514	3621	3623	11	9	7	chr1_hap2
r6_hap2_chr1_hap2:15612-18135	2	15612	2523	2529	5	10	4	chr1_hap2
r7_hap1_chr1_hap1:3558-9139	1	3558	5581	5574	28	16	23	chr1_hap1
r8_hap1_chr1_hap1:7892-12559	1	7892	4667	4662	21	17	22	chr1_hap1
r9_hap2_chr1_hap2:11418-14993	2	11418	3575	3580	21	15	10	chr1_hap2
r10_hap1_chr1_hap1:316-5552	1	316	5236	5239	19	22	19	chr1_hap1
r11_hap2_chr1_hap2:2514-8395	2	2514	5881	5880	20	17	18	chr1_hap2
r12_hap1_chr1_hap1:14777-16823	1	14777	2046	2044	9	6	8	chr1_hap1
r13_hap2_chr1_hap2:761-3367	2	761	2606	2607	6	9	8	chr1_hap2
r14_hap2_chr1_hap2:3440-6420	2	3440	2980	2985	14	12	7	chr1_hap2
r15_hap2_chr1_hap2:7384-12326	2	7384	4942	4940	13	11	13	chr1_hap2
r16_hap2_chr1_hap2:7197-13066	2	7197	5869	5866	33	26	29	chr1_hap2
r17_hap1_chr1_hap1:11265-14142	1	11265	2877	2879	11	14	12	chr1_hap1
r18_hap1_chr1_hap1:13883-19279	1	13883	5396	5394	20	14	16	chr1_hap1
r19_hap1_chr1_hap1:12075-14776	1	12075	2701	2701	4	4	4	chr1_hap1
r20_hap2_chr1_hap2:4773-7037	2	4773	2264	2262	21	8	10	chr1_hap2
r21_hap2_chr1_hap2:13314-19105	2	13314	5791	5786	23	17	22	chr1_hap2
r22_hap2_chr1_hap2:11292-14927	2	11292	3635	3638	12	12	9	chr1_hap2
r23_hap2_chr1_hap2:17106-19744	2	17106	2638	2640	12	6	4	chr1_hap2
r24_hap2_chr1_hap2:15173-18148	2	15173	2975	2978	11	9	6	chr1_hap2
r25_hap1_chr1_hap1:11995-17581	1	11995	5586	5574	25	11	23	chr1_hap1
r26_hap1_chr1_hap1:903-3601	1	903	2698	2699	17	4	3	chr1_hap1
r27_hap2_chr1_hap2:12163-16789	2	12163	4626	4628	26	17	15	chr1_hap2
r28_hap1_chr1_hap1:5714-11392	1	5714	5678	5676	23	15	17	chr1_hap1
r29_hap2_chr1_hap2:9171-12230	2	9171	3059	3052	9	4	11	chr1_hap2
r30_hap2_chr1_hap2:1871-4507	2	1871	2636	2633	15	5	8	chr1_hap2
r31_hap1_chr1_hap1:2368-7138	1	2368	4770	4773	23	18	15	chr1_hap1
r32_hap2_chr1_hap2:1191-3257	2	1191	2066	2073	7	10	3	chr1_hap2
r33_hap1_chr1_hap1:12851-18652	1	12851	5801	5795	22	14	20	chr1_hap1
