read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap1:20491-24536	2	20491	4045	4034	13	10	21	chr1_hap1
r1_hap2_chr1_hap1:9601-14742	2	9601	5141	5138	32	13	16	chr1_hap1
r2_hap2_chr1_hap1:10890-15983	2	10890	5093	5089	16	12	16	chr1_hap1
r3_hap2_chr1_hap1:61425-63578	2	61425	2153	2149	5	3	7	chr1_hap1
r4_hap1_chr1_hap1:40219-46088	1	40219	5869	5863	22	9	15	chr1_hap1
r5_hap2_chr1_hap1:58273-63713	2	58273	5440	5438	14	14	16	chr1_hap1
r6_hap2_chr1_hap1:58304-61356	2	58304	3052	3051	19	12	13	chr1_hap1
r7_hap2_chr1_hap1:74982-78055	2	74982	3073	3074	15	10	9	chr1_hap1
r8_hap1_chr1_hap1:75775-79120	1	75775	3345	3340	16	10	15	chr1_hap1
r9_hap1_chr1_hap1:73388-78205	1	73388	4817	4821	25	17	13	chr1_hap1
r10_hap1_chr1_hap1:45530-51244	1	45530	5714	5713	22	25	26	chr1_hap1
r11_hap2_chr1_hap1:36150-41696	2	36150	5546	5543	17	13	16	chr1_hap1
r12_hap2_chr1_hap1:17959-22835	2	17959	4876	4888	19	22	10	chr1_hap1
r13_hap1_chr1_hap1:52699-57320	1	52699	4621	4619	16	11	13	chr1_hap1
r14_hap1_chr1_hap1:32804-38582	1	32804	5778	5779	30	21	20	chr1_hap1
r15_hap1_chr1_hap1:7181-10551	1	7181	3370	3368	18	16	18	chr1_hap1
r16_hap2_chr1_hap1:11602-14739	2	11602	3137	3139	10	11	9	chr1_hap1
r17_hap2_chr1_hap1:68523-72145	2	68523	3622	3625	17	12	9	chr1_hap1
r18_hap1_chr1_hap1:7480-12766	1	7480	5286	5285	27	12	13	chr1_hap1
r19_hap2_chr1_hap1:32608-35134	2	32608	2526	2517	10	6	15	chr1_hap1
r20_hap1_chr1_hap1:57715-61535	1	57715	3820	3824	14	16	12	chr1_hap1
r21_hap1_chr1_hap1:56915-60884	1	56915	3969	3970	13	9	8	chr1_hap1
r22_hap1_chr1_hap1:43494-45555	1	43494	2061	2063	14	5	3	chr1_hap1
r23_hap1_chr1_hap1:68857-72873	1	68857	4016	4017	16	9	8	chr1_hap1
r24_hap2_chr1_hap1:69620-73188	2	69620	3568	3557	15	6	17	chr1_hap1
r25_hap2_chr1_hap1:41686-45758	2	41686	4072	4071	23	9	10	chr1_hap1
r26_hap2_chr1_hap1:66328-71922	2	66328	5594	5595	24	21	20	chr1_hap1
