read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:206-4890	2	206	4684	4674	17	12	22	chr1_hap2
r1_hap2_chr1_hap2:25883-29768	2	25883	3885	3886	22	12	11	chr1_hap2
r2_hap1_chr1_hap1:33060-38344	1	33060	5284	5284	17	12	12	chr1_hap1
r3_hap1_chr1_hap1:57654-61829	1	57654	4175	4168	12	8	15	chr1_hap1
r4_hap2_chr1_hap2:23649-26963	2	23649	3314	3308	12	4	10	chr1_hap2
r5_hap1_chr1_hap1:7051-12178	1	7051	5127	5135	10	17	9	chr1_hap1
r6_hap1_chr1_hap1:51689-56385	1	51689	4696	4692	22	17	21	chr1_hap1
r7_hap2_chr1_hap2:19164-24040	2	19164	4876	4880	24	21	17	chr1_hap2
r8_hap1_chr1_hap1:8490-12025	1	8490	3535	3533	16	13	15	chr1_hap1
r9_hap2_chr1_hap2:33441-37459	2	33441	4018	4020	18	13	11	chr1_hap2
r10_hap2_chr1_hap2:3244-6493	2	3244	3249	3246	12	13	16	chr1_hap2
r11_hap1_chr1_hap1:73324-77102	1	73324	3778	3775	9	11	14	chr1_hap1
r12_hap2_chr1_hap2:59235-63448	2	59235	4213	4213	18	14	14	chr1_hap2
r13_hap1_chr1_hap1:18536-21233	1	18536	2697	2702	6	10	5	chr1_hap1
r14_hap2_chr1_hap2:28962-33595	2	28962	4633	4636	16	14	11	chr1_hap2
r15_hap2_chr1_hap2:20470-22613	2	20470	2143	2143	6	5	5	chr1_hap2
r16_hap1_chr1_hap1:15177-18494	1	15177	3317	3318	19	12	11	chr1_hap1
r17_hap1_chr1_hap1:59502-64214	1	59502	4712	4713	23	24	23	chr1_hap1
r18_hap1_chr1_hap1:71548-76669	1	71548	5121	5126	20	18	13	chr1_hap1
r19_hap2_chr1_hap2:54279-57567	2	54279	3288	3294	14	11	5	chr1_hap2
r20_hap2_chr1_hap2:12131-14682	2	12131	2551	2548	17	8	11	chr1_hap2
r21_hap2_chr1_hap2:15822-18027	2	15822	2205	2198	13	3	10	chr1_hap2
r22_hap2_chr1_hap2:9788-12976	2	9788	3188	3188	8	12	12	chr1_hap2
r23_hap1_chr1_hap1:17880-19971	1	17880	2091	2095	10	9	5	chr1_hap1
r24_hap2_chr1_hap2:59212-63489	2	59212	4277	4276	20	9	10	chr1_hap2
r25_hap1_chr1_hap1:30792-34192	1	30792	3400	3400	14	7	7	chr1_hap1
r26_hap1_chr1_hap1:51727-56659	1	51727	4932	4924	21	10	18	chr1_hap1
r27_hap2_chr1_hap2:3692-5698	2	3692	2006	2004	12	5	7	chr1_hap2
r28_hap2_chr1_hap2:26722-29334	2	26722	2612	2613	15	6	5	chr1_hap2
r29_hap2_chr1_hap2:13099-18693	2	13099	5594	5594	24	21	21	chr1_hap2
r30_hap1_chr1_hap1:51507-56468	1	51507	4961	4959	23	10	12	chr1_hap1
r31_hap1_chr1_hap1:9753-13441	1	9753	3688	3679	13	5	14	chr1_hap1
r32_hap1_chr1_hap1:16410-19724	1	16410	3314	3311	15	11	14	chr1_hap1
r33_hap2_chr1_hap2:67409-69823	2	67409	2414	2420	11	10	4	chr1_hap2
r34_hap1_chr1_hap1:75765-79086	1	75765	3321	3328	12	15	8	chr1_hap1
r35_hap1_chr1_hap1:17984-21189	1	17984	3205	3200	15	8	13	chr1_hap1
r36_hap1_chr1_hap1:7371-10559	1	7371	3188	3189	13	8	7	chr1_hap1
r37_hap1_chr1_hap1:26267-31997	1	26267	5730	5727	25	21	24	chr1_hap1
r38_hap1_chr1_hap1:51640-56087	1	51640	4447	4442	13	11	16	chr1_hap1
r39_hap1_chr1_hap1:30712-32789	1	30712	2077	2081	14	8	4	chr1_hap1
r40_hap2_chr1_hap2:54051-56173	2	54051	2122	2121	13	7	8	chr1_hap2
r41_hap2_chr1_hap2:34387-39577	2	34387	5190	5183	21	10	17	chr1_hap2
r42_hap1_chr1_hap1:30769-35797	1	30769	5028	5023	26	15	20	chr1_hap1
r43_hap2_chr1_hap2:9032-13414	2	9032	4382	4383	17	19	18	chr1_hap2
r44_hap2_chr1_hap2:412-4934	2	412	4522	4526	19	18	14	chr1_hap2
r45_hap1_chr1_hap1:29168-33317	1	29168	4149	4148	14	10	11	chr1_hap1
r46_hap1_chr1_hap1:34446-39956	1	34446	5510	5505	19	16	21	chr1_hap1
r47_hap2_chr1_hap2:28269-31415	2	28269	3146	3146	14	8	8	chr1_hap2
r48_hap1_chr1_hap1:43308-48110	1	43308	4802	4806	12	15	11	chr1_hap1
r49_hap1_chr1_hap1:59718-62923	1	59718	3205	3204	11	7	8	chr1_hap1
r50_hap2_chr1_hap2:29572-35440	2	29572	5868	5866	30	14	16	chr1_hap2
r51_hap1_chr1_hap1:25452-30249	1	25452	4797	4799	12	12	10	chr1_hap1
r52_hap2_chr1_hap2:59178-62296	2	59178	3118	3121	13	14	11	chr1_hap2
r53_hap2_chr1_hap2:33307-39235	2	33307	5928	5919	26	11	20	chr1_hap2
r54_hap2_chr1_hap2:3465-6856	2	3465	3391	3398	4	16	9	chr1_hap2
r55_hap2_chr1_hap2:20741-23017	2	20741	2276	2273	6	5	8	chr1_hap2
r56_hap2_chr1_hap2:62985-65520	2	62985	2535	2531	7	8	12	chr1_hap2
r57_hap1_chr1_hap1:14861-20606	1	14861	5745	5742	15	16	19	chr1_hap1
r58_hap2_chr1_hap2:61095-64339	2	61095	3244	3252	14	15	7	chr1_hap2
r59_hap2_chr1_hap2:60480-66405	2	60480	5925	5924	20	14	15	chr1_hap2
r60_hap1_chr1_hap1:74835-79890	1	74835	5055	5053	21	9	11	chr1_hap1
r61_hap1_chr1_hap1:36057-39263	1	36057	3206	3205	13	11	12	chr1_hap1
r62_hap1_chr1_hap1:52079-55361	1	52079	3282	3275	17	7	14	chr1_hap1
r63_hap1_chr1_hap1:57577-59579	1	57577	2002	2002	15	4	4	chr1_hap1
r64_hap1_chr1_hap1:11190-13657	1	11190	2467	2471	6	13	9	chr1_hap1
r65_hap1_chr1_hap1:59640-62849	1	59640	3209	3210	18	9	8	chr1_hap1
r66_hap1_chr1_hap1:32213-35248	1	32213	3035	3040	12	10	5	chr1_hap1
r67_hap1_chr1_hap1:53123-56681	1	53123	3558	3557	13	10	11	chr1_hap1
r68_hap2_chr1_hap2:69062-71592	2	69062	2530	2531	7	9	8	chr1_hap2
r69_hap1_chr1_hap1:26004-30122	1	26004	4118	4116	17	10	12	chr1_hap1
r70_hap1_chr1_hap1:52383-54637	1	52383	2254	2249	8	7	12	chr1_hap1
r71_hap2_chr1_hap2:594-3798	2	594	3204	3198	7	5	11	chr1_hap2
r72_hap2_chr1_hap2:15949-18704	2	15949	2755	2763	14	9	1	chr1_hap2
r73_hap1_chr1_hap1:59479-61583	1	59479	2104	2102	7	6	8	chr1_hap1
r74_hap1_chr1_hap1:42042-47733	1	42042	5691	5693	23	23	21	chr1_hap1
r75_hap2_chr1_hap2:66331-69207	2	66331	2876	2881	13	11	6	chr1_hap2
r76_hap2_chr1_hap2:16672-20462	2	16672	3790	3791	13	12	11	chr1_hap2
r77_hap2_chr1_hap2:66416-69725	2	66416	3309	3308	19	11	12	chr1_hap2
r78_hap2_chr1_hap2:6599-11148	2	6599	4549	4544	18	12	17	chr1_hap2
