read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap1_chr1_hap1:18301-21018	1	18301	2717	2709	11	8	16	chr1_hap1
r1_hap1_chr1_hap1:6908-12128	1	6908	5220	5230	21	21	11	chr1_hap1
r2_hap1_chr1_hap1:60450-65489	1	60450	5039	5052	18	28	15	chr1_hap1
r3_hap2_chr1_hap2:43572-48156	2	43572	4584	4577	13	11	18	chr1_hap2
r4_hap2_chr1_hap2:25638-30066	2	25638	4428	4427	20	14	15	chr1_hap2
r5_hap2_chr1_hap2:211-5570	2	211	5359	5365	18	15	9	chr1_hap2
r6_hap2_chr1_hap2:43789-46542	2	43789	2753	2757	12	9	5	chr1_hap2
r7_hap2_chr1_hap2:4770-9830	2	4770	5060	5062	20	19	17	chr1_hap2
r8_hap2_chr1_hap2:70149-74408	2	70149	4259	4252	20	9	16	chr1_hap2
r9_hap1_chr1_hap1:51651-54792	1	51651	3141	3140	18	8	9	chr1_hap1
r10_hap1_chr1_hap1:14990-18366	1	14990	3376	3387	13	13	2	chr1_hap1
r11_hap2_chr1_hap2:32889-35898	2	32889	3009	3013	18	10	6	chr1_hap2
r12_hap2_chr1_hap2:9275-13207	2	9275	3932	3937	15	11	6	chr1_hap2
r13_hap1_chr1_hap1:71804-73843	1	71804	2039	2039	9	4	4	chr1_hap1
r14_hap2_chr1_hap2:16882-19118	2	16882	2236	2234	7	7	9	chr1_hap2
r15_hap2_chr1_hap2:38486-43161	2	38486	4675	4672	12	14	17	chr1_hap2
r16_hap1_chr1_hap1:38558-42630	1	38558	4072	4077	22	11	6	chr1_hap1
r17_hap2_chr1_hap2:55538-58658	2	55538	3120	3112	15	6	14	chr1_hap2
r18_hap1_chr1_hap1:74320-77707	1	74320	3387	3391	12	15	11	chr1_hap1
r19_hap2_chr1_hap2:71087-74403	2	71087	3316	3315	10	7	8	chr1_hap2
r20_hap2_chr1_hap2:7563-13074	2	7563	5511	5521	25	23	13	chr1_hap2
r21_hap1_chr1_hap1:3499-9057	1	3499	5558	5555	20	21	24	chr1_hap1
r22_hap1_chr1_hap1:10473-15229	1	10473	4756	4748	20	11	19	chr1_hap1
r23_hap1_chr1_hap1:43515-46156	1	43515	2641	2637	9	8	12	chr1_hap1
r24_hap2_chr1_hap2:76365-79680	2	76365	3315	3313	12	9	11	chr1_hap2
r25_hap2_chr1_hap2:7676-13361	2	7676	5685	5690	15	16	11	chr1_hap2
r26_hap2_chr1_hap2:3911-8006	2	3911	4095	4093	19	15	17	chr1_hap2
r27_hap1_chr1_hap1:1067-3970	1	1067	2903	2903	15	5	5	chr1_hap1
r28_hap1_chr1_hap1:13743-18881	1	13743	5138	5144	21	11	5	chr1_hap1
r29_hap1_chr1_hap1:16290-18808	1	16290	2518	2516	10	4	6	chr1_hap1
r30_hap1_chr1_hap1:67670-70053	1	67670	2383	2384	6	6	5	chr1_hap1
r31_hap1_chr1_hap1:55277-57389	1	55277	2112	2110	12	6	8	chr1_hap1
r32_hap2_chr1_hap2:70516-76332	2	70516	5816	5812	22	14	18	chr1_hap2
r33_hap2_chr1_hap2:53090-56427	2	53090	3337	3342	10	11	6	chr1_hap2
r34_hap1_chr1_hap1:68078-73043	1	68078	4965	4976	20	22	11	chr1_hap1
r35_hap2_chr1_hap2:53258-58902	2	53258	5644	5641	26	13	16	chr1_hap2
r36_hap2_chr1_hap2:21954-27507	2	21954	5553	5559	19	18	12	chr1_hap2
r37_hap2_chr1_hap2:37343-42158	2	37343	4815	4813	18	11	13	chr1_hap2
r38_hap1_chr1_hap1:40395-45221	1	40395	4826	4832	24	21	15	chr1_hap1
r39_hap2_chr1_hap2:15474-20008	2	15474	4534	4537	18	23	20	chr1_hap2
