read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap1:25516-29321	2	25516	3805	3806	16	15	14	chr1_hap1
r1_hap1_chr1_hap1:51736-55741	1	51736	4005	3997	18	9	17	chr1_hap1
r2_hap2_chr1_hap1:68425-72783	2	68425	4358	4357	12	14	15	chr1_hap1
r3_hap1_chr1_hap1:35303-40514	1	35303	5211	5208	16	10	13	chr1_hap1
r4_hap2_chr1_hap1:68930-71588	2	68930	2658	2659	13	8	7	chr1_hap1
r5_hap2_chr1_hap1:41868-45524	2	41868	3656	3648	11	7	15	chr1_hap1
r6_hap2_chr1_hap1:1493-7381	2	1493	5888	5878	27	11	21	chr1_hap1
r7_hap1_chr1_hap1:57406-62187	1	57406	4781	4787	19	14	8	chr1_hap1
r8_hap2_chr1_hap1:16085-20435	2	16085	4350	4342	16	12	20	chr1_hap1
r9_hap1_chr1_hap1:43032-47019	1	43032	3987	3992	17	14	9	chr1_hap1
r10_hap2_chr1_hap1:72969-75548	2	72969	2579	2583	16	11	7	chr1_hap1
r11_hap1_chr1_hap1:52000-57224	1	52000	5224	5227	31	20	17	chr1_hap1
r12_hap2_chr1_hap1:70411-74312	2	70411	3901	3896	12	12	17	chr1_hap1
r13_hap1_chr1_hap1:72042-74701	1	72042	2659	2662	13	9	6	chr1_hap1
r14_hap1_chr1_hap1:9873-13978	1	9873	4105	4116	20	18	7	chr1_hap1
r15_hap1_chr1_hap1:74124-77356	1	74124	3232	3228	11	6	10	chr1_hap1
r16_hap2_chr1_hap1:45718-50405	2	45718	4687	4684	18	17	20	chr1_hap1
r17_hap1_chr1_hap1:13385-19373	1	13385	5988	5980	17	11	19	chr1_hap1
r18_hap2_chr1_hap1:13568-16957	2	13568	3389	3392	15	9	6	chr1_hap1
r19_hap2_chr1_hap1:76919-79840	2	76919	2921	2914	12	1	8	chr1_hap1
r20_hap2_chr1_hap1:51601-56718	2	51601	5117	5119	21	18	16	chr1_hap1
r21_hap2_chr1_hap1:46196-48694	2	46196	2498	2501	11	11	8	chr1_hap1
r22_hap1_chr1_hap1:3254-5309	1	3254	2055	2065	5	11	1	chr1_hap1
r23_hap1_chr1_hap1:46697-51250	1	46697	4553	4544	15	9	18	chr1_hap1
r24_hap1_chr1_hap1:59398-64102	1	59398	4704	4698	19	11	17	chr1_hap1
r25_hap1_chr1_hap1:39014-44532	1	39014	5518	5514	16	14	18	chr1_hap1
r26_hap2_chr1_hap1:45552-51396	2	45552	5844	5845	30	20	19	chr1_hap1
r27_hap2_chr1_hap1:56474-59795	2	56474	3321	3318	12	8	11	chr1_hap1
r28_hap1_chr1_hap1:11212-16377	1	11212	5165	5165	13	20	20	chr1_hap1
r29_hap2_chr1_hap1:69045-72967	2	69045	3922	3915	12	9	16	chr1_hap1
r30_hap1_chr1_hap1:71600-74663	1	71600	3063	3063	20	11	11	chr1_hap1
r31_hap1_chr1_hap1:33314-37781	1	33314	4467	4468	17	13	12	chr1_hap1
r32_hap2_chr1_hap1:56293-61766	2	56293	5473	5469	24	20	24	chr1_hap1
r33_hap2_chr1_hap1:70438-72680	2	70438	2242	2243	8	9	8	chr1_hap1
r34_hap2_chr1_hap1:69662-75374	2	69662	5712	5716	18	19	15	chr1_hap1
r35_hap2_chr1_hap1:49272-54265	2	49272	4993	4989	22	10	14	chr1_hap1
r36_hap1_chr1_hap1:28052-32689	1	28052	4637	4637	18	13	13	chr1_hap1
r37_hap1_chr1_hap1:16809-20119	1	16809	3310	3307	11	4	7	chr1_hap1
r38_hap1_chr1_hap1:41106-43107	1	41106	2001	1996	4	1	6	chr1_hap1
r39_hap2_chr1_hap1:38930-41777	2	38930	2847	2848	15	7	6	chr1_hap1
r40_hap2_chr1_hap1:47548-51628	2	47548	4080	4085	16	14	9	chr1_hap1
r41_hap2_chr1_hap1:29078-32335	2	29078	3257	3258	16	7	6	chr1_hap1
r42_hap2_chr1_hap1:2422-5249	2	2422	2827	2826	8	5	6	chr1_hap1
r43_hap2_chr1_hap1:53504-58339	2	53504	4835	4838	18	16	13	chr1_hap1
r44_hap1_chr1_hap1:2042-5380	1	2042	3338	3337	10	8	9	chr1_hap1
r45_hap1_chr1_hap1:15492-19374	1	15492	3882	3878	11	13	17	chr1_hap1
r46_hap2_chr1_hap1:71832-74989	2	71832	3157	3153	11	10	14	chr1_hap1
r47_hap2_chr1_hap1:46316-51190	2	46316	4874	4874	20	9	9	chr1_hap1
r48_hap1_chr1_hap1:40687-46527	1	40687	5840	5844	20	16	12	chr1_hap1
r49_hap1_chr1_hap1:51444-56053	1	51444	4609	4608	17	16	17	chr1_hap1
r50_hap1_chr1_hap1:29790-34826	1	29790	5036	5031	20	16	21	chr1_hap1
r51_hap2_chr1_hap1:12934-18440	2	12934	5506	5501	20	9	14	chr1_hap1
r52_hap2_chr1_hap1:73738-77679	2	73738	3941	3938	15	12	15	chr1_hap1
r53_hap2_chr1_hap1:46223-50906	2	46223	4683	4682	14	12	13	chr1_hap1
r54_hap2_chr1_hap1:4612-8502	2	4612	3890	3900	19	18	8	chr1_hap1
r55_hap2_chr1_hap1:24782-28990	2	24782	4208	4206	19	11	13	chr1_hap1
