read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap1_chr1_hap1:39063-42629	1	39063	3566	3565	16	14	15	chr1_hap1
r1_hap2_chr1_hap2:62328-65799	2	62328	3471	3466	15	7	12	chr1_hap2
r2_hap2_chr1_hap2:37464-42512	2	37464	5048	5044	20	14	18	chr1_hap2
r3_hap2_chr1_hap2:2824-6188	2	2824	3364	3358	10	5	11	chr1_hap2
r4_hap1_chr1_hap1:37931-42724	1	37931	4793	4792	19	11	12	chr1_hap1
r5_hap1_chr1_hap1:51183-56989	1	51183	5806	5797	20	14	23	chr1_hap1
r6_hap2_chr1_hap2:3014-8121	2	3014	5107	5097	24	8	18	chr1_hap2
r7_hap1_chr1_hap1:58843-63105	1	58843	4262	4259	18	14	17	chr1_hap1
r8_hap2_chr1_hap2:61355-66237	2	61355	4882	4878	21	14	18	chr1_hap2
r9_hap1_chr1_hap1:16580-19019	1	16580	2439	2440	8	9	8	chr1_hap1
r10_hap2_chr1_hap2:27368-29638	2	27368	2270	2273	13	10	7	chr1_hap2
r11_hap1_chr1_hap1:52069-56247	1	52069	4178	4181	27	15	12	chr1_hap1
r12_hap1_chr1_hap1:50546-56292	1	50546	5746	5743	21	23	26	chr1_hap1
r13_hap2_chr1_hap2:6160-10080	2	6160	3920	3927	17	15	8	chr1_hap2
r14_hap1_chr1_hap1:50981-56686	1	50981	5705	5706	22	16	15	chr1_hap1
r15_hap2_chr1_hap2:35758-41250	2	35758	5492	5481	19	15	26	chr1_hap2
r16_hap1_chr1_hap1:60584-63166	1	60584	2582	2572	9	2	12	chr1_hap1
r17_hap2_chr1_hap2:36577-41626	2	36577	5049	5055	18	14	8	chr1_hap2
r18_hap2_chr1_hap2:35797-40846	2	35797	5049	5047	22	12	14	chr1_hap2
r19_hap1_chr1_hap1:72765-75971	1	72765	3206	3207	12	8	7	chr1_hap1
r20_hap2_chr1_hap2:1019-5264	2	1019	4245	4256	19	22	11	chr1_hap2
r21_hap1_chr1_hap1:36949-42888	1	36949	5939	5935	20	13	17	chr1_hap1
r22_hap1_chr1_hap1:72565-78071	1	72565	5506	5500	24	15	21	chr1_hap1
r23_hap2_chr1_hap2:61221-65924	2	61221	4703	4702	15	14	15	chr1_hap2
r24_hap2_chr1_hap2:2615-7460	2	2615	4845	4847	25	16	14	chr1_hap2
r25_hap2_chr1_hap2:63661-67073	2	63661	3412	3408	12	9	13	chr1_hap2
r26_hap1_chr1_hap1:51577-54784	1	51577	3207	3207	8	17	17	chr1_hap1
r27_hap1_chr1_hap1:73849-78348	1	73849	4499	4502	11	12	9	chr1_hap1
r28_hap2_chr1_hap2:8255-11735	2	8255	3480	3475	15	10	15	chr1_hap2
r29_hap2_chr1_hap2:6297-10472	2	6297	4175	4182	35	14	7	chr1_hap2
r30_hap2_chr1_hap2:3247-7916	2	3247	4669	4663	16	15	21	chr1_hap2
r31_hap2_chr1_hap2:36397-39730	2	36397	3333	3336	10	15	12	chr1_hap2
r32_hap2_chr1_hap2:38128-41217	2	38128	3089	3092	8	12	9	chr1_hap2
r33_hap1_chr1_hap1:38155-43371	1	38155	5216	5211	18	12	17	chr1_hap1
r34_hap2_chr1_hap2:38737-43625	2	38737	4888	4890	20	13	11	chr1_hap2
r35_hap2_chr1_hap2:776-4902	2	776	4126	4123	14	8	11	chr1_hap2
r36_hap2_chr1_hap2:4188-8034	2	4188	3846	3841	11	4	9	chr1_hap2
r37_hap2_chr1_hap2:607-2690	2	607	2083	2083	8	2	2	chr1_hap2
r38_hap2_chr1_hap2:46376-49206	2	46376	2830	2831	9	8	7	chr1_hap2
r39_hap2_chr1_hap2:60298-66213	2	60298	5915	5920	24	21	16	chr1_hap2
r40_hap1_chr1_hap1:48475-50893	1	48475	2418	2418	8	5	5	chr1_hap1
r41_hap2_chr1_hap2:2824-8036	2	2824	5212	5217	19	19	14	chr1_hap2
r42_hap1_chr1_hap1:11936-14768	1	11936	2832	2835	10	8	5	chr1_hap1
r43_hap2_chr1_hap2:37350-40611	2	37350	3261	3257	10	10	14	chr1_hap2
r44_hap1_chr1_hap1:59316-61776	1	59316	2460	2458	6	7	9	chr1_hap1
r45_hap2_chr1_hap2:46193-49269	2	46193	3076	3075	15	10	11	chr1_hap2
r46_hap2_chr1_hap2:46336-48488	2	46336	2152	2153	8	5	4	chr1_hap2
r47_hap1_chr1_hap1:15887-19718	1	15887	3831	3832	12	9	8	chr1_hap1
r48_hap1_chr1_hap1:39812-42050	1	39812	2238	2240	11	7	5	chr1_hap1
r49_hap1_chr1_hap1:49920-52465	1	49920	2545	2549	6	10	6	chr1_hap1
r50_hap2_chr1_hap2:64666-68019	2	64666	3353	3350	11	8	11	chr1_hap2
r51_hap2_chr1_hap2:5088-10747	2	5088	5659	5651	23	16	24	chr1_hap2
r52_hap1_chr1_hap1:70975-76481	1	70975	5506	5500	23	11	17	chr1_hap1
r53_hap2_chr1_hap2:45906-48862	2	45906	2956	2951	10	4	9	chr1_hap2
r54_hap1_chr1_hap1:49454-55370	1	49454	5916	5913	20	18	21	chr1_hap1
r55_hap1_chr1_hap1:12369-14571	1	12369	2202	2204	14	8	6	chr1_hap1
r56_hap1_chr1_hap1:67221-69388	1	67221	2167	2167	6	8	8	chr1_hap1
r57_hap2_chr1_hap2:37342-43118	2	37342	5776	5772	23	11	15	chr1_hap2
r58_hap1_chr1_hap1:9701-13357	1	9701	3656	3660	16	16	12	chr1_hap1
r59_hap1_chr1_hap1:38804-41614	1	38804	2810	2812	8	10	8	chr1_hap1
r60_hap2_chr1_hap2:3375-9312	2	3375	5937	5943	35	24	18	chr1_hap2
r61_hap2_chr1_hap2:38240-43996	2	38240	5756	5753	23	12	15	chr1_hap2
r62_hap1_chr1_hap1:10777-14433	1	10777	3656	3661	18	11	6	chr1_hap1
r63_hap1_chr1_hap1:39251-42865	1	39251	3614	3620	12	16	10	chr1_hap1
r64_hap2_chr1_hap2:56269-58735	2	56269	2466	2469	15	10	7	chr1_hap2
r65_hap2_chr1_hap2:55660-58501	2	55660	2841	2838	12	6	9	chr1_hap2
r66_hap2_chr1_hap2:6106-11434	2	6106	5328	5324	15	15	19	chr1_hap2
r67_hap1_chr1_hap1:50538-56173	1	50538	5635	5642	17	19	12	chr1_hap1
r68_hap1_chr1_hap1:59305-61657	1	59305	2352	2349	12	7	10	chr1_hap1
r69_hap1_chr1_hap1:72007-74692	1	72007	2685	2689	12	11	7	chr1_hap1
r70_hap2_chr1_hap2:56007-58101	2	56007	2094	2091	3	5	8	chr1_hap2
r71_hap1_chr1_hap1:37148-42542	1	37148	5394	5395	26	22	21	chr1_hap1
r72_hap1_chr1_hap1:48979-53757	1	48979	4778	4771	23	11	18	chr1_hap1
r73_hap1_chr1_hap1:74586-77929	1	74586	3343	3349	11	10	4	chr1_hap1
r74_hap2_chr1_hap2:9004-11467	2	9004	2463	2467	13	11	7	chr1_hap2
r75_hap2_chr1_hap2:36595-41091	2	36595	4496	4502	19	14	8	chr1_hap2
r76_hap1_chr1_hap1:71113-76880	1	71113	5767	5759	23	13	21	chr1_hap1
r77_hap2_chr1_hap2:40696-43280	2	40696	2584	2589	6	11	6	chr1_hap2
r78_hap2_chr1_hap2:60466-65191	2	60466	4725	4735	20	20	10	chr1_hap2
r79_hap2_chr1_hap2:55038-58536	2	55038	3498	3488	16	6	16	chr1_hap2
r80_hap2_chr1_hap2:35226-38986	2	35226	3760	3763	15	12	9	chr1_hap2
r81_hap1_chr1_hap1:51643-56200	1	51643	4557	4564	24	14	7	chr1_hap1
r82_hap1_chr1_hap1:59626-63582	1	59626	3956	3963	17	16	9	chr1_hap1
r83_hap2_chr1_hap2:60353-64356	2	60353	4003	4001	12	6	8	chr1_hap2
r84_hap2_chr1_hap2:62864-68341	2	62864	5477	5480	23	19	16	chr1_hap2
r85_hap1_chr1_hap1:71360-76679	1	71360	5319	5325	22	23	17	chr1_hap1
r86_hap1_chr1_hap1:27653-31194	1	27653	3541	3540	12	15	16	chr1_hap1
