read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:14461-17780	2	14461	3319	3318	30	25	26	chr1_hap2
r1_hap1_chr1_hap1:6011-8473	1	6011	2462	2460	20	17	19	chr1_hap1
r2_hap1_chr1_hap1:70543-74929	1	70543	4386	4391	34	29	24	chr1_hap1
r3_hap2_chr1_hap2:54542-57812	2	54542	3270	3272	19	12	10	chr1_hap2
r4_hap2_chr1_hap2:71429-76342	2	71429	4913	4911	36	25	27	chr1_hap2
r5_hap2_chr1_hap2:91412-94150	2	91412	2738	2737	35	16	17	chr1_hap2
r6_hap1_chr1_hap1:106450-108813	1	106450	2363	2368	24	23	18	chr1_hap1
r7_hap1_chr1_hap1:41281-45658	1	41281	4377	4379	18	14	12	chr1_hap1
r8_hap2_chr1_hap2:43747-47985	2	43747	4238	4239	26	27	26	chr1_hap2
r9_hap1_chr1_hap1:108470-112467	1	108470	3997	3992	26	24	29	chr1_hap1
r10_hap2_chr1_hap2:12057-15047	2	12057	2990	2990	13	9	9	chr1_hap2
r11_hap2_chr1_hap2:78405-84119	2	78405	5714	5715	24	20	19	chr1_hap2
r12_hap2_chr1_hap2:78344-81779	2	78344	3435	3434	11	7	8	chr1_hap2
r13_hap2_chr1_hap2:23760-29561	2	23760	5801	5795	40	30	36	chr1_hap2
r14_hap1_chr1_hap1:67597-72382	1	67597	4785	4793	34	29	21	chr1_hap1
r15_hap2_chr1_hap2:106973-112348	2	106973	5375	5377	39	32	30	chr1_hap2
r16_hap2_chr1_hap2:17780-20176	2	17780	2396	2398	6	4	2	chr1_hap2
r17_hap1_chr1_hap1:82743-88559	1	82743	5816	5809	24	7	14	chr1_hap1
r18_hap1_chr1_hap1:8888-13291	1	8888	4403	4401	31	24	26	chr1_hap1
r19_hap2_chr1_hap2:18691-23303	2	18691	4612	4624	37	27	15	chr1_hap2
r20_hap2_chr1_hap2:31962-37562	2	31962	5600	5613	31	25	12	chr1_hap2
r21_hap1_chr1_hap1:63384-66107	1	63384	2723	2722	10	9	10	chr1_hap1
r22_hap2_chr1_hap2:56286-59615	2	56286	3329	3329	16	8	8	chr1_hap2
r23_hap2_chr1_hap2:105688-110468	2	105688	4780	4787	34	33	26	chr1_hap2
r24_hap1_chr1_hap1:74859-79192	1	74859	4333	4336	29	30	27	chr1_hap1
r25_hap1_chr1_hap1:85028-89352	1	85028	4324	4318	35	29	35	chr1_hap1
r26_hap2_chr1_hap2:35306-39066	2	35306	3760	3753	36	19	26	chr1_hap2
r27_hap1_chr1_hap1:6754-10142	1	6754	3388	3391	29	25	22	chr1_hap1
r28_hap2_chr1_hap2:15429-18504	2	15429	3075	3077	21	24	22	chr1_hap2
r29_hap2_chr1_hap2:69499-72877	2	69499	3378	3378	17	12	12	chr1_hap2
r30_hap1_chr1_hap1:12175-16756	1	12175	4581	4581	18	16	16	chr1_hap1
r31_hap1_chr1_hap1:83459-85979	1	83459	2520	2520	11	9	9	chr1_hap1
r32_hap2_chr1_hap2:35833-41712	2	35833	5879	5884	23	21	16	chr1_hap2
r33_hap1_chr1_hap1:68600-72784	1	68600	4184	4177	13	11	18	chr1_hap1
r34_hap2_chr1_hap2:33764-36352	2	33764	2588	2586	17	19	21	chr1_hap2
r35_hap1_chr1_hap1:44909-48124	1	44909	3215	3215	11	10	10	chr1_hap1
r36_hap2_chr1_hap2:61866-64042	2	61866	2176	2178	8	5	3	chr1_hap2
r37_hap1_chr1_hap1:43970-46734	1	43970	2764	2762	15	26	28	chr1_hap1
r38_hap1_chr1_hap1:20121-25875	1	20121	5754	5749	42	28	33	chr1_hap1
r39_hap2_chr1_hap2:112436-115494	2	112436	3058	3057	11	7	8	chr1_hap2
r40_hap1_chr1_hap1:115512-118964	1	115512	3452	3447	10	8	13	chr1_hap1
r41_hap1_chr1_hap1:73837-76211	1	73837	2374	2377	9	11	8	chr1_hap1
r42_hap1_chr1_hap1:105009-110156	1	105009	5147	5155	47	33	25	chr1_hap1
r43_hap1_chr1_hap1:39066-44738	1	39066	5672	5666	31	11	17	chr1_hap1
r44_hap2_chr1_hap2:56056-58258	2	56056	2202	2207	31	17	12	chr1_hap2
r45_hap1_chr1_hap1:23422-25545	1	23422	2123	2123	18	22	22	chr1_hap1
r46_hap1_chr1_hap1:83745-88403	1	83745	4658	4661	29	29	26	chr1_hap1
r47_hap2_chr1_hap2:106548-111894	2	106548	5346	5342	28	34	38	chr1_hap2
r48_hap1_chr1_hap1:104667-110252	1	104667	5585	5586	20	17	16	chr1_hap1
r49_hap1_chr1_hap1:6301-10534	1	6301	4233	4231	30	21	23	chr1_hap1
r50_hap2_chr1_hap2:36542-39262	2	36542	2720	2711	43	14	23	chr1_hap2
r51_hap2_chr1_hap2:43255-46345	2	43255	3090	3086	23	17	21	chr1_hap2
r52_hap2_chr1_hap2:16928-20759	2	16928	3831	3828	24	9	12	chr1_hap2
r53_hap2_chr1_hap2:105438-107874	2	105438	2436	2438	29	18	16	chr1_hap2
r54_hap2_chr1_hap2:66879-69610	2	66879	2731	2729	10	9	11	chr1_hap2
r55_hap2_chr1_hap2:69878-75463	2	69878	5585	5601	41	38	22	chr1_hap2
r56_hap1_chr1_hap1:45986-48541	1	45986	2555	2560	20	26	21	chr1_hap1
r57_hap1_chr1_hap1:79874-85431	1	79874	5557	5561	19	19	15	chr1_hap1
r58_hap2_chr1_hap2:34249-39654	2	34249	5405	5410	42	31	26	chr1_hap2
r59_hap1_chr1_hap1:6109-12030	1	6109	5921	5910	17	13	24	chr1_hap1
r60_hap1_chr1_hap1:21237-26214	1	21237	4977	4974	12	13	16	chr1_hap1
r61_hap1_chr1_hap1:22655-27364	1	22655	4709	4706	36	20	23	chr1_hap1
r62_hap1_chr1_hap1:80004-83384	1	80004	3380	3397	25	35	18	chr1_hap1
r63_hap1_chr1_hap1:66700-69533	1	66700	2833	2850	34	32	15	chr1_hap1
r64_hap2_chr1_hap2:15084-19480	2	15084	4396	4390	17	12	18	chr1_hap2
r65_hap1_chr1_hap1:72206-74833	1	72206	2627	2627	23	15	15	chr1_hap1
r66_hap2_chr1_hap2:19773-21982	2	19773	2209	2211	35	19	17	chr1_hap2
r67_hap1_chr1_hap1:58727-60910	1	58727	2183	2175	15	12	20	chr1_hap1
r68_hap2_chr1_hap2:6426-9435	2	6426	3009	3018	37	27	18	chr1_hap2
r69_hap2_chr1_hap2:80409-82621	2	80409	2212	2203	33	15	24	chr1_hap2
r70_hap1_chr1_hap1:73578-78936	1	73578	5358	5354	20	18	22	chr1_hap1
r71_hap2_chr1_hap2:17456-22536	2	17456	5080	5074	32	25	31	chr1_hap2
r72_hap2_chr1_hap2:21893-25531	2	21893	3638	3639	10	11	10	chr1_hap2
r73_hap1_chr1_hap1:70037-72707	1	70037	2670	2680	26	25	15	chr1_hap1
r74_hap1_chr1_hap1:62080-66478	1	62080	4398	4409	34	36	25	chr1_hap1
r75_hap1_chr1_hap1:11618-15407	1	11618	3789	3786	18	12	15	chr1_hap1
r76_hap1_chr1_hap1:21638-24900	1	21638	3262	3271	24	36	27	chr1_hap1
r77_hap1_chr1_hap1:46305-49826	1	46305	3521	3533	25	18	6	chr1_hap1
r78_hap1_chr1_hap1:81451-85938	1	81451	4487	4487	35	30	30	chr1_hap1
r79_hap1_chr1_hap1:40638-43162	1	40638	2524	2523	30	16	17	chr1_hap1
r80_hap2_chr1_hap2:53276-57962	2	53276	4686	4698	33	35	23	chr1_hap2
r81_hap2_chr1_hap2:41552-45514	2	41552	3962	3966	24	24	20	chr1_hap2
r82_hap2_chr1_hap2:32259-36938	2	32259	4679	4681	40	26	24	chr1_hap2
r83_hap2_chr1_hap2:79234-83145	2	79234	3911	3919	12	18	10	chr1_hap2
r84_hap1_chr1_hap1:465-2827	1	465	2362	2356	13	1	7	chr1_hap1
r85_hap1_chr1_hap1:19782-24418	1	19782	4636	4640	32	30	26	chr1_hap1
r86_hap2_chr1_hap2:38696-40859	2	38696	2163	2164	6	4	3	chr1_hap2
r87_hap1_chr1_hap1:107681-111390	1	107681	3709	3708	13	13	14	chr1_hap1
r88_hap2_chr1_hap2:38961-42195	2	38961	3234	3227	20	16	23	chr1_hap2
r89_hap2_chr1_hap2:56704-59878	2	56704	3174	3179	29	22	17	chr1_hap2
r90_hap2_chr1_hap2:17459-23078	2	17459	5619	5618	29	19	20	chr1_hap2
r91_hap1_chr1_hap1:41994-45639	1	41994	3645	3649	26	32	28	chr1_hap1
r92_hap1_chr1_hap1:22444-26626	1	22444	4182	4180	25	19	21	chr1_hap1
r93_hap2_chr1_hap2:25815-30291	2	25815	4476	4479	19	18	15	chr1_hap2
r94_hap2_chr1_hap2:33417-37346	2	33417	3929	3939	41	29	19	chr1_hap2
r95_hap1_chr1_hap1:106148-110722	1	106148	4574	4571	21	12	15	chr1_hap1
r96_hap2_chr1_hap2:36975-42617	2	36975	5642	5646	29	23	19	chr1_hap2
r97_hap1_chr1_hap1:62759-68132	1	62759	5373	5380	19	17	10	chr1_hap1
r98_hap1_chr1_hap1:68648-71190	1	68648	2542	2545	7	8	5	chr1_hap1
r99_hap1_chr1_hap1:77216-80384	1	77216	3168	3174	21	20	14	chr1_hap1
r100_hap1_chr1_hap1:11215-16296	1	11215	5081	5088	41	35	28	chr1_hap1
r101_hap1_chr1_hap1:105949-111059	1	105949	5110	5116	20	21	15	chr1_hap1
r102_hap2_chr1_hap2:56373-60510	2	56373	4137	4140	32	28	25	chr1_hap2
r103_hap1_chr1_hap1:67832-71652	1	67832	3820	3816	21	7	11	chr1_hap1
r104_hap2_chr1_hap2:41279-46752	2	41279	5473	5481	20	20	12	chr1_hap2
r105_hap2_chr1_hap2:67741-73241	2	67741	5500	5499	20	12	13	chr1_hap2
r106_hap1_chr1_hap1:75853-80859	1	75853	5006	5007	20	16	15	chr1_hap1
r107_hap2_chr1_hap2:36556-39530	2	36556	2974	2969	25	24	29	chr1_hap2
r108_hap1_chr1_hap1:109050-111615	1	109050	2565	2570	10	11	6	chr1_hap1
r109_hap2_chr1_hap2:53312-58512	2	53312	5200	5201	17	17	16	chr1_hap2
r110_hap1_chr1_hap1:39084-44553	1	39084	5469	5475	31	32	26	chr1_hap1
r111_hap1_chr1_hap1:51845-54584	1	51845	2739	2744	25	18	13	chr1_hap1
r112_hap1_chr1_hap1:80825-86464	1	80825	5639	5639	23	13	13	chr1_hap1
r113_hap2_chr1_hap2:69993-74371	2	69993	4378	4387	22	17	8	chr1_hap2
r114_hap2_chr1_hap2:93590-96559	2	93590	2969	2979	12	15	5	chr1_hap2
r115_hap2_chr1_hap2:35190-40150	2	35190	4960	4952	30	23	31	chr1_hap2
r116_hap2_chr1_hap2:84820-87122	2	84820	2302	2307	6	10	5	chr1_hap2
r117_hap2_chr1_hap2:91550-97067	2	91550	5517	5521	30	28	24	chr1_hap2
r118_hap1_chr1_hap1:22266-26114	1	22266	3848	3855	11	16	9	chr1_hap1
r119_hap1_chr1_hap1:9162-11646	1	9162	2484	2484	7	7	7	chr1_hap1
r120_hap1_chr1_hap1:38811-43672	1	38811	4861	4860	19	13	14	chr1_hap1
r121_hap2_chr1_hap2:84693-86886	2	84693	2193	2191	10	8	10	chr1_hap2
r122_hap1_chr1_hap1:65674-69245	1	65674	3571	3567	22	11	15	chr1_hap1
r123_hap2_chr1_hap2:34284-38729	2	34284	4445	4441	20	11	15	chr1_hap2
r124_hap2_chr1_hap2:5443-7536	2	5443	2093	2092	10	8	9	chr1_hap2
r125_hap2_chr1_hap2:105639-109403	2	105639	3764	3773	19	13	4	chr1_hap2
r126_hap1_chr1_hap1:79629-85544	1	79629	5915	5935	50	48	28	chr1_hap1
r127_hap2_chr1_hap2:80502-84244	2	80502	3742	3730	24	18	30	chr1_hap2
r128_hap1_chr1_hap1:39090-42532	1	39090	3442	3442	33	20	20	chr1_hap1
r129_hap1_chr1_hap1:64051-69310	1	64051	5259	5255	42	33	37	chr1_hap1
r130_hap2_chr1_hap2:49756-54698	2	49756	4942	4945	40	28	25	chr1_hap2
r131_hap2_chr1_hap2:69483-72898	2	69483	3415	3415	7	10	10	chr1_hap2
r132_hap2_chr1_hap2:78675-84473	2	78675	5798	5806	41	30	22	chr1_hap2
r133_hap2_chr1_hap2:40561-45961	2	40561	5400	5407	35	32	25	chr1_hap2
r134_hap1_chr1_hap1:19596-23647	1	19596	4051	4062	21	22	11	chr1_hap1
r135_hap1_chr1_hap1:40008-45641	1	40008	5633	5640	14	18	11	chr1_hap1
r136_hap2_chr1_hap2:43655-48192	2	43655	4537	4537	17	14	14	chr1_hap2
r137_hap1_chr1_hap1:91678-95166	1	91678	3488	3492	28	24	20	chr1_hap1
r138_hap1_chr1_hap1:106294-109414	1	106294	3120	3114	26	17	23	chr1_hap1
r139_hap1_chr1_hap1:7833-10970	1	7833	3137	3148	21	26	15	chr1_hap1
r140_hap2_chr1_hap2:69658-71852	2	69658	2194	2204	22	28	18	chr1_hap2
r141_hap2_chr1_hap2:94081-96281	2	94081	2200	2202	14	17	15	chr1_hap2
r142_hap2_chr1_hap2:37953-43763	2	37953	5810	5822	41	36	24	chr1_hap2
r143_hap2_chr1_hap2:56338-60991	2	56338	4653	4655	40	28	26	chr1_hap2
r144_hap2_chr1_hap2:54453-60035	2	54453	5582	5587	25	20	15	chr1_hap2
r145_hap2_chr1_hap2:115360-118755	2	115360	3395	3395	9	10	10	chr1_hap2
r146_hap2_chr1_hap2:36048-38249	2	36048	2201	2203	14	7	5	chr1_hap2
r147_hap2_chr1_hap2:90698-94596	2	90698	3898	3906	45	32	24	chr1_hap2
r148_hap2_chr1_hap2:554-3068	2	554	2514	2516	6	13	11	chr1_hap2
r149_hap1_chr1_hap1:894-3961	1	894	3067	3074	29	24	17	chr1_hap1
r150_hap1_chr1_hap1:74189-80046	1	74189	5857	5872	20	30	15	chr1_hap1
r151_hap2_chr1_hap2:38297-40531	2	38297	2234	2231	12	4	7	chr1_hap2
r152_hap2_chr1_hap2:55116-60590	2	55116	5474	5461	38	24	37	chr1_hap2
r153_hap2_chr1_hap2:94311-96337	2	94311	2026	2019	9	4	11	chr1_hap2
r154_hap1_chr1_hap1:7953-10501	1	7953	2548	2543	25	13	18	chr1_hap1
r155_hap1_chr1_hap1:106305-110311	1	106305	4006	4002	37	21	25	chr1_hap1
r156_hap2_chr1_hap2:40972-46081	2	40972	5109	5106	20	17	20	chr1_hap2
r157_hap2_chr1_hap2:110428-112717	2	110428	2289	2288	7	3	4	chr1_hap2
r158_hap2_chr1_hap2:58528-60794	2	58528	2266	2257	27	18	27	chr1_hap2
r159_hap2_chr1_hap2:57607-62497	2	57607	4890	4889	23	13	14	chr1_hap2
r160_hap2_chr1_hap2:78262-83842	2	78262	5580	5572	40	25	33	chr1_hap2
r161_hap2_chr1_hap2:13904-16457	2	13904	2553	2558	23	22	17	chr1_hap2
r162_hap2_chr1_hap2:20228-23166	2	20228	2938	2927	21	17	28	chr1_hap2
r163_hap2_chr1_hap2:56906-61172	2	56906	4266	4272	21	17	11	chr1_hap2
r164_hap1_chr1_hap1:74236-77861	1	74236	3625	3626	14	13	12	chr1_hap1
r165_hap2_chr1_hap2:80362-86051	2	80362	5689	5686	22	23	26	chr1_hap2
r166_hap1_chr1_hap1:33637-35785	1	33637	2148	2141	34	19	26	chr1_hap1
r167_hap2_chr1_hap2:117256-119403	2	117256	2147	2148	22	22	21	chr1_hap2
r168_hap1_chr1_hap1:63032-68856	1	63032	5824	5820	26	16	20	chr1_hap1
r169_hap1_chr1_hap1:63808-66965	1	63808	3157	3156	16	15	16	chr1_hap1
r170_hap2_chr1_hap2:113307-116704	2	113307	3397	3384	40	10	23	chr1_hap2
r171_hap1_chr1_hap1:114194-117633	1	114194	3439	3438	13	7	8	chr1_hap1
r172_hap2_chr1_hap2:107084-111237	2	107084	4153	4160	14	14	7	chr1_hap2
r173_hap2_chr1_hap2:107466-110723	2	107466	3257	3255	25	29	31	chr1_hap2
r174_hap1_chr1_hap1:67191-72348	1	67191	5157	5158	15	17	16	chr1_hap1
r175_hap2_chr1_hap2:17810-23205	2	17810	5395	5399	34	33	29	chr1_hap2
r176_hap2_chr1_hap2:69348-73585	2	69348	4237	4234	28	28	31	chr1_hap2
r177_hap2_chr1_hap2:41554-47019	2	41554	5465	5458	34	21	28	chr1_hap2
r178_hap2_chr1_hap2:84629-88011	2	84629	3382	3378	11	8	12	chr1_hap2
r179_hap2_chr1_hap2:81788-86413	2	81788	4625	4612	15	7	20	chr1_hap2
r180_hap2_chr1_hap2:110900-113574	2	110900	2674	2668	28	15	21	chr1_hap2
r181_hap1_chr1_hap1:9640-14372	1	9640	4732	4736	34	21	17	chr1_hap1
r182_hap2_chr1_hap2:92466-97092	2	92466	4626	4633	36	31	24	chr1_hap2
r183_hap2_chr1_hap2:107199-112908	2	107199	5709	5712	36	34	31	chr1_hap2
r184_hap2_chr1_hap2:20410-23618	2	20410	3208	3213	28	25	20	chr1_hap2
r185_hap2_chr1_hap2:11614-17040	2	11614	5426	5427	14	18	17	chr1_hap2
r186_hap2_chr1_hap2:91318-95134	2	91318	3816	3823	42	32	25	chr1_hap2
