read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap1_chr1_hap1:72275-78030	1	72275	5755	5752	26	19	22	chr1_hap1
r1_hap2_chr1_hap2:2971-7866	2	2971	4895	4899	20	20	16	chr1_hap2
r2_hap1_chr1_hap1:29123-32907	1	29123	3784	3785	9	13	12	chr1_hap1
r3_hap2_chr1_hap2:63116-66946	2	63116	3830	3829	13	13	14	chr1_hap2
r4_hap1_chr1_hap1:74463-79827	1	74463	5364	5369	18	18	13	chr1_hap1
r5_hap1_chr1_hap1:70980-76897	1	70980	5917	5926	26	19	10	chr1_hap1
r6_hap2_chr1_hap2:18299-21832	2	18299	3533	3532	10	10	11	chr1_hap2
r7_hap2_chr1_hap2:64117-68746	2	64117	4629	4634	25	17	12	chr1_hap2
r8_hap1_chr1_hap1:42774-45128	1	42774	2354	2354	13	8	8	chr1_hap1
r9_hap1_chr1_hap1:28772-31573	1	28772	2801	2799	14	6	8	chr1_hap1
r10_hap2_chr1_hap2:505-5411	2	505	4906	4915	18	18	9	chr1_hap2
r11_hap1_chr1_hap1:70941-76184	1	70941	5243	5244	24	15	14	chr1_hap1
r12_hap2_chr1_hap2:2957-8594	2	2957	5637	5635	19	18	20	chr1_hap2
r13_hap2_chr1_hap2:5283-10694	2	5283	5411	5412	16	15	14	chr1_hap2
r14_hap2_chr1_hap2:8703-12171	2	8703	3468	3469	19	11	10	chr1_hap2
r15_hap1_chr1_hap1:28544-32613	1	28544	4069	4065	15	11	15	chr1_hap1
r16_hap2_chr1_hap2:63584-67344	2	63584	3760	3762	13	12	10	chr1_hap2
r17_hap1_chr1_hap1:72121-75752	1	72121	3631	3634	11	14	11	chr1_hap1
r18_hap2_chr1_hap2:6641-11737	2	6641	5096	5099	27	21	18	chr1_hap2
r19_hap1_chr1_hap1:29456-32076	1	29456	2620	2622	11	11	9	chr1_hap1
r20_hap2_chr1_hap2:1247-4309	2	1247	3062	3059	9	10	13	chr1_hap2
r21_hap1_chr1_hap1:29796-33878	1	29796	4082	4076	16	9	15	chr1_hap1
r22_hap2_chr1_hap2:15743-21089	2	15743	5346	5343	20	14	17	chr1_hap2
r23_hap1_chr1_hap1:27581-31541	1	27581	3960	3965	9	12	7	chr1_hap1
r24_hap2_chr1_hap2:3461-7556	2	3461	4095	4093	19	14	16	chr1_hap2
r25_hap2_chr1_hap2:42-2945	2	42	2903	2903	15	6	6	chr1_hap2
