read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap1_chr1_hap1:24994-29192	1	24994	4198	4200	20	10	8	chr1_hap1
r1_hap1_chr1_hap1:45148-51098	1	45148	5950	5948	20	18	20	chr1_hap1
r2_hap2_chr1_hap2:61439-64356	2	61439	2917	2918	17	11	10	chr1_hap2
r3_hap2_chr1_hap2:74506-78089	2	74506	3583	3583	18	8	8	chr1_hap2
r4_hap1_chr1_hap1:31845-37183	1	31845	5338	5334	20	14	18	chr1_hap1
r5_hap1_chr1_hap1:5896-8159	1	5896	2263	2265	13	13	11	chr1_hap1
r6_hap2_chr1_hap2:34556-39333	2	34556	4777	4783	21	19	13	chr1_hap2
r7_hap1_chr1_hap1:25556-31142	1	25556	5586	5587	19	17	16	chr1_hap1
r8_hap2_chr1_hap2:37924-43161	2	37924	5237	5240	21	19	16	chr1_hap2
r9_hap1_chr1_hap1:51567-56376	1	51567	4809	4811	22	16	14	chr1_hap1
r10_hap1_chr1_hap1:51261-56010	1	51261	4749	4746	17	10	13	chr1_hap1
r11_hap1_chr1_hap1:14700-18086	1	14700	3386	3386	9	9	9	chr1_hap1
r12_hap1_chr1_hap1:54204-57960	1	54204	3756	3749	14	9	16	chr1_hap1
r13_hap1_chr1_hap1:68870-71577	1	68870	2707	2717	8	10	0	chr1_hap1
r14_hap1_chr1_hap1:42888-45059	1	42888	2171	2170	10	6	7	chr1_hap1
r15_hap1_chr1_hap1:43275-47584	1	43275	4309	4308	14	9	10	chr1_hap1
r16_hap1_chr1_hap1:23683-26272	1	23683	2589	2586	7	3	6	chr1_hap1
r17_hap1_chr1_hap1:51828-57581	1	51828	5753	5752	32	12	13	chr1_hap1
r18_hap2_chr1_hap2:2694-7765	2	2694	5071	5075	13	15	11	chr1_hap2
r19_hap1_chr1_hap1:68930-71021	1	68930	2091	2091	5	6	6	chr1_hap1
r20_hap1_chr1_hap1:49264-52153	1	49264	2889	2901	19	21	9	chr1_hap1
r21_hap1_chr1_hap1:12919-16004	1	12919	3085	3087	12	8	6	chr1_hap1
r22_hap1_chr1_hap1:29351-34742	1	29351	5391	5389	23	12	14	chr1_hap1
r23_hap2_chr1_hap2:55862-59302	2	55862	3440	3441	14	7	6	chr1_hap2
r24_hap1_chr1_hap1:5229-9474	1	5229	4245	4250	20	16	11	chr1_hap1
r25_hap2_chr1_hap2:54877-60074	2	54877	5197	5200	18	27	24	chr1_hap2
r26_hap1_chr1_hap1:25024-30240	1	25024	5216	5217	28	13	12	chr1_hap1
r27_hap2_chr1_hap2:3205-7656	2	3205	4451	4441	19	11	21	chr1_hap2
r28_hap1_chr1_hap1:44906-50069	1	44906	5163	5164	20	16	15	chr1_hap1
r29_hap1_chr1_hap1:32460-36046	1	32460	3586	3588	13	14	12	chr1_hap1
r30_hap1_chr1_hap1:25446-31170	1	25446	5724	5729	28	21	16	chr1_hap1
r31_hap1_chr1_hap1:24346-29992	1	24346	5646	5640	20	15	21	chr1_hap1
r32_hap1_chr1_hap1:22463-27196	1	22463	4733	4724	14	13	22	chr1_hap1
r33_hap2_chr1_hap2:789-3430	2	789	2641	2640	8	9	10	chr1_hap2
r34_hap1_chr1_hap1:41498-47124	1	41498	5626	5629	16	21	18	chr1_hap1
r35_hap1_chr1_hap1:4865-10015	1	4865	5150	5154	29	19	15	chr1_hap1
r36_hap1_chr1_hap1:25185-30787	1	25185	5602	5597	21	12	17	chr1_hap1
r37_hap2_chr1_hap2:36195-39096	2	36195	2901	2900	8	10	11	chr1_hap2
r38_hap2_chr1_hap2:40114-42378	2	40114	2264	2266	11	13	11	chr1_hap2
r39_hap1_chr1_hap1:4671-7513	1	4671	2842	2840	15	5	7	chr1_hap1
r40_hap2_chr1_hap2:8502-13446	2	8502	4944	4941	22	8	11	chr1_hap2
r41_hap1_chr1_hap1:66469-69561	1	66469	3092	3085	14	7	14	chr1_hap1
r42_hap2_chr1_hap2:10552-15176	2	10552	4624	4623	16	16	17	chr1_hap2
r43_hap1_chr1_hap1:20825-24374	1	20825	3549	3554	10	12	7	chr1_hap1
r44_hap2_chr1_hap2:72288-75513	2	72288	3225	3229	5	16	12	chr1_hap2
r45_hap2_chr1_hap2:58836-63999	2	58836	5163	5164	21	18	17	chr1_hap2
r46_hap1_chr1_hap1:47309-53207	1	47309	5898	5894	18	15	19	chr1_hap1
r47_hap2_chr1_hap2:72829-76442	2	72829	3613	3608	23	9	14	chr1_hap2
r48_hap1_chr1_hap1:49280-54710	1	49280	5430	5431	23	18	17	chr1_hap1
r49_hap2_chr1_hap2:70680-75005	2	70680	4325	4325	24	7	7	chr1_hap2
r50_hap1_chr1_hap1:4730-9879	1	4730	5149	5160	22	24	13	chr1_hap1
r51_hap1_chr1_hap1:23835-26062	1	23835	2227	2236	6	12	3	chr1_hap1
r52_hap1_chr1_hap1:5541-8096	1	5541	2555	2553	12	11	13	chr1_hap1
r53_hap2_chr1_hap2:11530-17347	2	11530	5817	5819	23	17	15	chr1_hap2
r54_hap2_chr1_hap2:57993-62233	2	57993	4240	4240	18	13	13	chr1_hap2
r55_hap2_chr1_hap2:73447-79191	2	73447	5744	5736	16	12	20	chr1_hap2
r56_hap1_chr1_hap1:52584-56542	1	52584	3958	3957	14	11	12	chr1_hap1
r57_hap2_chr1_hap2:28449-32209	2	28449	3760	3752	12	7	15	chr1_hap2
r58_hap1_chr1_hap1:30623-33898	1	30623	3275	3267	12	4	12	chr1_hap1
r59_hap1_chr1_hap1:22568-27694	1	22568	5126	5130	16	20	16	chr1_hap1
r60_hap1_chr1_hap1:48659-51189	1	48659	2530	2530	8	9	9	chr1_hap1
r61_hap2_chr1_hap2:42605-46273	2	42605	3668	3656	17	8	20	chr1_hap2
r62_hap1_chr1_hap1:28918-32394	1	28918	3476	3472	16	6	10	chr1_hap1
r63_hap2_chr1_hap2:30-2854	2	30	2824	2825	11	8	7	chr1_hap2
r64_hap1_chr1_hap1:6521-10997	1	6521	4476	4472	30	12	16	chr1_hap1
r65_hap1_chr1_hap1:54248-57531	1	54248	3283	3293	13	19	9	chr1_hap1
r66_hap1_chr1_hap1:6112-9023	1	6112	2911	2904	10	6	13	chr1_hap1
r67_hap1_chr1_hap1:5065-10145	1	5065	5080	5081	18	19	18	chr1_hap1
r68_hap1_chr1_hap1:45749-51133	1	45749	5384	5394	15	23	13	chr1_hap1
r69_hap2_chr1_hap2:28092-30172	2	28092	2080	2086	9	9	3	chr1_hap2
r70_hap1_chr1_hap1:47404-50745	1	47404	3341	3340	16	12	13	chr1_hap1
r71_hap1_chr1_hap1:3895-9023	1	3895	5128	5125	16	17	20	chr1_hap1
r72_hap2_chr1_hap2:42574-44778	2	42574	2204	2209	10	9	4	chr1_hap2
r73_hap2_chr1_hap2:42597-46309	2	42597	3712	3722	23	17	7	chr1_hap2
r74_hap2_chr1_hap2:56828-59496	2	56828	2668	2668	14	10	10	chr1_hap2
r75_hap2_chr1_hap2:8163-14054	2	8163	5891	5902	27	20	9	chr1_hap2
r76_hap1_chr1_hap1:31529-37225	1	31529	5696	5698	21	18	16	chr1_hap1
r77_hap2_chr1_hap2:70544-74944	2	70544	4400	4396	22	13	17	chr1_hap2
r78_hap1_chr1_hap1:71758-74024	1	71758	2266	2273	5	10	3	chr1_hap1
r79_hap2_chr1_hap2:9067-13092	2	9067	4025	4028	20	13	10	chr1_hap2
r80_hap1_chr1_hap1:4193-10149	1	4193	5956	5953	22	17	20	chr1_hap1
r81_hap2_chr1_hap2:55247-60015	2	55247	4768	4764	14	12	16	chr1_hap2
r82_hap2_chr1_hap2:74847-78107	2	74847	3260	3261	15	11	10	chr1_hap2
r83_hap2_chr1_hap2:58748-63515	2	58748	4767	4767	15	11	11	chr1_hap2
r84_hap1_chr1_hap1:42399-45461	1	42399	3062	3061	18	11	12	chr1_hap1
r85_hap2_chr1_hap2:59568-63617	2	59568	4049	4050	14	14	13	chr1_hap2
r86_hap2_chr1_hap2:70843-73149	2	70843	2306	2301	8	8	13	chr1_hap2
r87_hap1_chr1_hap1:21776-24730	1	21776	2954	2950	16	7	11	chr1_hap1
r88_hap2_chr1_hap2:71927-77112	2	71927	5185	5192	18	27	20	chr1_hap2
r89_hap1_chr1_hap1:66554-69999	1	66554	3445	3448	20	14	11	chr1_hap1
r90_hap1_chr1_hap1:6545-8639	1	6545	2094	2100	11	10	4	chr1_hap1
r91_hap2_chr1_hap2:2384-8309	2	2384	5925	5934	33	25	16	chr1_hap2
r92_hap2_chr1_hap2:70394-73510	2	70394	3116	3112	9	6	10	chr1_hap2
r93_hap1_chr1_hap1:43674-49116	1	43674	5442	5450	20	19	11	chr1_hap1
r94_hap2_chr1_hap2:73381-78679	2	73381	5298	5308	28	26	16	chr1_hap2
r95_hap1_chr1_hap1:44627-48342	1	44627	3715	3718	15	12	9	chr1_hap1
r96_hap1_chr1_hap1:44217-48555	1	44217	4338	4347	17	20	11	chr1_hap1
r97_hap1_chr1_hap1:68251-72238	1	68251	3987	3984	19	12	15	chr1_hap1
r98_hap2_chr1_hap2:13959-17930	2	13959	3971	3974	20	16	13	chr1_hap2
r99_hap1_chr1_hap1:67534-72684	1	67534	5150	5150	19	14	14	chr1_hap1
r100_hap2_chr1_hap2:39767-45326	2	39767	5559	5564	19	15	10	chr1_hap2
r101_hap2_chr1_hap2:9873-12632	2	9873	2759	2762	15	9	6	chr1_hap2
r102_hap2_chr1_hap2:2860-8494	2	2860	5634	5638	23	19	15	chr1_hap2
r103_hap1_chr1_hap1:6389-10324	1	6389	3935	3940	14	20	15	chr1_hap1
r104_hap2_chr1_hap2:56279-59417	2	56279	3138	3136	11	9	11	chr1_hap2
r105_hap2_chr1_hap2:17845-20158	2	17845	2313	2317	6	8	4	chr1_hap2
r106_hap2_chr1_hap2:43118-48975	2	43118	5857	5860	19	23	20	chr1_hap2
r107_hap1_chr1_hap1:27289-29737	1	27289	2448	2448	3	6	6	chr1_hap1
r108_hap2_chr1_hap2:13182-16395	2	13182	3213	3217	12	10	6	chr1_hap2
r109_hap1_chr1_hap1:27395-30900	1	27395	3505	3504	12	6	7	chr1_hap1
r110_hap1_chr1_hap1:13377-18451	1	13377	5074	5086	26	22	10	chr1_hap1
r111_hap1_chr1_hap1:68930-71017	1	68930	2087	2089	4	6	4	chr1_hap1
r112_hap1_chr1_hap1:15052-19381	1	15052	4329	4327	12	13	15	chr1_hap1
r113_hap2_chr1_hap2:12514-15800	2	12514	3286	3289	12	9	6	chr1_hap2
r114_hap2_chr1_hap2:11460-14358	2	11460	2898	2899	10	8	7	chr1_hap2
r115_hap2_chr1_hap2:57967-61413	2	57967	3446	3453	11	18	11	chr1_hap2
r116_hap1_chr1_hap1:55468-58780	1	55468	3312	3311	9	9	10	chr1_hap1
r117_hap1_chr1_hap1:51630-55429	1	51630	3799	3798	17	8	9	chr1_hap1
r118_hap2_chr1_hap2:44056-46296	2	44056	2240	2236	11	9	13	chr1_hap2
r119_hap2_chr1_hap2:60711-64048	2	60711	3337	3334	14	10	13	chr1_hap2
r120_hap1_chr1_hap1:51971-55894	1	51971	3923	3924	22	13	12	chr1_hap1
r121_hap1_chr1_hap1:21233-25932	1	21233	4699	4700	20	15	14	chr1_hap1
r122_hap1_chr1_hap1:52429-57279	1	52429	4850	4858	24	17	9	chr1_hap1
r123_hap1_chr1_hap1:30864-34325	1	30864	3461	3466	13	16	11	chr1_hap1
r124_hap1_chr1_hap1:31508-37206	1	31508	5698	5698	11	17	17	chr1_hap1
r125_hap1_chr1_hap1:51300-57176	1	51300	5876	5866	19	11	21	chr1_hap1
r126_hap1_chr1_hap1:33744-36344	1	33744	2600	2607	11	13	6	chr1_hap1
r127_hap2_chr1_hap2:61276-64442	2	61276	3166	3170	16	12	8	chr1_hap2
r128_hap1_chr1_hap1:49017-53635	1	49017	4618	4620	16	15	13	chr1_hap1
r129_hap2_chr1_hap2:51926-57724	2	51926	5798	5803	25	19	14	chr1_hap2
r130_hap1_chr1_hap1:42385-46388	1	42385	4003	3994	13	10	19	chr1_hap1
r131_hap1_chr1_hap1:44701-49773	1	44701	5072	5089	25	27	10	chr1_hap1
r132_hap1_chr1_hap1:25910-28843	1	25910	2933	2938	10	10	5	chr1_hap1
r133_hap1_chr1_hap1:44336-48708	1	44336	4372	4377	10	16	11	chr1_hap1
r134_hap1_chr1_hap1:66720-72092	1	66720	5372	5374	19	16	14	chr1_hap1
r135_hap2_chr1_hap2:56056-58781	2	56056	2725	2723	15	9	11	chr1_hap2
r136_hap2_chr1_hap2:2396-6450	2	2396	4054	4059	14	14	9	chr1_hap2
r137_hap1_chr1_hap1:53002-55142	1	53002	2140	2143	7	8	5	chr1_hap1
r138_hap1_chr1_hap1:43648-47494	1	43648	3846	3842	13	5	9	chr1_hap1
r139_hap1_chr1_hap1:28457-33538	1	28457	5081	5082	18	18	17	chr1_hap1
r140_hap2_chr1_hap2:7433-11131	2	7433	3698	3700	21	11	9	chr1_hap2
r141_hap1_chr1_hap1:25377-29690	1	25377	4313	4318	25	18	13	chr1_hap1
r142_hap1_chr1_hap1:6681-9384	1	6681	2703	2699	9	6	10	chr1_hap1
r143_hap1_chr1_hap1:69363-74076	1	69363	4713	4709	24	11	15	chr1_hap1
r144_hap2_chr1_hap2:9150-15028	2	9150	5878	5882	25	23	19	chr1_hap2
r145_hap2_chr1_hap2:27374-32275	2	27374	4901	4900	22	14	15	chr1_hap2
r146_hap1_chr1_hap1:5735-8095	1	5735	2360	2367	6	13	6	chr1_hap1
r147_hap1_chr1_hap1:26652-31764	1	26652	5112	5117	21	18	13	chr1_hap1
r148_hap2_chr1_hap2:12649-14886	2	12649	2237	2242	13	7	2	chr1_hap2
r149_hap2_chr1_hap2:38374-43791	2	38374	5417	5405	27	13	25	chr1_hap2
r150_hap1_chr1_hap1:44697-48630	1	44697	3933	3923	11	7	17	chr1_hap1
r151_hap2_chr1_hap2:59410-62192	2	59410	2782	2777	16	5	10	chr1_hap2
r152_hap2_chr1_hap2:2615-5276	2	2615	2661	2663	10	12	10	chr1_hap2
r153_hap2_chr1_hap2:52010-57381	2	52010	5371	5367	19	14	18	chr1_hap2
r154_hap2_chr1_hap2:11627-16535	2	11627	4908	4904	23	11	15	chr1_hap2
r155_hap1_chr1_hap1:4308-7022	1	4308	2714	2713	11	4	5	chr1_hap1
r156_hap2_chr1_hap2:71221-75890	2	71221	4669	4661	18	13	21	chr1_hap2
r157_hap2_chr1_hap2:53931-56691	2	53931	2760	2759	6	8	9	chr1_hap2
r158_hap1_chr1_hap1:27130-31084	1	27130	3954	3947	18	8	15	chr1_hap1
r159_hap1_chr1_hap1:20790-26635	1	20790	5845	5847	22	22	20	chr1_hap1
r160_hap1_chr1_hap1:26146-30423	1	26146	4277	4277	19	17	17	chr1_hap1
r161_hap1_chr1_hap1:77419-79762	1	77419	2343	2348	8	12	7	chr1_hap1
r162_hap1_chr1_hap1:49504-54860	1	49504	5356	5344	29	8	20	chr1_hap1
r163_hap1_chr1_hap1:26640-30465	1	26640	3825	3825	15	13	13	chr1_hap1
r164_hap1_chr1_hap1:23300-26309	1	23300	3009	3007	9	6	8	chr1_hap1
r165_hap2_chr1_hap2:72874-76110	2	72874	3236	3235	8	6	7	chr1_hap2
r166_hap1_chr1_hap1:30384-32572	1	30384	2188	2185	8	4	7	chr1_hap1
r167_hap1_chr1_hap1:66529-71826	1	66529	5297	5304	13	19	12	chr1_hap1
r168_hap2_chr1_hap2:15572-17959	2	15572	2387	2391	11	11	7	chr1_hap2
r169_hap1_chr1_hap1:70690-73783	1	70690	3093	3097	11	12	8	chr1_hap1
r170_hap1_chr1_hap1:26271-29326	1	26271	3055	3056	9	11	10	chr1_hap1
r171_hap1_chr1_hap1:26818-30301	1	26818	3483	3485	14	9	7	chr1_hap1
r172_hap1_chr1_hap1:5219-9860	1	5219	4641	4632	12	12	21	chr1_hap1
r173_hap1_chr1_hap1:4681-8212	1	4681	3531	3537	17	10	4	chr1_hap1
r174_hap2_chr1_hap2:15249-19463	2	15249	4214	4216	16	13	11	chr1_hap2
r175_hap2_chr1_hap2:12345-18282	2	12345	5937	5924	15	10	23	chr1_hap2
r176_hap2_chr1_hap2:71721-77219	2	71721	5498	5495	26	16	19	chr1_hap2
r177_hap2_chr1_hap2:74188-76999	2	74188	2811	2811	12	9	9	chr1_hap2
r178_hap1_chr1_hap1:66609-70071	1	66609	3462	3461	16	9	10	chr1_hap1
r179_hap2_chr1_hap2:14100-17659	2	14100	3559	3552	12	10	17	chr1_hap2
r180_hap1_chr1_hap1:31463-36320	1	31463	4857	4861	22	18	14	chr1_hap1
r181_hap2_chr1_hap2:8689-12479	2	8689	3790	3786	14	10	14	chr1_hap2
r182_hap2_chr1_hap2:14667-19056	2	14667	4389	4386	8	14	17	chr1_hap2
r183_hap1_chr1_hap1:71493-74513	1	71493	3020	3023	13	15	12	chr1_hap1
r184_hap2_chr1_hap2:29676-32013	2	29676	2337	2339	10	14	12	chr1_hap2
r185_hap2_chr1_hap2:74169-78575	2	74169	4406	4403	20	13	16	chr1_hap2
r186_hap1_chr1_hap1:29276-34368	1	29276	5092	5094	28	18	16	chr1_hap1
r187_hap2_chr1_hap2:9230-11836	2	9230	2606	2605	8	10	11	chr1_hap2
r188_hap1_chr1_hap1:45802-50315	1	45802	4513	4513	19	15	15	chr1_hap1
r189_hap2_chr1_hap2:9768-13854	2	9768	4086	4093	11	19	12	chr1_hap2
r190_hap2_chr1_hap2:13035-17746	2	13035	4711	4713	14	13	11	chr1_hap2
r191_hap1_chr1_hap1:69925-72350	1	69925	2425	2424	6	7	8	chr1_hap1
r192_hap2_chr1_hap2:15689-19088	2	15689	3399	3401	11	14	12	chr1_hap2
r193_hap1_chr1_hap1:49676-53459	1	49676	3783	3792	9	12	3	chr1_hap1
r194_hap2_chr1_hap2:42087-47478	2	42087	5391	5381	28	14	24	chr1_hap2
r195_hap1_chr1_hap1:14089-19606	1	14089	5517	5516	22	13	14	chr1_hap1
r196_hap1_chr1_hap1:42064-47001	1	42064	4937	4942	28	20	15	chr1_hap1
r197_hap1_chr1_hap1:43545-48141	1	43545	4596	4593	24	14	17	chr1_hap1
r198_hap1_chr1_hap1:22741-28428	1	22741	5687	5694	20	18	11	chr1_hap1
r199_hap1_chr1_hap1:61853-63934	1	61853	2081	2081	7	5	5	chr1_hap1
