read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap1_chr1_hap1:31888-34829	1	31888	2941	2944	14	15	12	chr1_hap1
r1_hap1_chr1_hap1:18862-20862	1	18862	2000	1998	10	4	6	chr1_hap1
r2_hap2_chr1_hap2:60363-62363	2	60363	2000	1995	5	4	9	chr1_hap2
r3_hap1_chr1_hap1:56388-62388	1	56388	6000	5996	19	16	20	chr1_hap1
r4_hap2_chr1_hap2:66962-70147	2	66962	3185	3180	11	5	10	chr1_hap2
r5_hap2_chr1_hap2:55937-58479	2	55937	2542	2542	11	4	4	chr1_hap2
r6_hap2_chr1_hap2:47216-51489	2	47216	4273	4269	15	12	16	chr1_hap2
r7_hap2_chr1_hap2:34983-40983	2	34983	6000	5990	25	15	25	chr1_hap2
r8_hap1_chr1_hap1:48696-50969	1	48696	2273	2276	14	5	2	chr1_hap1
r9_hap1_chr1_hap1:10233-16233	1	10233	6000	5991	20	15	24	chr1_hap1
r10_hap1_chr1_hap1:63094-69094	1	63094	6000	6006	31	21	15	chr1_hap1
r11_hap1_chr1_hap1:4764-9925	1	4764	5161	5165	29	19	15	chr1_hap1
r12_hap1_chr1_hap1:24658-26718	1	24658	2060	2059	11	8	9	chr1_hap1
r13_hap1_chr1_hap1:23753-29753	1	23753	6000	6003	23	23	20	chr1_hap1
r14_hap2_chr1_hap2:42772-44939	2	42772	2167	2171	6	10	6	chr1_hap2
r15_hap1_chr1_hap1:49594-52417	1	49594	2823	2832	14	13	4	chr1_hap1
r16_hap2_chr1_hap2:34724-38684	2	34724	3960	3949	14	6	17	chr1_hap2
r17_hap2_chr1_hap2:58979-64979	2	58979	6000	5996	20	19	23	chr1_hap2
r18_hap1_chr1_hap1:2604-6821	1	2604	4217	4218	10	10	9	chr1_hap1
r19_hap2_chr1_hap2:58947-61258	2	58947	2311	2313	13	6	4	chr1_hap2
r20_hap1_chr1_hap1:21973-24279	1	21973	2306	2303	5	3	6	chr1_hap1
r21_hap1_chr1_hap1:7900-13900	1	7900	6000	6002	27	16	14	chr1_hap1
r22_hap2_chr1_hap2:24863-30863	2	24863	6000	6007	25	21	14	chr1_hap2
r23_hap1_chr1_hap1:43942-47162	1	43942	3220	3215	11	8	13	chr1_hap1
r24_hap2_chr1_hap2:50022-56022	2	50022	6000	5997	24	19	22	chr1_hap2
