read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:38070-43596	2	38070	5526	5518	27	9	17	chr1_hap2
r1_hap2_chr1_hap2:40883-45488	2	40883	4605	4604	13	13	14	chr1_hap2
r2_hap2_chr1_hap2:64346-67174	2	64346	2828	2828	11	6	6	chr1_hap2
r3_hap1_chr1_hap1:9246-14758	1	9246	5512	5515	19	16	13	chr1_hap1
r4_hap1_chr1_hap1:14342-16640	1	14342	2298	2298	12	5	5	chr1_hap1
r5_hap2_chr1_hap2:15579-19426	2	15579	3847	3849	21	21	19	chr1_hap2
r6_hap1_chr1_hap1:40081-44375	1	40081	4294	4296	19	13	11	chr1_hap1
r7_hap1_chr1_hap1:38585-42771	1	38585	4186	4183	16	9	12	chr1_hap1
r8_hap2_chr1_hap2:48668-51424	2	48668	2756	2752	9	5	9	chr1_hap2
r9_hap2_chr1_hap2:73654-77577	2	73654	3923	3925	16	9	7	chr1_hap2
r10_hap1_chr1_hap1:1973-7323	1	1973	5350	5344	18	11	17	chr1_hap1
r11_hap2_chr1_hap2:23673-26774	2	23673	3101	3109	11	12	4	chr1_hap2
r12_hap2_chr1_hap2:64050-66192	2	64050	2142	2138	6	8	12	chr1_hap2
r13_hap2_chr1_hap2:58812-61167	2	58812	2355	2358	8	9	6	chr1_hap2
r14_hap2_chr1_hap2:21770-26640	2	21770	4870	4865	16	14	19	chr1_hap2
r15_hap1_chr1_hap1:74537-79354	1	74537	4817	4815	15	13	15	chr1_hap1
r16_hap2_chr1_hap2:59326-62225	2	59326	2899	2892	16	7	14	chr1_hap2
r17_hap2_chr1_hap2:58023-62965	2	58023	4942	4938	15	17	21	chr1_hap2
r18_hap1_chr1_hap1:26551-30989	1	26551	4438	4435	14	14	17	chr1_hap1
r19_hap2_chr1_hap2:57646-61060	2	57646	3414	3416	11	13	11	chr1_hap2
r20_hap2_chr1_hap2:41738-44052	2	41738	2314	2313	10	7	8	chr1_hap2
r21_hap2_chr1_hap2:862-6401	2	862	5539	5545	18	20	14	chr1_hap2
r22_hap2_chr1_hap2:45726-50805	2	45726	5079	5074	21	12	17	chr1_hap2
r23_hap2_chr1_hap2:23254-26611	2	23254	3357	3359	15	9	7	chr1_hap2
r24_hap2_chr1_hap2:36444-38631	2	36444	2187	2188	11	9	8	chr1_hap2
