read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap1_chr1_hap1:14146-16146	1	14146	2000	1993	10	7	14	chr1_hap1
r1_hap2_chr1_hap2:55415-58586	2	55415	3171	3169	11	9	11	chr1_hap2
r2_hap2_chr1_hap2:71745-76254	2	71745	4509	4512	22	15	12	chr1_hap2
r3_hap2_chr1_hap2:56774-62774	2	56774	6000	6004	20	23	19	chr1_hap2
r4_hap1_chr1_hap1:50946-53845	1	50946	2899	2898	13	8	9	chr1_hap1
r5_hap2_chr1_hap2:49255-55234	2	49255	5979	5988	19	24	15	chr1_hap2
r6_hap2_chr1_hap2:6219-9275	2	6219	3056	3056	12	6	6	chr1_hap2
r7_hap1_chr1_hap1:69002-73584	1	69002	4582	4590	16	17	9	chr1_hap1
r8_hap1_chr1_hap1:22132-26650	1	22132	4518	4520	28	15	13	chr1_hap1
r9_hap1_chr1_hap1:62443-68443	1	62443	6000	5998	26	17	19	chr1_hap1
r10_hap1_chr1_hap1:52839-56170	1	52839	3331	3343	11	15	3	chr1_hap1
r11_hap1_chr1_hap1:19679-21679	1	19679	2000	2005	10	9	4	chr1_hap1
r12_hap1_chr1_hap1:48613-50988	1	48613	2375	2376	14	4	3	chr1_hap1
r13_hap2_chr1_hap2:67789-69972	2	67789	2183	2183	9	5	5	chr1_hap2
r14_hap2_chr1_hap2:42800-44800	2	42800	2000	1998	8	3	5	chr1_hap2
r15_hap1_chr1_hap1:59093-61093	1	59093	2000	2000	9	5	5	chr1_hap1
r16_hap2_chr1_hap2:31465-34003	2	31465	2538	2539	10	11	10	chr1_hap2
r17_hap2_chr1_hap2:12645-14645	2	12645	2000	2000	3	5	5	chr1_hap2
r18_hap2_chr1_hap2:44828-48837	2	44828	4009	4012	17	11	8	chr1_hap2
r19_hap2_chr1_hap2:5472-7743	2	5472	2271	2271	11	7	7	chr1_hap2
r20_hap1_chr1_hap1:38470-44084	1	38470	5614	5618	20	20	16	chr1_hap1
r21_hap2_chr1_hap2:65647-70100	2	65647	4453	4453	13	16	16	chr1_hap2
r22_hap2_chr1_hap2:38034-41129	2	38034	3095	3102	12	11	4	chr1_hap2
r23_hap2_chr1_hap2:52858-55758	2	52858	2900	2903	16	16	13	chr1_hap2
r24_hap2_chr1_hap2:3714-9714	2	3714	6000	6004	23	25	21	chr1_hap2
r25_hap1_chr1_hap1:44690-50690	1	44690	6000	5990	25	13	23	chr1_hap1
r26_hap2_chr1_hap2:61025-67025	2	61025	6000	6005	16	17	12	chr1_hap2
r27_hap1_chr1_hap1:60659-63291	1	60659	2632	2634	11	8	6	chr1_hap1
r28_hap2_chr1_hap2:2303-8303	2	2303	6000	5997	27	16	19	chr1_hap2
r29_hap1_chr1_hap1:58056-64056	1	58056	6000	6008	25	13	5	chr1_hap1
r30_hap2_chr1_hap2:65855-69146	2	65855	3291	3291	13	8	8	chr1_hap2
r31_hap2_chr1_hap2:21780-27780	2	21780	6000	5992	24	13	21	chr1_hap2
r32_hap2_chr1_hap2:45974-51974	2	45974	6000	6013	26	21	8	chr1_hap2
r33_hap1_chr1_hap1:56392-58392	1	56392	2000	2004	7	11	7	chr1_hap1
r34_hap2_chr1_hap2:33520-38036	2	33520	4516	4522	24	16	10	chr1_hap2
r35_hap2_chr1_hap2:37765-39765	2	37765	2000	2000	9	5	5	chr1_hap2
r36_hap1_chr1_hap1:67024-71707	1	67024	4683	4683	15	10	10	chr1_hap1
r37_hap2_chr1_hap2:69644-73677	2	69644	4033	4037	13	12	8	chr1_hap2
r38_hap2_chr1_hap2:593-3391	2	593	2798	2799	12	7	6	chr1_hap2
r39_hap2_chr1_hap2:51384-53384	2	51384	2000	1999	9	7	8	chr1_hap2
r40_hap2_chr1_hap2:51525-53525	2	51525	2000	2006	6	11	5	chr1_hap2
r41_hap2_chr1_hap2:29268-33724	2	29268	4456	4459	22	16	13	chr1_hap2
r42_hap2_chr1_hap2:77365-79365	2	77365	2000	2000	8	11	11	chr1_hap2
r43_hap1_chr1_hap1:75981-77981	1	75981	2000	2002	5	5	3	chr1_hap1
r44_hap2_chr1_hap2:63220-68761	2	63220	5541	5538	20	14	17	chr1_hap2
r45_hap1_chr1_hap1:46214-52214	1	46214	6000	6004	20	23	19	chr1_hap1
r46_hap2_chr1_hap2:19836-22882	2	19836	3046	3049	9	13	10	chr1_hap2
r47_hap1_chr1_hap1:30110-32460	1	30110	2350	2355	8	10	5	chr1_hap1
r48_hap1_chr1_hap1:6060-11518	1	6060	5458	5457	25	12	13	chr1_hap1
r49_hap1_chr1_hap1:28014-34014	1	28014	6000	6006	28	21	15	chr1_hap1
r50_hap2_chr1_hap2:3949-8748	2	3949	4799	4802	22	19	16	chr1_hap2
r51_hap2_chr1_hap2:17531-21713	2	17531	4182	4185	15	17	14	chr1_hap2
r52_hap2_chr1_hap2:38099-44099	2	38099	6000	6006	20	19	13	chr1_hap2
r53_hap2_chr1_hap2:72328-76676	2	72328	4348	4355	16	16	9	chr1_hap2
r54_hap1_chr1_hap1:30251-34483	1	30251	4232	4226	16	10	16	chr1_hap1
r55_hap1_chr1_hap1:6232-12232	1	6232	6000	5995	18	14	19	chr1_hap1
r56_hap1_chr1_hap1:27508-32990	1	27508	5482	5489	23	22	15	chr1_hap1
r57_hap2_chr1_hap2:3704-7938	2	3704	4234	4231	14	12	15	chr1_hap2
r58_hap1_chr1_hap1:32770-35585	1	32770	2815	2814	11	8	9	chr1_hap1
r59_hap1_chr1_hap1:45237-49306	1	45237	4069	4075	11	15	9	chr1_hap1
r60_hap1_chr1_hap1:32849-38849	1	32849	6000	5998	22	22	24	chr1_hap1
r61_hap1_chr1_hap1:32129-34129	1	32129	2000	1999	7	2	3	chr1_hap1
r62_hap1_chr1_hap1:65712-71712	1	65712	6000	6004	18	19	15	chr1_hap1
r63_hap1_chr1_hap1:18348-21517	1	18348	3169	3166	15	9	12	chr1_hap1
r64_hap2_chr1_hap2:68803-74803	2	68803	6000	6003	19	18	15	chr1_hap2
r65_hap2_chr1_hap2:19802-21943	2	19802	2141	2139	3	2	4	chr1_hap2
r66_hap2_chr1_hap2:66876-72196	2	66876	5320	5322	16	15	13	chr1_hap2
r67_hap2_chr1_hap2:34887-37473	2	34887	2586	2588	12	6	4	chr1_hap2
r68_hap2_chr1_hap2:71070-74974	2	71070	3904	3906	19	13	11	chr1_hap2
r69_hap1_chr1_hap1:53130-59130	1	53130	6000	6002	25	14	12	chr1_hap1
r70_hap2_chr1_hap2:3789-9789	2	3789	6000	6005	25	23	18	chr1_hap2
r71_hap2_chr1_hap2:9142-14895	2	9142	5753	5746	16	15	22	chr1_hap2
r72_hap2_chr1_hap2:71026-74947	2	71026	3921	3927	15	17	11	chr1_hap2
r73_hap1_chr1_hap1:26394-32394	1	26394	6000	5992	24	18	26	chr1_hap1
