read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:3889-8106	2	3889	4217	4205	14	10	22	chr1_hap2
r1_hap1_chr1_hap1:26989-29165	1	26989	2176	2175	20	10	11	chr1_hap1
r2_hap1_chr1_hap1:64809-70469	1	64809	5660	5669	40	37	28	chr1_hap1
r3_hap2_chr1_hap2:90173-94385	2	90173	4212	4208	24	21	25	chr1_hap2
r4_hap1_chr1_hap1:16565-19600	1	16565	3035	3030	13	5	10	chr1_hap1
r5_hap1_chr1_hap1:70690-74518	1	70690	3828	3822	35	18	24	chr1_hap1
r6_hap2_chr1_hap2:105951-108149	2	105951	2198	2201	3	7	4	chr1_hap2
r7_hap2_chr1_hap2:100748-105917	2	100748	5169	5162	22	16	23	chr1_hap2
r8_hap1_chr1_hap1:78362-81914	1	78362	3552	3555	17	14	11	chr1_hap1
r9_hap1_chr1_hap1:66027-69896	1	66027	3869	3865	29	26	30	chr1_hap1
r10_hap1_chr1_hap1:69312-75102	1	69312	5790	5794	42	36	32	chr1_hap1
r11_hap1_chr1_hap1:54159-56558	1	54159	2399	2393	31	22	28	chr1_hap1
r12_hap2_chr1_hap2:7338-10698	2	7338	3360	3358	29	21	23	chr1_hap2
r13_hap2_chr1_hap2:48383-51449	2	48383	3066	3066	20	22	22	chr1_hap2
r14_hap2_chr1_hap2:106866-109370	2	106866	2504	2503	29	19	20	chr1_hap2
r15_hap1_chr1_hap1:46522-50024	1	46522	3502	3505	38	26	23	chr1_hap1
r16_hap1_chr1_hap1:44685-46743	1	44685	2058	2064	11	17	11	chr1_hap1
r17_hap1_chr1_hap1:70510-74591	1	70510	4081	4086	37	25	20	chr1_hap1
r18_hap1_chr1_hap1:16695-19414	1	16695	2719	2720	28	22	21	chr1_hap1
r19_hap1_chr1_hap1:41783-45217	1	41783	3434	3433	31	24	25	chr1_hap1
r20_hap1_chr1_hap1:111690-115419	1	111690	3729	3731	34	28	26	chr1_hap1
r21_hap1_chr1_hap1:47085-52211	1	47085	5126	5127	17	13	12	chr1_hap1
r22_hap2_chr1_hap2:98661-103824	2	98661	5163	5161	33	13	15	chr1_hap2
r23_hap1_chr1_hap1:47085-51691	1	47085	4606	4609	34	31	28	chr1_hap1
r24_hap1_chr1_hap1:49593-53955	1	49593	4362	4358	31	22	26	chr1_hap1
r25_hap1_chr1_hap1:55566-58918	1	55566	3352	3358	34	25	19	chr1_hap1
r26_hap2_chr1_hap2:17468-19660	2	17468	2192	2191	19	12	13	chr1_hap2
r27_hap2_chr1_hap2:8100-10877	2	8100	2777	2776	26	21	22	chr1_hap2
r28_hap2_chr1_hap2:16906-20572	2	16906	3666	3660	35	17	23	chr1_hap2
r29_hap2_chr1_hap2:41709-45325	2	41709	3616	3618	22	13	11	chr1_hap2
r30_hap2_chr1_hap2:102273-106069	2	102273	3796	3796	13	13	13	chr1_hap2
r31_hap2_chr1_hap2:50277-54977	2	50277	4700	4695	30	23	28	chr1_hap2
r32_hap1_chr1_hap1:67525-72338	1	67525	4813	4804	20	7	16	chr1_hap1
r33_hap1_chr1_hap1:79668-84695	1	79668	5027	5025	26	15	17	chr1_hap1
r34_hap1_chr1_hap1:56998-59064	1	56998	2066	2072	7	10	4	chr1_hap1
r35_hap2_chr1_hap2:4986-9519	2	4986	4533	4538	40	24	19	chr1_hap2
r36_hap2_chr1_hap2:105945-109133	2	105945	3188	3192	15	10	6	chr1_hap2
r37_hap2_chr1_hap2:10510-15506	2	10510	4996	4985	37	27	38	chr1_hap2
r38_hap1_chr1_hap1:11225-14584	1	11225	3359	3347	9	5	17	chr1_hap1
r39_hap2_chr1_hap2:21022-25737	2	21022	4715	4716	23	13	12	chr1_hap2
r40_hap2_chr1_hap2:81492-86519	2	81492	5027	5033	42	28	22	chr1_hap2
r41_hap1_chr1_hap1:69825-73176	1	69825	3351	3340	17	6	17	chr1_hap1
r42_hap2_chr1_hap2:104313-106351	2	104313	2038	2033	10	5	10	chr1_hap2
r43_hap2_chr1_hap2:99952-105821	2	99952	5869	5873	24	23	19	chr1_hap2
r44_hap2_chr1_hap2:51764-56286	2	51764	4522	4520	39	32	34	chr1_hap2
r45_hap1_chr1_hap1:55454-57695	1	55454	2241	2244	17	14	11	chr1_hap1
r46_hap2_chr1_hap2:56001-58379	2	56001	2378	2371	18	12	19	chr1_hap2
r47_hap2_chr1_hap2:56843-59477	2	56843	2634	2638	30	20	16	chr1_hap2
r48_hap2_chr1_hap2:48420-53519	2	48420	5099	5095	21	11	15	chr1_hap2
r49_hap1_chr1_hap1:115549-119932	1	115549	4383	4380	33	22	25	chr1_hap1
r50_hap2_chr1_hap2:49587-55411	2	49587	5824	5813	40	18	29	chr1_hap2
r51_hap2_chr1_hap2:106069-109032	2	106069	2963	2965	31	22	20	chr1_hap2
r52_hap2_chr1_hap2:44802-48700	2	44802	3898	3899	26	19	18	chr1_hap2
r53_hap2_chr1_hap2:36003-38214	2	36003	2211	2211	22	20	20	chr1_hap2
r54_hap2_chr1_hap2:3925-6600	2	3925	2675	2680	26	29	24	chr1_hap2
r55_hap2_chr1_hap2:13403-18607	2	13403	5204	5197	33	20	27	chr1_hap2
r56_hap1_chr1_hap1:51609-56651	1	51609	5042	5035	31	23	30	chr1_hap1
r57_hap1_chr1_hap1:48799-50838	1	48799	2039	2040	26	15	14	chr1_hap1
r58_hap2_chr1_hap2:108077-110681	2	108077	2604	2602	11	6	8	chr1_hap2
r59_hap2_chr1_hap2:17885-22438	2	17885	4553	4553	9	13	13	chr1_hap2
r60_hap1_chr1_hap1:10884-15245	1	10884	4361	4360	29	26	27	chr1_hap1
r61_hap1_chr1_hap1:40391-43183	1	40391	2792	2793	13	8	7	chr1_hap1
r62_hap1_chr1_hap1:49930-54012	1	49930	4082	4077	26	31	36	chr1_hap1
r63_hap2_chr1_hap2:88650-94018	2	88650	5368	5383	40	40	25	chr1_hap2
r64_hap1_chr1_hap1:69471-72741	1	69471	3270	3262	15	9	17	chr1_hap1
r65_hap1_chr1_hap1:12065-16136	1	12065	4071	4071	38	23	23	chr1_hap1
r66_hap1_chr1_hap1:83086-87417	1	83086	4331	4331	16	17	17	chr1_hap1
r67_hap2_chr1_hap2:37705-41885	2	37705	4180	4188	19	16	8	chr1_hap2
r68_hap2_chr1_hap2:53792-58031	2	53792	4239	4249	27	29	19	chr1_hap2
r69_hap2_chr1_hap2:53506-55958	2	53506	2452	2453	21	10	9	chr1_hap2
r70_hap2_chr1_hap2:100358-104211	2	100358	3853	3849	30	23	27	chr1_hap2
r71_hap2_chr1_hap2:50437-56021	2	50437	5584	5582	16	13	15	chr1_hap2
r72_hap1_chr1_hap1:84209-87787	1	84209	3578	3590	30	35	23	chr1_hap1
r73_hap1_chr1_hap1:39397-44836	1	39397	5439	5444	40	36	31	chr1_hap1
r74_hap1_chr1_hap1:63510-66272	1	63510	2762	2766	13	10	6	chr1_hap1
r75_hap1_chr1_hap1:65081-69596	1	65081	4515	4520	34	26	21	chr1_hap1
r76_hap1_chr1_hap1:13810-16563	1	13810	2753	2748	24	23	28	chr1_hap1
r77_hap1_chr1_hap1:64790-69006	1	64790	4216	4216	29	27	27	chr1_hap1
r78_hap2_chr1_hap2:50745-52986	2	50745	2241	2244	29	22	19	chr1_hap2
r79_hap1_chr1_hap1:48131-53767	1	48131	5636	5633	42	17	20	chr1_hap1
r80_hap2_chr1_hap2:2822-7342	2	2822	4520	4522	23	26	24	chr1_hap2
r81_hap1_chr1_hap1:66119-68998	1	66119	2879	2886	6	10	3	chr1_hap1
r82_hap1_chr1_hap1:13338-16920	1	13338	3582	3577	21	20	25	chr1_hap1
r83_hap2_chr1_hap2:18560-20754	2	18560	2194	2186	24	17	25	chr1_hap2
r84_hap2_chr1_hap2:5243-9303	2	5243	4060	4075	33	35	20	chr1_hap2
r85_hap2_chr1_hap2:24143-27291	2	24143	3148	3151	21	22	19	chr1_hap2
r86_hap2_chr1_hap2:11076-15684	2	11076	4608	4613	41	21	16	chr1_hap2
r87_hap1_chr1_hap1:44754-50519	1	44754	5765	5769	23	15	11	chr1_hap1
r88_hap1_chr1_hap1:12961-18360	1	12961	5399	5393	22	17	23	chr1_hap1
r89_hap1_chr1_hap1:115467-119910	1	115467	4443	4447	35	28	24	chr1_hap1
r90_hap1_chr1_hap1:86092-91529	1	86092	5437	5435	39	25	27	chr1_hap1
r91_hap1_chr1_hap1:66434-69454	1	66434	3020	3018	32	20	22	chr1_hap1
r92_hap1_chr1_hap1:28189-30400	1	28189	2211	2212	22	19	18	chr1_hap1
r93_hap2_chr1_hap2:26320-30015	2	26320	3695	3691	18	7	11	chr1_hap2
r94_hap2_chr1_hap2:90063-92686	2	90063	2623	2626	9	7	4	chr1_hap2
r95_hap1_chr1_hap1:82879-85973	1	82879	3094	3095	9	11	10	chr1_hap1
r96_hap2_chr1_hap2:27283-29951	2	27283	2668	2668	35	21	21	chr1_hap2
r97_hap1_chr1_hap1:70229-72877	1	70229	2648	2643	19	5	10	chr1_hap1
r98_hap1_chr1_hap1:63173-68573	1	63173	5400	5395	34	26	31	chr1_hap1
r99_hap1_chr1_hap1:104426-106897	1	104426	2471	2476	20	26	21	chr1_hap1
r100_hap2_chr1_hap2:100313-104519	2	100313	4206	4213	42	30	23	chr1_hap2
r101_hap2_chr1_hap2:82164-84252	2	82164	2088	2086	22	20	22	chr1_hap2
r102_hap2_chr1_hap2:103557-107788	2	103557	4231	4233	33	26	24	chr1_hap2
r103_hap2_chr1_hap2:19188-22077	2	19188	2889	2891	9	9	7	chr1_hap2
r104_hap1_chr1_hap1:42224-47712	1	42224	5488	5487	43	26	27	chr1_hap1
r105_hap1_chr1_hap1:22088-27390	1	22088	5302	5297	37	24	29	chr1_hap1
r106_hap1_chr1_hap1:87845-91911	1	87845	4066	4077	22	28	17	chr1_hap1
r107_hap1_chr1_hap1:112543-116344	1	112543	3801	3796	17	28	33	chr1_hap1
r108_hap2_chr1_hap2:2283-7110	2	2283	4827	4826	16	12	13	chr1_hap2
r109_hap1_chr1_hap1:66398-71926	1	66398	5528	5534	18	16	10	chr1_hap1
r110_hap2_chr1_hap2:103784-109281	2	103784	5497	5499	27	26	24	chr1_hap2
r111_hap2_chr1_hap2:68251-70564	2	68251	2313	2319	19	24	18	chr1_hap2
r112_hap1_chr1_hap1:43979-46308	1	43979	2329	2329	20	13	13	chr1_hap1
r113_hap2_chr1_hap2:53820-56672	2	53820	2852	2865	26	30	17	chr1_hap2
r114_hap2_chr1_hap2:14876-18227	2	14876	3351	3343	12	3	11	chr1_hap2
r115_hap1_chr1_hap1:87834-91396	1	87834	3562	3561	8	13	14	chr1_hap1
r116_hap2_chr1_hap2:13422-17638	2	13422	4216	4214	12	15	17	chr1_hap2
r117_hap2_chr1_hap2:11683-16084	2	11683	4401	4402	28	28	27	chr1_hap2
r118_hap1_chr1_hap1:71565-74099	1	71565	2534	2536	14	9	7	chr1_hap1
r119_hap1_chr1_hap1:97924-100938	1	97924	3014	3013	10	11	12	chr1_hap1
r120_hap2_chr1_hap2:100770-104115	2	100770	3345	3344	12	11	12	chr1_hap2
r121_hap2_chr1_hap2:25806-28141	2	25806	2335	2335	35	20	20	chr1_hap2
r122_hap2_chr1_hap2:104231-107462	2	104231	3231	3231	17	15	15	chr1_hap2
r123_hap2_chr1_hap2:37808-41292	2	37808	3484	3481	15	8	11	chr1_hap2
r124_hap2_chr1_hap2:27681-32915	2	27681	5234	5226	21	13	21	chr1_hap2
r125_hap1_chr1_hap1:88107-90983	1	88107	2876	2880	27	23	19	chr1_hap1
r126_hap1_chr1_hap1:83141-89077	1	83141	5936	5939	20	18	15	chr1_hap1
r127_hap2_chr1_hap2:105147-108429	2	105147	3282	3282	15	10	10	chr1_hap2
r128_hap1_chr1_hap1:85070-88327	1	85070	3257	3252	26	22	27	chr1_hap1
r129_hap2_chr1_hap2:8001-12405	2	8001	4404	4399	26	24	29	chr1_hap2
r130_hap2_chr1_hap2:48956-51366	2	48956	2410	2415	26	22	17	chr1_hap2
r131_hap2_chr1_hap2:37402-41416	2	37402	4014	4015	31	30	29	chr1_hap2
r132_hap1_chr1_hap1:88291-90993	1	88291	2702	2706	5	11	7	chr1_hap1
r133_hap1_chr1_hap1:83871-89652	1	83871	5781	5777	50	30	34	chr1_hap1
r134_hap1_chr1_hap1:24774-26851	1	24774	2077	2072	7	4	9	chr1_hap1
r135_hap1_chr1_hap1:113140-115440	1	113140	2300	2298	21	13	15	chr1_hap1
r136_hap2_chr1_hap2:101483-107377	2	101483	5894	5903	18	25	16	chr1_hap2
r137_hap2_chr1_hap2:107998-110949	2	107998	2951	2949	21	21	23	chr1_hap2
r138_hap2_chr1_hap2:11369-16366	2	11369	4997	4991	35	28	34	chr1_hap2
r139_hap1_chr1_hap1:64455-67783	1	64455	3328	3339	39	34	23	chr1_hap1
r140_hap1_chr1_hap1:52271-55110	1	52271	2839	2843	10	9	5	chr1_hap1
r141_hap1_chr1_hap1:71739-74094	1	71739	2355	2356	24	18	17	chr1_hap1
r142_hap2_chr1_hap2:50198-53187	2	50198	2989	2994	31	23	18	chr1_hap2
r143_hap1_chr1_hap1:114473-118703	1	114473	4230	4223	33	16	23	chr1_hap1
r144_hap2_chr1_hap2:1747-5057	2	1747	3310	3319	40	35	26	chr1_hap2
r145_hap1_chr1_hap1:62521-64755	1	62521	2234	2229	20	13	18	chr1_hap1
r146_hap2_chr1_hap2:15437-18146	2	15437	2709	2704	27	18	23	chr1_hap2
r147_hap2_chr1_hap2:105057-107521	2	105057	2464	2453	26	20	31	chr1_hap2
r148_hap1_chr1_hap1:40746-44057	1	40746	3311	3312	25	19	18	chr1_hap1
r149_hap2_chr1_hap2:3150-6935	2	3150	3785	3783	27	26	28	chr1_hap2
r150_hap1_chr1_hap1:82602-87916	1	82602	5314	5312	20	12	14	chr1_hap1
r151_hap1_chr1_hap1:104337-106459	1	104337	2122	2120	5	5	7	chr1_hap1
r152_hap1_chr1_hap1:46955-51329	1	46955	4374	4376	12	18	16	chr1_hap1
r153_hap1_chr1_hap1:23796-26996	1	23796	3200	3197	15	4	7	chr1_hap1
r154_hap2_chr1_hap2:46833-49838	2	46833	3005	3003	33	18	20	chr1_hap2
r155_hap2_chr1_hap2:20484-24738	2	20484	4254	4255	38	28	27	chr1_hap2
r156_hap2_chr1_hap2:98765-101507	2	98765	2742	2745	11	10	7	chr1_hap2
r157_hap1_chr1_hap1:111157-113883	1	111157	2726	2720	9	6	12	chr1_hap1
