read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap1_chr1_hap1:29708-32205	1	29708	2497	2498	10	5	4	chr1_hap1
r1_hap2_chr1_hap2:70290-75562	2	70290	5272	5277	17	18	13	chr1_hap2
r2_hap2_chr1_hap2:52824-58343	2	52824	5519	5519	28	19	19	chr1_hap2
r3_hap1_chr1_hap1:13470-18383	1	13470	4913	4915	20	13	11	chr1_hap1
r4_hap2_chr1_hap2:72977-78043	2	72977	5066	5060	27	15	21	chr1_hap2
r5_hap1_chr1_hap1:48877-54534	1	48877	5657	5661	22	19	15	chr1_hap1
r6_hap2_chr1_hap2:7980-13787	2	7980	5807	5806	27	17	18	chr1_hap2
r7_hap1_chr1_hap1:46216-51500	1	46216	5284	5288	19	20	16	chr1_hap1
r8_hap2_chr1_hap2:70887-76525	2	70887	5638	5643	24	18	13	chr1_hap2
r9_hap2_chr1_hap2:10117-13248	2	10117	3131	3129	13	6	8	chr1_hap2
r10_hap2_chr1_hap2:13900-19852	2	13900	5952	5947	21	16	21	chr1_hap2
r11_hap1_chr1_hap1:6253-10761	1	6253	4508	4511	16	12	9	chr1_hap1
r12_hap1_chr1_hap1:50860-53106	1	50860	2246	2245	10	6	7	chr1_hap1
r13_hap1_chr1_hap1:76852-78867	1	76852	2015	2015	10	5	5	chr1_hap1
r14_hap1_chr1_hap1:43538-48646	1	43538	5108	5099	19	5	14	chr1_hap1
r15_hap1_chr1_hap1:51360-54837	1	51360	3477	3479	18	7	5	chr1_hap1
r16_hap2_chr1_hap2:14370-19140	2	14370	4770	4776	19	15	9	chr1_hap2
r17_hap2_chr1_hap2:70405-75441	2	70405	5036	5046	17	20	10	chr1_hap2
r18_hap1_chr1_hap1:8107-10546	1	8107	2439	2449	16	18	8	chr1_hap1
r19_hap1_chr1_hap1:50118-55096	1	50118	4978	4974	18	12	16	chr1_hap1
r20_hap2_chr1_hap2:70452-76100	2	70452	5648	5645	21	10	13	chr1_hap2
r21_hap2_chr1_hap2:70652-75898	2	70652	5246	5251	26	18	13	chr1_hap2
r22_hap1_chr1_hap1:5516-10713	1	5516	5197	5192	18	21	26	chr1_hap1
r23_hap2_chr1_hap2:71716-75542	2	71716	3826	3827	17	10	9	chr1_hap2
r24_hap2_chr1_hap2:45079-49917	2	45079	4838	4833	23	14	19	chr1_hap2
r25_hap2_chr1_hap2:14394-18517	2	14394	4123	4120	19	11	14	chr1_hap2
r26_hap1_chr1_hap1:61589-63665	1	61589	2076	2082	6	10	4	chr1_hap1
r27_hap2_chr1_hap2:71453-75039	2	71453	3586	3588	12	14	12	chr1_hap2
r28_hap1_chr1_hap1:76470-79271	1	76470	2801	2806	15	12	7	chr1_hap1
r29_hap1_chr1_hap1:13755-16097	1	13755	2342	2341	9	7	8	chr1_hap1
r30_hap1_chr1_hap1:44982-49281	1	44982	4299	4305	15	16	10	chr1_hap1
r31_hap2_chr1_hap2:21931-25881	2	21931	3950	3942	14	10	18	chr1_hap2
r32_hap2_chr1_hap2:71360-74605	2	71360	3245	3240	7	11	16	chr1_hap2
r33_hap1_chr1_hap1:7417-10748	1	7417	3331	3331	7	8	8	chr1_hap1
r34_hap1_chr1_hap1:48320-54306	1	48320	5986	5982	24	23	27	chr1_hap1
r35_hap1_chr1_hap1:27321-30447	1	27321	3126	3123	16	9	12	chr1_hap1
r36_hap1_chr1_hap1:45646-49719	1	45646	4073	4074	15	10	9	chr1_hap1
r37_hap2_chr1_hap2:11294-15382	2	11294	4088	4078	14	8	18	chr1_hap2
r38_hap2_chr1_hap2:15028-19337	2	15028	4309	4317	23	24	16	chr1_hap2
r39_hap2_chr1_hap2:37042-39557	2	37042	2515	2517	7	5	3	chr1_hap2
r40_hap2_chr1_hap2:76895-79644	2	76895	2749	2747	15	3	5	chr1_hap2
r41_hap2_chr1_hap2:74221-77745	2	74221	3524	3517	16	9	16	chr1_hap2
r42_hap2_chr1_hap2:45981-48295	2	45981	2314	2306	6	6	14	chr1_hap2
r43_hap2_chr1_hap2:29776-31967	2	29776	2191	2189	7	7	9	chr1_hap2
r44_hap2_chr1_hap2:14193-19524	2	14193	5331	5334	11	17	14	chr1_hap2
r45_hap1_chr1_hap1:55283-57400	1	55283	2117	2119	6	8	6	chr1_hap1
r46_hap2_chr1_hap2:45037-50717	2	45037	5680	5684	23	21	17	chr1_hap2
r47_hap2_chr1_hap2:11556-17454	2	11556	5898	5890	22	13	21	chr1_hap2
r48_hap2_chr1_hap2:14592-18459	2	14592	3867	3861	22	10	16	chr1_hap2
r49_hap1_chr1_hap1:30562-32618	1	30562	2056	2060	5	8	4	chr1_hap1
r50_hap1_chr1_hap1:14437-18770	1	14437	4333	4330	28	10	13	chr1_hap1
r51_hap2_chr1_hap2:52930-57872	2	52930	4942	4942	22	12	12	chr1_hap2
r52_hap1_chr1_hap1:13284-16059	1	13284	2775	2784	9	17	8	chr1_hap1
r53_hap1_chr1_hap1:16888-19108	1	16888	2220	2227	6	10	3	chr1_hap1
r54_hap1_chr1_hap1:45584-51363	1	45584	5779	5780	22	21	20	chr1_hap1
r55_hap2_chr1_hap2:45772-47927	2	45772	2155	2154	9	6	7	chr1_hap2
r56_hap2_chr1_hap2:29607-32018	2	29607	2411	2415	15	10	6	chr1_hap2
r57_hap1_chr1_hap1:15273-19081	1	15273	3808	3804	16	7	11	chr1_hap1
r58_hap2_chr1_hap2:77762-79990	2	77762	2228	2224	6	4	8	chr1_hap2
r59_hap2_chr1_hap2:12516-16499	2	12516	3983	3980	10	13	16	chr1_hap2
r60_hap2_chr1_hap2:75921-78363	2	75921	2442	2444	4	6	4	chr1_hap2
r61_hap2_chr1_hap2:69833-74315	2	69833	4482	4481	15	11	12	chr1_hap2
r62_hap2_chr1_hap2:12835-17399	2	12835	4564	4561	16	11	14	chr1_hap2
r63_hap1_chr1_hap1:50592-54064	1	50592	3472	3474	12	13	11	chr1_hap1
r64_hap1_chr1_hap1:5721-10001	1	5721	4280	4276	13	14	18	chr1_hap1
r65_hap2_chr1_hap2:8157-13642	2	8157	5485	5478	26	13	20	chr1_hap2
r66_hap1_chr1_hap1:56948-59483	1	56948	2535	2538	10	9	6	chr1_hap1
r67_hap2_chr1_hap2:74953-79011	2	74953	4058	4056	28	12	14	chr1_hap2
r68_hap1_chr1_hap1:46138-49421	1	46138	3283	3284	13	11	10	chr1_hap1
r69_hap2_chr1_hap2:75178-78551	2	75178	3373	3371	13	11	13	chr1_hap2
r70_hap2_chr1_hap2:8589-11669	2	8589	3080	3081	8	13	12	chr1_hap2
r71_hap1_chr1_hap1:42324-47690	1	42324	5366	5368	17	17	15	chr1_hap1
r72_hap1_chr1_hap1:52075-58046	1	52075	5971	5983	21	26	14	chr1_hap1
r73_hap1_chr1_hap1:43538-48734	1	43538	5196	5192	24	19	23	chr1_hap1
