read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:71265-76286	2	71265	5021	5021	21	12	12	chr1_hap2
r1_hap1_chr1_hap1:56287-61926	1	56287	5639	5640	28	17	16	chr1_hap1
r2_hap1_chr1_hap1:21273-25392	1	21273	4119	4120	22	13	12	chr1_hap1
r3_hap1_chr1_hap1:58501-62415	1	58501	3914	3911	14	10	13	chr1_hap1
r4_hap2_chr1_hap2:25018-28298	2	25018	3280	3279	14	9	10	chr1_hap2
r5_hap2_chr1_hap2:11749-15338	2	11749	3589	3592	16	12	9	chr1_hap2
r6_hap2_chr1_hap2:661-2710	2	661	2049	2049	10	8	8	chr1_hap2
r7_hap1_chr1_hap1:47488-52640	1	47488	5152	5159	20	21	14	chr1_hap1
r8_hap2_chr1_hap2:69725-74622	2	69725	4897	4899	20	13	11	chr1_hap2
r9_hap1_chr1_hap1:39985-43569	1	39985	3584	3584	10	15	15	chr1_hap1
r10_hap1_chr1_hap1:74175-79592	1	74175	5417	5419	24	15	13	chr1_hap1
r11_hap1_chr1_hap1:42852-45641	1	42852	2789	2788	13	7	8	chr1_hap1
r12_hap2_chr1_hap2:10621-13112	2	10621	2491	2494	9	9	6	chr1_hap2
r13_hap2_chr1_hap2:25997-30337	2	25997	4340	4333	16	10	17	chr1_hap2
r14_hap1_chr1_hap1:38647-41658	1	38647	3011	3020	8	10	1	chr1_hap1
r15_hap1_chr1_hap1:5068-7466	1	5068	2398	2398	6	7	7	chr1_hap1
r16_hap1_chr1_hap1:40578-43227	1	40578	2649	2645	11	5	9	chr1_hap1
r17_hap1_chr1_hap1:41080-43688	1	41080	2608	2608	7	3	3	chr1_hap1
r18_hap1_chr1_hap1:6753-8785	1	6753	2032	2027	7	4	9	chr1_hap1
r19_hap2_chr1_hap2:75574-77972	2	75574	2398	2397	12	3	4	chr1_hap2
r20_hap1_chr1_hap1:68209-74054	1	68209	5845	5852	23	18	11	chr1_hap1
r21_hap2_chr1_hap2:30950-36647	2	30950	5697	5702	20	21	16	chr1_hap2
r22_hap2_chr1_hap2:41606-45730	2	41606	4124	4133	16	18	9	chr1_hap2
r23_hap1_chr1_hap1:61532-64255	1	61532	2723	2719	9	8	12	chr1_hap1
r24_hap2_chr1_hap2:50242-53465	2	50242	3223	3225	18	8	6	chr1_hap2
r25_hap2_chr1_hap2:29790-34117	2	29790	4327	4331	20	13	9	chr1_hap2
r26_hap2_chr1_hap2:71489-76740	2	71489	5251	5255	21	21	17	chr1_hap2
r27_hap2_chr1_hap2:41063-47042	2	41063	5979	5977	20	21	23	chr1_hap2
r28_hap2_chr1_hap2:20042-24423	2	20042	4381	4376	26	11	16	chr1_hap2
r29_hap2_chr1_hap2:46543-50391	2	46543	3848	3846	10	12	14	chr1_hap2
r30_hap1_chr1_hap1:60808-64640	1	60808	3832	3833	20	14	13	chr1_hap1
r31_hap2_chr1_hap2:63905-68507	2	63905	4602	4606	22	18	14	chr1_hap2
r32_hap2_chr1_hap2:28539-34136	2	28539	5597	5596	22	16	17	chr1_hap2
r33_hap1_chr1_hap1:12937-18845	1	12937	5908	5906	19	20	22	chr1_hap1
r34_hap1_chr1_hap1:31484-36515	1	31484	5031	5026	15	15	20	chr1_hap1
r35_hap1_chr1_hap1:30413-32795	1	30413	2382	2379	4	5	8	chr1_hap1
r36_hap2_chr1_hap2:10688-15080	2	10688	4392	4393	15	21	20	chr1_hap2
r37_hap1_chr1_hap1:15066-19821	1	15066	4755	4763	28	19	11	chr1_hap1
r38_hap2_chr1_hap2:44230-49470	2	44230	5240	5236	18	12	16	chr1_hap2
r39_hap1_chr1_hap1:25092-30880	1	25092	5788	5794	23	27	21	chr1_hap1
r40_hap2_chr1_hap2:23042-28875	2	23042	5833	5830	28	8	11	chr1_hap2
r41_hap1_chr1_hap1:36949-39987	1	36949	3038	3037	14	8	9	chr1_hap1
r42_hap1_chr1_hap1:34411-39318	1	34411	4907	4899	20	13	21	chr1_hap1
r43_hap2_chr1_hap2:26912-32423	2	26912	5511	5515	14	20	16	chr1_hap2
r44_hap1_chr1_hap1:40063-42858	1	40063	2795	2799	5	13	9	chr1_hap1
r45_hap2_chr1_hap2:21181-24690	2	21181	3509	3510	10	14	13	chr1_hap2
r46_hap2_chr1_hap2:11491-17013	2	11491	5522	5519	19	13	16	chr1_hap2
r47_hap2_chr1_hap2:18387-21849	2	18387	3462	3457	17	10	15	chr1_hap2
r48_hap2_chr1_hap2:64347-69194	2	64347	4847	4846	17	13	14	chr1_hap2
r49_hap1_chr1_hap1:63874-69772	1	63874	5898	5897	39	11	12	chr1_hap1
r50_hap1_chr1_hap1:66171-71219	1	66171	5048	5056	19	21	13	chr1_hap1
r51_hap1_chr1_hap1:54573-58301	1	54573	3728	3740	10	18	6	chr1_hap1
r52_hap1_chr1_hap1:16240-22096	1	16240	5856	5853	21	20	23	chr1_hap1
r53_hap1_chr1_hap1:31988-36099	1	31988	4111	4115	25	14	10	chr1_hap1
r54_hap1_chr1_hap1:29623-32565	1	29623	2942	2936	11	4	10	chr1_hap1
r55_hap2_chr1_hap2:9766-14357	2	9766	4591	4582	13	8	17	chr1_hap2
r56_hap1_chr1_hap1:62189-67468	1	62189	5279	5280	15	15	14	chr1_hap1
r57_hap1_chr1_hap1:33445-35737	1	33445	2292	2292	10	8	8	chr1_hap1
r58_hap1_chr1_hap1:46624-51078	1	46624	4454	4442	13	5	17	chr1_hap1
r59_hap2_chr1_hap2:60748-63897	2	60748	3149	3153	11	14	10	chr1_hap2
r60_hap1_chr1_hap1:60459-64683	1	60459	4224	4225	15	14	13	chr1_hap1
r61_hap2_chr1_hap2:1572-7514	2	1572	5942	5933	27	13	22	chr1_hap2
r62_hap2_chr1_hap2:6460-12066	2	6460	5606	5605	30	18	19	chr1_hap2
r63_hap1_chr1_hap1:37751-40061	1	37751	2310	2311	13	7	6	chr1_hap1
r64_hap2_chr1_hap2:51266-54480	2	51266	3214	3217	13	13	10	chr1_hap2
r65_hap2_chr1_hap2:50112-53510	2	50112	3398	3396	14	11	13	chr1_hap2
r66_hap1_chr1_hap1:33357-38437	1	33357	5080	5083	18	20	17	chr1_hap1
r67_hap1_chr1_hap1:66170-69358	1	66170	3188	3185	8	9	12	chr1_hap1
r68_hap2_chr1_hap2:53597-56181	2	53597	2584	2596	7	15	3	chr1_hap2
r69_hap1_chr1_hap1:39892-44679	1	39892	4787	4788	20	17	16	chr1_hap1
r70_hap1_chr1_hap1:72235-74733	1	72235	2498	2494	10	6	10	chr1_hap1
r71_hap1_chr1_hap1:62079-66100	1	62079	4021	4023	15	17	15	chr1_hap1
r72_hap1_chr1_hap1:8689-13384	1	8689	4695	4704	31	18	9	chr1_hap1
r73_hap1_chr1_hap1:13285-16840	1	13285	3555	3560	18	14	9	chr1_hap1
r74_hap1_chr1_hap1:32174-36411	1	32174	4237	4245	18	14	6	chr1_hap1
r75_hap2_chr1_hap2:67835-70797	2	67835	2962	2965	10	8	5	chr1_hap2
r76_hap1_chr1_hap1:4702-10088	1	4702	5386	5386	16	17	17	chr1_hap1
r77_hap2_chr1_hap2:39671-43456	2	39671	3785	3789	15	14	10	chr1_hap2
r78_hap2_chr1_hap2:8435-11992	2	8435	3557	3565	16	17	9	chr1_hap2
r79_hap1_chr1_hap1:9157-11519	1	9157	2362	2357	13	2	7	chr1_hap1
r80_hap1_chr1_hap1:18337-21965	1	18337	3628	3626	13	13	15	chr1_hap1
r81_hap1_chr1_hap1:56368-61366	1	56368	4998	4999	17	14	13	chr1_hap1
r82_hap1_chr1_hap1:43693-46938	1	43693	3245	3240	9	8	13	chr1_hap1
r83_hap1_chr1_hap1:72378-75192	1	72378	2814	2813	15	7	8	chr1_hap1
r84_hap1_chr1_hap1:41178-44817	1	41178	3639	3648	10	13	4	chr1_hap1
r85_hap1_chr1_hap1:61845-64150	1	61845	2305	2305	12	9	9	chr1_hap1
r86_hap2_chr1_hap2:60669-62992	2	60669	2323	2321	14	9	11	chr1_hap2
r87_hap1_chr1_hap1:54451-58059	1	54451	3608	3609	8	13	12	chr1_hap1
r88_hap1_chr1_hap1:17408-22543	1	17408	5135	5132	24	15	18	chr1_hap1
r89_hap1_chr1_hap1:70006-73260	1	70006	3254	3255	9	15	14	chr1_hap1
r90_hap2_chr1_hap2:3687-7289	2	3687	3602	3600	19	14	16	chr1_hap2
r91_hap1_chr1_hap1:66589-70207	1	66589	3618	3618	16	12	12	chr1_hap1
r92_hap2_chr1_hap2:6716-12347	2	6716	5631	5639	29	24	16	chr1_hap2
r93_hap2_chr1_hap2:4439-6956	2	4439	2517	2515	6	6	8	chr1_hap2
r94_hap2_chr1_hap2:53787-56532	2	53787	2745	2746	13	7	6	chr1_hap2
r95_hap1_chr1_hap1:57134-59643	1	57134	2509	2512	6	10	7	chr1_hap1
r96_hap1_chr1_hap1:64191-69489	1	64191	5298	5307	28	26	17	chr1_hap1
r97_hap1_chr1_hap1:6486-10201	1	6486	3715	3718	15	11	8	chr1_hap1
r98_hap1_chr1_hap1:23387-28342	1	23387	4955	4961	18	19	13	chr1_hap1
r99_hap1_chr1_hap1:71552-74505	1	71552	2953	2951	15	9	11	chr1_hap1
r100_hap2_chr1_hap2:21506-23982	2	21506	2476	2474	11	12	14	chr1_hap2
r101_hap1_chr1_hap1:43323-47440	1	43323	4117	4118	23	7	6	chr1_hap1
r102_hap2_chr1_hap2:3774-8806	2	3774	5032	5041	15	18	9	chr1_hap2
r103_hap2_chr1_hap2:23881-26580	2	23881	2699	2700	10	6	5	chr1_hap2
r104_hap2_chr1_hap2:44556-47960	2	44556	3404	3403	17	9	10	chr1_hap2
r105_hap2_chr1_hap2:64558-70269	2	64558	5711	5708	25	15	18	chr1_hap2
r106_hap1_chr1_hap1:63104-66872	1	63104	3768	3772	15	19	15	chr1_hap1
r107_hap2_chr1_hap2:40398-46192	2	40398	5794	5796	18	18	16	chr1_hap2
r108_hap2_chr1_hap2:20868-25941	2	20868	5073	5075	16	19	17	chr1_hap2
r109_hap2_chr1_hap2:25716-28455	2	25716	2739	2740	4	7	6	chr1_hap2
r110_hap1_chr1_hap1:41173-43317	1	41173	2144	2148	9	8	4	chr1_hap1
r111_hap2_chr1_hap2:4920-7079	2	4920	2159	2157	5	2	4	chr1_hap2
r112_hap2_chr1_hap2:69340-74135	2	69340	4795	4797	20	11	9	chr1_hap2
r113_hap2_chr1_hap2:57941-63355	2	57941	5414	5428	22	24	10	chr1_hap2
r114_hap1_chr1_hap1:4906-8979	1	4906	4073	4071	10	12	14	chr1_hap1
r115_hap2_chr1_hap2:59033-62319	2	59033	3286	3283	12	6	9	chr1_hap2
r116_hap1_chr1_hap1:26012-30451	1	26012	4439	4445	13	16	10	chr1_hap1
r117_hap1_chr1_hap1:59541-65377	1	59541	5836	5836	16	18	18	chr1_hap1
r118_hap1_chr1_hap1:71000-76648	1	71000	5648	5649	24	20	19	chr1_hap1
r119_hap2_chr1_hap2:67460-70425	2	67460	2965	2965	13	11	11	chr1_hap2
r120_hap1_chr1_hap1:12168-14623	1	12168	2455	2454	18	6	7	chr1_hap1
r121_hap2_chr1_hap2:24669-28621	2	24669	3952	3953	17	13	12	chr1_hap2
r122_hap2_chr1_hap2:36602-39795	2	36602	3193	3195	16	13	11	chr1_hap2
r123_hap2_chr1_hap2:55985-60807	2	55985	4822	4834	20	22	10	chr1_hap2
r124_hap2_chr1_hap2:66189-69323	2	66189	3134	3140	13	16	10	chr1_hap2
r125_hap2_chr1_hap2:73529-77095	2	73529	3566	3569	6	10	7	chr1_hap2
r126_hap1_chr1_hap1:38693-43602	1	38693	4909	4907	11	10	12	chr1_hap1
r127_hap1_chr1_hap1:44337-48749	1	44337	4412	4410	21	16	18	chr1_hap1
r128_hap2_chr1_hap2:50176-52441	2	50176	2265	2267	12	7	5	chr1_hap2
r129_hap2_chr1_hap2:10568-14692	2	10568	4124	4129	17	15	10	chr1_hap2
r130_hap1_chr1_hap1:134-2512	1	134	2378	2379	5	7	6	chr1_hap1
r131_hap2_chr1_hap2:6198-11996	2	6198	5798	5802	26	19	15	chr1_hap2
r132_hap1_chr1_hap1:37581-42275	1	37581	4694	4693	13	16	17	chr1_hap1
r133_hap2_chr1_hap2:8503-12928	2	8503	4425	4439	21	23	9	chr1_hap2
r134_hap2_chr1_hap2:76111-79044	2	76111	2933	2939	10	11	5	chr1_hap2
r135_hap1_chr1_hap1:36659-41928	1	36659	5269	5273	15	21	17	chr1_hap1
r136_hap1_chr1_hap1:37253-39899	1	37253	2646	2643	9	3	6	chr1_hap1
r137_hap1_chr1_hap1:72648-76201	1	72648	3553	3558	11	16	11	chr1_hap1
r138_hap1_chr1_hap1:49001-51361	1	49001	2360	2359	11	5	6	chr1_hap1
r139_hap1_chr1_hap1:1163-6353	1	1163	5190	5198	16	19	11	chr1_hap1
r140_hap1_chr1_hap1:31482-34148	1	31482	2666	2664	9	4	6	chr1_hap1
r141_hap2_chr1_hap2:15589-21226	2	15589	5637	5637	19	19	19	chr1_hap2
r142_hap2_chr1_hap2:49411-55180	2	49411	5769	5766	31	15	18	chr1_hap2
r143_hap2_chr1_hap2:52436-57735	2	52436	5299	5301	23	20	18	chr1_hap2
