read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap1:23482-27199	2	23482	3717	3714	15	12	15	chr1_hap1
r1_hap2_chr1_hap1:49359-55172	2	49359	5813	5814	33	16	15	chr1_hap1
r2_hap1_chr1_hap1:66789-72789	1	66789	6000	5995	17	14	19	chr1_hap1
r3_hap2_chr1_hap1:69903-74481	2	69903	4578	4572	21	6	12	chr1_hap1
r4_hap1_chr1_hap1:19609-25609	1	19609	6000	6007	11	18	11	chr1_hap1
r5_hap1_chr1_hap1:74504-79822	1	74504	5318	5312	28	15	21	chr1_hap1
r6_hap1_chr1_hap1:75907-78965	1	75907	3058	3061	17	16	13	chr1_hap1
r7_hap1_chr1_hap1:72431-75941	1	72431	3510	3512	16	13	11	chr1_hap1
r8_hap2_chr1_hap1:70399-76399	2	70399	6000	6001	29	23	22	chr1_hap1
r9_hap2_chr1_hap1:30972-32987	2	30972	2015	2013	7	8	10	chr1_hap1
r10_hap1_chr1_hap1:73321-77750	1	73321	4429	4428	15	12	13	chr1_hap1
r11_hap1_chr1_hap1:41152-46759	1	41152	5607	5612	21	19	14	chr1_hap1
r12_hap2_chr1_hap1:74487-76950	2	74487	2463	2466	11	12	9	chr1_hap1
r13_hap2_chr1_hap1:23128-29128	2	23128	6000	6000	16	13	13	chr1_hap1
r14_hap1_chr1_hap1:6382-8382	1	6382	2000	2000	12	6	6	chr1_hap1
r15_hap2_chr1_hap1:24380-28059	2	24380	3679	3681	21	20	18	chr1_hap1
r16_hap1_chr1_hap1:29828-33948	1	29828	4120	4122	18	17	15	chr1_hap1
r17_hap1_chr1_hap1:60420-63088	1	60420	2668	2667	9	7	8	chr1_hap1
r18_hap1_chr1_hap1:74568-76568	1	74568	2000	2001	7	7	6	chr1_hap1
r19_hap2_chr1_hap1:54522-56522	2	54522	2000	2000	4	3	3	chr1_hap1
r20_hap2_chr1_hap1:10513-14280	2	10513	3767	3761	28	7	13	chr1_hap1
r21_hap1_chr1_hap1:66119-71209	1	66119	5090	5088	18	19	21	chr1_hap1
r22_hap2_chr1_hap1:24704-27733	2	24704	3029	3029	9	9	9	chr1_hap1
r23_hap2_chr1_hap1:40142-42142	2	40142	2000	2001	8	4	3	chr1_hap1
r24_hap2_chr1_hap1:67337-69337	2	67337	2000	2003	10	6	3	chr1_hap1
r25_hap2_chr1_hap1:818-4061	2	818	3243	3241	17	6	8	chr1_hap1
r26_hap1_chr1_hap1:4872-10116	1	4872	5244	5237	24	14	21	chr1_hap1
r27_hap1_chr1_hap1:45645-51645	1	45645	6000	6002	28	20	18	chr1_hap1
r28_hap2_chr1_hap1:67933-73933	2	67933	6000	6001	25	16	15	chr1_hap1
r29_hap1_chr1_hap1:51603-55028	1	51603	3425	3418	11	4	11	chr1_hap1
r30_hap1_chr1_hap1:2418-5702	1	2418	3284	3282	18	8	10	chr1_hap1
r31_hap1_chr1_hap1:60400-66400	1	60400	6000	6010	26	25	15	chr1_hap1
r32_hap1_chr1_hap1:44222-49431	1	44222	5209	5205	21	15	19	chr1_hap1
r33_hap1_chr1_hap1:35445-39808	1	35445	4363	4363	18	16	16	chr1_hap1
r34_hap1_chr1_hap1:8627-12189	1	8627	3562	3558	18	11	15	chr1_hap1
r35_hap1_chr1_hap1:45265-51265	1	45265	6000	5998	17	16	18	chr1_hap1
r36_hap2_chr1_hap1:30948-36948	2	30948	6000	5997	30	17	20	chr1_hap1
r37_hap1_chr1_hap1:70527-74854	1	70527	4327	4312	19	6	21	chr1_hap1
r38_hap2_chr1_hap1:55434-57722	2	55434	2288	2290	7	12	10	chr1_hap1
r39_hap1_chr1_hap1:34432-37562	1	34432	3130	3133	13	13	10	chr1_hap1
r40_hap2_chr1_hap1:31655-35413	2	31655	3758	3756	10	12	14	chr1_hap1
r41_hap2_chr1_hap1:63169-66622	2	63169	3453	3455	15	14	12	chr1_hap1
r42_hap1_chr1_hap1:38195-42199	1	38195	4004	4005	20	12	11	chr1_hap1
r43_hap2_chr1_hap1:67261-73261	2	67261	6000	5989	19	13	24	chr1_hap1
r44_hap1_chr1_hap1:59900-65900	1	59900	6000	5996	20	14	18	chr1_hap1
r45_hap2_chr1_hap1:53839-55839	2	53839	2000	1997	7	4	7	chr1_hap1
r46_hap1_chr1_hap1:43441-45915	1	43441	2474	2470	8	3	7	chr1_hap1
r47_hap2_chr1_hap1:76404-79827	2	76404	3423	3419	20	7	11	chr1_hap1
r48_hap1_chr1_hap1:69649-73761	1	69649	4112	4119	10	12	5	chr1_hap1
r49_hap2_chr1_hap1:47327-50982	2	47327	3655	3658	8	13	10	chr1_hap1
r50_hap2_chr1_hap1:30087-32647	2	30087	2560	2553	13	6	13	chr1_hap1
r51_hap2_chr1_hap1:33188-35188	2	33188	2000	2001	7	4	3	chr1_hap1
r52_hap2_chr1_hap1:53069-57262	2	53069	4193	4190	17	9	12	chr1_hap1
r53_hap1_chr1_hap1:35798-41798	1	35798	6000	5994	14	19	25	chr1_hap1
r54_hap1_chr1_hap1:72572-76736	1	72572	4164	4160	14	11	15	chr1_hap1
r55_hap2_chr1_hap1:1483-3483	2	1483	2000	2004	3	6	2	chr1_hap1
r56_hap2_chr1_hap1:23529-25960	2	23529	2431	2432	7	9	8	chr1_hap1
r57_hap1_chr1_hap1:31114-35199	1	31114	4085	4092	13	16	9	chr1_hap1
r58_hap2_chr1_hap1:51711-57711	2	51711	6000	5997	20	13	16	chr1_hap1
r59_hap1_chr1_hap1:14117-16505	1	14117	2388	2390	10	7	5	chr1_hap1
r60_hap2_chr1_hap1:31038-34512	2	31038	3474	3476	12	15	13	chr1_hap1
r61_hap2_chr1_hap1:23721-29721	2	23721	6000	5996	33	15	19	chr1_hap1
r62_hap1_chr1_hap1:43804-48633	1	43804	4829	4834	21	20	15	chr1_hap1
r63_hap2_chr1_hap1:7082-9082	2	7082	2000	2006	7	9	3	chr1_hap1
r64_hap2_chr1_hap1:19726-22728	2	19726	3002	3008	10	13	7	chr1_hap1
r65_hap1_chr1_hap1:24755-27262	1	24755	2507	2510	9	6	3	chr1_hap1
r66_hap2_chr1_hap1:5547-7547	2	5547	2000	1997	8	3	6	chr1_hap1
r67_hap1_chr1_hap1:21104-27104	1	21104	6000	5995	27	18	23	chr1_hap1
r68_hap2_chr1_hap1:22837-26952	2	22837	4115	4108	9	5	12	chr1_hap1
r69_hap1_chr1_hap1:69373-75373	1	69373	6000	6004	24	23	19	chr1_hap1
r70_hap2_chr1_hap1:9618-12457	2	9618	2839	2842	12	13	10	chr1_hap1
r71_hap1_chr1_hap1:33953-37066	1	33953	3113	3116	12	11	8	chr1_hap1
r72_hap2_chr1_hap1:38272-44272	2	38272	6000	6004	23	20	16	chr1_hap1
r73_hap1_chr1_hap1:15090-20902	1	15090	5812	5809	27	19	22	chr1_hap1
r74_hap1_chr1_hap1:4459-10459	1	4459	6000	5989	24	10	21	chr1_hap1
r75_hap1_chr1_hap1:42827-48505	1	42827	5678	5678	27	15	15	chr1_hap1
r76_hap1_chr1_hap1:44885-50184	1	44885	5299	5310	9	19	8	chr1_hap1
r77_hap1_chr1_hap1:13919-16800	1	13919	2881	2882	10	12	11	chr1_hap1
r78_hap2_chr1_hap1:14331-20331	2	14331	6000	6001	18	19	18	chr1_hap1
r79_hap2_chr1_hap1:68007-70007	2	68007	2000	1998	10	2	4	chr1_hap1
r80_hap2_chr1_hap1:28240-31032	2	28240	2792	2793	9	10	9	chr1_hap1
r81_hap2_chr1_hap1:36991-38991	2	36991	2000	2003	7	7	4	chr1_hap1
r82_hap1_chr1_hap1:60196-63478	1	60196	3282	3287	17	11	6	chr1_hap1
r83_hap2_chr1_hap1:72444-75602	2	72444	3158	3160	9	9	7	chr1_hap1
r84_hap2_chr1_hap1:63085-65085	2	63085	2000	2000	8	11	11	chr1_hap1
r85_hap1_chr1_hap1:57631-63631	1	57631	6000	5995	28	11	16	chr1_hap1
r86_hap2_chr1_hap1:1945-7945	2	1945	6000	5999	23	15	16	chr1_hap1
r87_hap2_chr1_hap1:26776-30463	2	26776	3687	3688	19	8	7	chr1_hap1
r88_hap1_chr1_hap1:819-4574	1	819	3755	3751	20	8	12	chr1_hap1
r89_hap1_chr1_hap1:14483-20106	1	14483	5623	5627	19	14	10	chr1_hap1
r90_hap1_chr1_hap1:52289-55434	1	52289	3145	3144	9	9	10	chr1_hap1
r91_hap1_chr1_hap1:56809-62809	1	56809	6000	5996	33	12	16	chr1_hap1
r92_hap2_chr1_hap1:55929-61929	2	55929	6000	6002	24	20	18	chr1_hap1
r93_hap1_chr1_hap1:31138-35642	1	31138	4504	4517	27	23	10	chr1_hap1
r94_hap2_chr1_hap1:20805-22805	2	20805	2000	2009	8	12	3	chr1_hap1
r95_hap1_chr1_hap1:45690-48364	1	45690	2674	2675	9	6	5	chr1_hap1
r96_hap1_chr1_hap1:20320-24152	1	20320	3832	3829	16	11	14	chr1_hap1
r97_hap1_chr1_hap1:11804-17804	1	11804	6000	5999	21	17	18	chr1_hap1
r98_hap1_chr1_hap1:6167-10739	1	6167	4572	4574	22	15	13	chr1_hap1
r99_hap2_chr1_hap1:62301-68301	2	62301	6000	5999	19	13	14	chr1_hap1
r100_hap1_chr1_hap1:38329-44329	1	38329	6000	6003	19	21	18	chr1_hap1
r101_hap1_chr1_hap1:45808-48360	1	45808	2552	2552	5	6	6	chr1_hap1
r102_hap2_chr1_hap1:35291-37814	2	35291	2523	2524	12	4	3	chr1_hap1
r103_hap1_chr1_hap1:64918-68060	1	64918	3142	3150	12	12	4	chr1_hap1
r104_hap2_chr1_hap1:11040-15735	2	11040	4695	4702	14	17	10	chr1_hap1
r105_hap1_chr1_hap1:50807-52807	1	50807	2000	2001	6	4	3	chr1_hap1
r106_hap2_chr1_hap1:21840-27840	2	21840	6000	5996	31	21	25	chr1_hap1
r107_hap1_chr1_hap1:38531-40636	1	38531	2105	2102	8	1	4	chr1_hap1
r108_hap1_chr1_hap1:58552-60599	1	58552	2047	2048	4	7	6	chr1_hap1
r109_hap1_chr1_hap1:5526-9349	1	5526	3823	3821	9	16	18	chr1_hap1
r110_hap1_chr1_hap1:39449-45378	1	39449	5929	5923	19	16	22	chr1_hap1
r111_hap2_chr1_hap1:53374-57467	2	53374	4093	4093	17	13	13	chr1_hap1
r112_hap1_chr1_hap1:68786-70786	1	68786	2000	2000	8	8	8	chr1_hap1
r113_hap2_chr1_hap1:12396-18245	2	12396	5849	5846	25	16	19	chr1_hap1
r114_hap2_chr1_hap1:75508-79452	2	75508	3944	3946	27	17	15	chr1_hap1
r115_hap1_chr1_hap1:52020-58020	1	52020	6000	5992	26	13	21	chr1_hap1
r116_hap2_chr1_hap1:67527-71928	2	67527	4401	4393	17	7	15	chr1_hap1
r117_hap1_chr1_hap1:12768-14841	1	12768	2073	2069	10	6	10	chr1_hap1
r118_hap2_chr1_hap1:1951-6604	2	1951	4653	4659	16	15	9	chr1_hap1
r119_hap2_chr1_hap1:23767-29635	2	23767	5868	5864	30	18	22	chr1_hap1
r120_hap1_chr1_hap1:36591-41936	1	36591	5345	5345	25	18	18	chr1_hap1
r121_hap1_chr1_hap1:53602-57980	1	53602	4378	4376	12	15	17	chr1_hap1
r122_hap1_chr1_hap1:2706-4706	1	2706	2000	2004	7	6	2	chr1_hap1
r123_hap1_chr1_hap1:6756-10681	1	6756	3925	3929	16	14	10	chr1_hap1
r124_hap1_chr1_hap1:18728-24477	1	18728	5749	5745	18	19	23	chr1_hap1
r125_hap1_chr1_hap1:28036-30547	1	28036	2511	2506	8	3	8	chr1_hap1
r126_hap2_chr1_hap1:4895-10895	2	4895	6000	6006	17	20	14	chr1_hap1
