read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:20508-24553	2	20508	4045	4039	13	14	20	chr1_hap2
r1_hap2_chr1_hap2:14835-19976	2	14835	5141	5140	30	13	14	chr1_hap2
r2_hap2_chr1_hap2:75237-77629	2	75237	2392	2389	8	4	7	chr1_hap2
r3_hap2_chr1_hap2:68105-70507	2	68105	2402	2402	7	8	8	chr1_hap2
r4_hap1_chr1_hap1:11000-15409	1	11000	4409	4403	15	8	14	chr1_hap1
r5_hap2_chr1_hap2:75538-79482	2	75538	3944	3942	13	6	8	chr1_hap2
r6_hap2_chr1_hap2:61330-66770	2	61330	5440	5441	13	15	14	chr1_hap2
r7_hap1_chr1_hap1:27208-30260	1	27208	3052	3051	19	12	13	chr1_hap1
r8_hap2_chr1_hap2:9288-14610	2	9288	5322	5319	25	19	22	chr1_hap2
r9_hap2_chr1_hap2:11267-15177	2	11267	3910	3915	14	22	17	chr1_hap2
r10_hap2_chr1_hap2:67548-70448	2	67548	2900	2898	10	7	9	chr1_hap2
r11_hap1_chr1_hap1:68246-72681	1	68246	4435	4431	19	19	23	chr1_hap1
r12_hap2_chr1_hap2:26048-28359	2	26048	2311	2312	7	8	7	chr1_hap2
r13_hap2_chr1_hap2:14953-18225	2	14953	3272	3271	8	9	10	chr1_hap2
r14_hap1_chr1_hap1:72789-77467	1	72789	4678	4686	19	20	12	chr1_hap1
r15_hap1_chr1_hap1:74779-79623	1	74779	4844	4846	17	14	12	chr1_hap1
r16_hap2_chr1_hap2:49107-52525	2	49107	3418	3421	13	10	7	chr1_hap2
r17_hap1_chr1_hap1:19865-25507	1	19865	5642	5638	34	27	31	chr1_hap1
r18_hap2_chr1_hap2:19147-21986	2	19147	2839	2843	10	10	6	chr1_hap2
r19_hap1_chr1_hap1:58552-63678	1	58552	5126	5125	18	13	14	chr1_hap1
r20_hap2_chr1_hap2:36378-38725	2	36378	2347	2348	6	5	4	chr1_hap2
r21_hap1_chr1_hap1:8220-10865	1	8220	2645	2644	19	8	9	chr1_hap1
r22_hap2_chr1_hap2:7348-11801	2	7348	4453	4449	11	16	20	chr1_hap2
r23_hap1_chr1_hap1:10508-15444	1	10508	4936	4937	19	15	14	chr1_hap1
r24_hap1_chr1_hap1:16542-19894	1	16542	3352	3355	14	7	4	chr1_hap1
r25_hap2_chr1_hap2:1755-5538	2	1755	3783	3775	19	7	15	chr1_hap2
r26_hap1_chr1_hap1:56718-60168	1	56718	3450	3435	17	4	19	chr1_hap1
r27_hap1_chr1_hap1:51772-54470	1	51772	2698	2698	14	4	4	chr1_hap1
r28_hap1_chr1_hap1:47957-52467	1	47957	4510	4511	24	16	15	chr1_hap1
