read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:21012-25252	2	21012	4240	4235	17	14	19	chr1_hap2
r1_hap1_chr1_hap1:57511-62874	1	57511	5363	5368	29	16	11	chr1_hap1
r2_hap2_chr1_hap2:60132-62373	2	60132	2241	2240	7	5	6	chr1_hap2
r3_hap1_chr1_hap1:32382-36257	1	32382	3875	3871	10	10	14	chr1_hap1
r4_hap2_chr1_hap2:20637-23043	2	20637	2406	2405	8	6	7	chr1_hap2
r5_hap1_chr1_hap1:73224-75869	1	73224	2645	2642	12	4	7	chr1_hap1
r6_hap2_chr1_hap2:33272-38399	2	33272	5127	5133	10	14	8	chr1_hap2
r7_hap2_chr1_hap2:34712-38955	2	34712	4243	4240	19	15	18	chr1_hap2
r8_hap1_chr1_hap1:44094-47341	1	44094	3247	3251	16	13	9	chr1_hap1
r9_hap2_chr1_hap2:65688-69082	2	65688	3394	3392	13	11	13	chr1_hap2
r10_hap1_chr1_hap1:8033-12556	1	8033	4523	4525	29	17	15	chr1_hap1
r11_hap2_chr1_hap2:20787-23233	2	20787	2446	2447	8	9	8	chr1_hap2
r12_hap1_chr1_hap1:71712-74296	1	71712	2584	2591	10	13	6	chr1_hap1
r13_hap1_chr1_hap1:27576-33457	1	27576	5881	5879	20	18	20	chr1_hap1
r14_hap1_chr1_hap1:68364-70813	1	68364	2449	2446	10	7	10	chr1_hap1
r15_hap2_chr1_hap2:34200-39719	2	34200	5519	5528	18	20	11	chr1_hap2
r16_hap1_chr1_hap1:37446-40373	1	37446	2927	2924	11	6	9	chr1_hap1
r17_hap2_chr1_hap2:16651-19828	2	16651	3177	3181	15	9	5	chr1_hap2
r18_hap2_chr1_hap2:24703-28381	2	24703	3678	3675	18	18	21	chr1_hap2
r19_hap1_chr1_hap1:10245-15142	1	10245	4897	4896	22	19	20	chr1_hap1
r20_hap1_chr1_hap1:70393-75495	1	70393	5102	5103	21	13	12	chr1_hap1
r21_hap1_chr1_hap1:35476-39329	1	35476	3853	3854	23	13	12	chr1_hap1
r22_hap2_chr1_hap2:29543-35334	2	29543	5791	5786	24	17	22	chr1_hap2
r23_hap2_chr1_hap2:37389-39581	2	37389	2192	2197	9	10	5	chr1_hap2
r24_hap2_chr1_hap2:9784-12912	2	9784	3128	3128	14	6	6	chr1_hap2
r25_hap1_chr1_hap1:71786-75238	1	71786	3452	3451	14	6	7	chr1_hap1
r26_hap2_chr1_hap2:65526-67813	2	65526	2287	2288	13	6	5	chr1_hap2
r27_hap2_chr1_hap2:18838-20858	2	18838	2020	2009	7	2	13	chr1_hap2
r28_hap1_chr1_hap1:44393-47011	1	44393	2618	2617	14	7	8	chr1_hap1
r29_hap1_chr1_hap1:31412-35879	1	31412	4467	4472	27	14	9	chr1_hap1
r30_hap2_chr1_hap2:59256-64165	2	59256	4909	4906	18	15	18	chr1_hap2
r31_hap1_chr1_hap1:13068-18994	1	13068	5926	5916	29	9	19	chr1_hap1
r32_hap1_chr1_hap1:70448-75053	1	70448	4605	4603	24	12	14	chr1_hap1
r33_hap2_chr1_hap2:41947-45242	2	41947	3295	3301	16	14	8	chr1_hap2
r34_hap2_chr1_hap2:5084-8727	2	5084	3643	3644	12	14	13	chr1_hap2
r35_hap1_chr1_hap1:72868-78719	1	72868	5851	5852	23	17	16	chr1_hap1
r36_hap1_chr1_hap1:10430-14630	1	10430	4200	4196	19	12	16	chr1_hap1
r37_hap2_chr1_hap2:29890-35761	2	29890	5871	5858	14	12	25	chr1_hap2
r38_hap1_chr1_hap1:43849-47266	1	43849	3417	3414	20	10	13	chr1_hap1
r39_hap2_chr1_hap2:5717-9691	2	5717	3974	3975	20	12	11	chr1_hap2
r40_hap2_chr1_hap2:17423-22013	2	17423	4590	4576	17	10	24	chr1_hap2
r41_hap1_chr1_hap1:14858-19482	1	14858	4624	4629	20	19	14	chr1_hap1
r42_hap2_chr1_hap2:65553-70772	2	65553	5219	5220	23	19	18	chr1_hap2
r43_hap2_chr1_hap2:59340-63420	2	59340	4080	4079	12	12	13	chr1_hap2
r44_hap2_chr1_hap2:23270-27940	2	23270	4670	4664	18	14	20	chr1_hap2
r45_hap2_chr1_hap2:3126-6020	2	3126	2894	2891	10	6	9	chr1_hap2
r46_hap1_chr1_hap1:55680-58448	1	55680	2768	2769	8	10	9	chr1_hap1
r47_hap2_chr1_hap2:43345-46480	2	43345	3135	3137	10	10	8	chr1_hap2
r48_hap2_chr1_hap2:3223-7256	2	3223	4033	4031	11	8	10	chr1_hap2
r49_hap2_chr1_hap2:65490-70697	2	65490	5207	5205	28	12	14	chr1_hap2
r50_hap1_chr1_hap1:8480-11579	1	8480	3099	3105	7	9	3	chr1_hap1
r51_hap1_chr1_hap1:63324-65757	1	63324	2433	2434	5	8	7	chr1_hap1
