read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap1:14237-19258	2	14237	5021	5020	20	13	14	chr1_hap1
r1_hap1_chr1_hap1:10871-16510	1	10871	5639	5637	21	16	18	chr1_hap1
r2_hap1_chr1_hap1:3250-5960	1	3250	2710	2714	14	13	9	chr1_hap1
r3_hap1_chr1_hap1:7805-12718	1	7805	4913	4916	20	13	10	chr1_hap1
r4_hap1_chr1_hap1:13758-18878	1	13758	5120	5118	26	18	20	chr1_hap1
r5_hap1_chr1_hap1:12787-15217	1	12787	2430	2432	7	6	4	chr1_hap1
r6_hap2_chr1_hap1:7210-11184	2	7210	3974	3979	22	16	11	chr1_hap1
r7_hap1_chr1_hap1:13541-19351	1	13541	5810	5812	21	17	15	chr1_hap1
r8_hap2_chr1_hap1:7142-11434	2	7142	4292	4295	18	16	13	chr1_hap1
r9_hap2_chr1_hap1:471-5280	2	471	4809	4810	23	16	15	chr1_hap1
r10_hap2_chr1_hap1:15974-18080	2	15974	2106	2105	5	4	5	chr1_hap1
r11_hap1_chr1_hap1:1982-4163	1	1982	2181	2183	11	5	3	chr1_hap1
r12_hap2_chr1_hap1:15622-18925	2	15622	3303	3302	10	10	11	chr1_hap1
r13_hap1_chr1_hap1:11833-13934	1	11833	2101	2096	9	3	8	chr1_hap1
r14_hap1_chr1_hap1:14940-18790	1	14940	3850	3857	13	14	7	chr1_hap1
r15_hap1_chr1_hap1:12299-14338	1	12299	2039	2039	9	6	6	chr1_hap1
r16_hap1_chr1_hap1:11224-14707	1	11224	3483	3482	11	8	9	chr1_hap1
r17_hap2_chr1_hap1:11210-14800	2	11210	3590	3588	17	3	5	chr1_hap1
r18_hap2_chr1_hap1:10076-15341	2	10076	5265	5257	22	6	14	chr1_hap1
r19_hap1_chr1_hap1:12910-16037	1	12910	3127	3128	12	12	11	chr1_hap1
r20_hap2_chr1_hap1:11822-15626	2	11822	3804	3810	11	13	7	chr1_hap1
r21_hap1_chr1_hap1:686-5762	1	686	5076	5093	22	30	13	chr1_hap1
r22_hap1_chr1_hap1:14931-17536	1	14931	2605	2606	9	6	5	chr1_hap1
r23_hap1_chr1_hap1:9768-15159	1	9768	5391	5389	22	12	14	chr1_hap1
r24_hap2_chr1_hap1:14300-19911	2	14300	5611	5616	27	18	13	chr1_hap1
r25_hap2_chr1_hap1:3569-7541	2	3569	3972	3972	13	14	14	chr1_hap1
r26_hap1_chr1_hap1:11117-15441	1	11117	4324	4317	15	15	22	chr1_hap1
r27_hap2_chr1_hap1:14398-18694	2	14398	4296	4303	21	16	9	chr1_hap1
r28_hap1_chr1_hap1:14253-17533	1	14253	3280	3271	12	8	17	chr1_hap1
r29_hap2_chr1_hap1:17184-19430	2	17184	2246	2246	7	7	7	chr1_hap1
r30_hap2_chr1_hap1:9835-14121	2	9835	4286	4288	21	14	12	chr1_hap1
r31_hap1_chr1_hap1:9803-14405	1	9803	4602	4607	23	18	13	chr1_hap1
r32_hap1_chr1_hap1:9725-11876	1	9725	2151	2153	8	9	7	chr1_hap1
r33_hap1_chr1_hap1:8875-14754	1	8875	5879	5886	23	23	16	chr1_hap1
r34_hap2_chr1_hap1:15782-19732	2	15782	3950	3945	12	13	18	chr1_hap1
r35_hap1_chr1_hap1:9543-11631	1	9543	2088	2082	4	4	10	chr1_hap1
r36_hap2_chr1_hap1:160-5744	2	160	5584	5583	17	14	15	chr1_hap1
r37_hap1_chr1_hap1:13648-19597	1	13648	5949	5942	26	22	29	chr1_hap1
r38_hap1_chr1_hap1:12026-17220	1	12026	5194	5200	26	17	11	chr1_hap1
r39_hap1_chr1_hap1:10547-13436	1	10547	2889	2887	5	8	10	chr1_hap1
r40_hap2_chr1_hap1:3333-7929	2	3333	4596	4600	16	22	18	chr1_hap1
r41_hap2_chr1_hap1:10782-13919	2	10782	3137	3138	20	10	9	chr1_hap1
r42_hap1_chr1_hap1:8991-13279	1	8991	4288	4285	20	5	8	chr1_hap1
r43_hap1_chr1_hap1:4034-6399	1	4034	2365	2362	12	7	10	chr1_hap1
r44_hap2_chr1_hap1:7739-9747	2	7739	2008	2002	9	3	9	chr1_hap1
r45_hap1_chr1_hap1:8052-12676	1	8052	4624	4625	15	19	18	chr1_hap1
r46_hap2_chr1_hap1:12365-17270	2	12365	4905	4906	11	15	14	chr1_hap1
r47_hap2_chr1_hap1:14972-17004	2	14972	2032	2032	5	9	9	chr1_hap1
r48_hap2_chr1_hap1:11747-15207	2	11747	3460	3468	10	17	9	chr1_hap1
r49_hap2_chr1_hap1:6272-9178	2	6272	2906	2903	11	6	9	chr1_hap1
r50_hap1_chr1_hap1:11804-14547	1	11804	2743	2740	9	4	7	chr1_hap1
r51_hap1_chr1_hap1:986-4371	1	986	3385	3380	22	12	17	chr1_hap1
r52_hap2_chr1_hap1:3677-9369	2	3677	5692	5685	19	15	22	chr1_hap1
r53_hap1_chr1_hap1:4078-9369	1	4078	5291	5295	34	9	5	chr1_hap1
r54_hap1_chr1_hap1:10651-13561	1	10651	2910	2912	12	11	9	chr1_hap1
r55_hap2_chr1_hap1:5958-9393	2	5958	3435	3446	9	18	7	chr1_hap1
r56_hap1_chr1_hap1:7310-9591	1	7310	2281	2285	9	10	6	chr1_hap1
r57_hap2_chr1_hap1:13014-17225	2	13014	4211	4209	13	11	13	chr1_hap1
r58_hap1_chr1_hap1:3283-6172	1	3283	2889	2889	13	10	10	chr1_hap1
r59_hap2_chr1_hap1:7834-13711	2	7834	5877	5874	28	15	18	chr1_hap1
r60_hap1_chr1_hap1:1711-5921	1	1711	4210	4201	12	8	17	chr1_hap1
r61_hap1_chr1_hap1:10393-12513	1	10393	2120	2119	9	7	8	chr1_hap1
r62_hap2_chr1_hap1:17188-19630	2	17188	2442	2444	4	6	4	chr1_hap1
r63_hap2_chr1_hap1:14350-18832	2	14350	4482	4481	15	11	12	chr1_hap1
r64_hap2_chr1_hap1:5037-9601	2	5037	4564	4559	16	12	17	chr1_hap1
r65_hap1_chr1_hap1:2446-8138	1	2446	5692	5696	19	21	17	chr1_hap1
r66_hap1_chr1_hap1:8832-13650	1	8832	4818	4812	23	11	17	chr1_hap1
r67_hap1_chr1_hap1:12665-15802	1	12665	3137	3133	17	7	11	chr1_hap1
r68_hap2_chr1_hap1:1718-4274	2	1718	2556	2553	14	6	9	chr1_hap1
r69_hap1_chr1_hap1:13312-16402	1	13312	3090	3092	19	11	9	chr1_hap1
r70_hap2_chr1_hap1:12126-17506	2	12126	5380	5383	21	21	18	chr1_hap1
r71_hap2_chr1_hap1:13146-15807	2	13146	2661	2659	15	5	7	chr1_hap1
r72_hap1_chr1_hap1:12838-17667	1	12838	4829	4829	13	20	20	chr1_hap1
r73_hap2_chr1_hap1:10263-14707	2	10263	4444	4455	13	21	10	chr1_hap1
r74_hap1_chr1_hap1:2171-4251	1	2171	2080	2085	8	8	3	chr1_hap1
r75_hap1_chr1_hap1:9151-12492	1	9151	3341	3341	16	12	12	chr1_hap1
r76_hap1_chr1_hap1:9430-14558	1	9430	5128	5125	16	17	20	chr1_hap1
r77_hap2_chr1_hap1:7749-13693	2	7749	5944	5956	35	25	13	chr1_hap1
r78_hap2_chr1_hap1:4935-9762	2	4935	4827	4830	25	16	13	chr1_hap1
r79_hap1_chr1_hap1:16734-19285	1	16734	2551	2557	13	9	3	chr1_hap1
r80_hap1_chr1_hap1:3530-7770	1	3530	4240	4246	15	17	11	chr1_hap1
r81_hap1_chr1_hap1:12930-16487	1	12930	3557	3555	8	11	13	chr1_hap1
r82_hap2_chr1_hap1:4853-7570	2	4853	2717	2715	13	6	8	chr1_hap1
r83_hap2_chr1_hap1:11567-17347	2	11567	5780	5789	23	24	15	chr1_hap1
r84_hap2_chr1_hap1:1192-3308	2	1192	2116	2115	12	4	5	chr1_hap1
r85_hap1_chr1_hap1:6251-9709	1	6251	3458	3454	13	11	15	chr1_hap1
r86_hap2_chr1_hap1:11548-14911	2	11548	3363	3363	13	6	6	chr1_hap1
r87_hap2_chr1_hap1:8975-13017	2	8975	4042	4038	11	11	15	chr1_hap1
r88_hap2_chr1_hap1:1630-4864	2	1630	3234	3235	14	11	10	chr1_hap1
r89_hap2_chr1_hap1:16187-19839	2	16187	3652	3657	12	11	6	chr1_hap1
r90_hap2_chr1_hap1:5406-8468	2	5406	3062	3063	16	12	11	chr1_hap1
r91_hap1_chr1_hap1:13957-19123	1	13957	5166	5166	19	19	19	chr1_hap1
r92_hap2_chr1_hap1:895-5077	2	895	4182	4179	17	12	15	chr1_hap1
r93_hap1_chr1_hap1:12515-18158	1	12515	5643	5649	23	28	22	chr1_hap1
r94_hap2_chr1_hap1:3474-7356	2	3474	3882	3878	21	10	14	chr1_hap1
r95_hap2_chr1_hap1:264-4201	2	264	3937	3936	20	13	14	chr1_hap1
r96_hap1_chr1_hap1:4038-6824	1	4038	2786	2796	17	15	5	chr1_hap1
r97_hap1_chr1_hap1:5019-7836	1	5019	2817	2812	7	7	12	chr1_hap1
r98_hap1_chr1_hap1:14780-18800	1	14780	4020	4026	18	12	6	chr1_hap1
r99_hap1_chr1_hap1:5658-8889	1	5658	3231	3234	8	10	7	chr1_hap1
r100_hap2_chr1_hap1:220-2483	2	220	2263	2270	16	14	7	chr1_hap1
r101_hap1_chr1_hap1:1677-6866	1	1677	5189	5194	23	18	13	chr1_hap1
r102_hap1_chr1_hap1:10414-15515	1	10414	5101	5108	19	21	14	chr1_hap1
r103_hap1_chr1_hap1:14130-18807	1	14130	4677	4677	22	18	18	chr1_hap1
r104_hap1_chr1_hap1:1516-5726	1	1516	4210	4205	24	8	13	chr1_hap1
r105_hap2_chr1_hap1:4700-7657	2	4700	2957	2958	12	9	8	chr1_hap1
r106_hap1_chr1_hap1:10992-15683	1	10992	4691	4698	14	16	9	chr1_hap1
r107_hap1_chr1_hap1:11332-16106	1	11332	4774	4776	22	14	12	chr1_hap1
r108_hap2_chr1_hap1:10968-15098	2	10968	4130	4125	18	11	16	chr1_hap1
r109_hap2_chr1_hap1:2431-6830	2	2431	4399	4398	15	19	20	chr1_hap1
r110_hap1_chr1_hap1:11294-14632	1	11294	3338	3338	10	11	11	chr1_hap1
r111_hap2_chr1_hap1:17131-19898	2	17131	2767	2771	9	10	6	chr1_hap1
r112_hap1_chr1_hap1:3304-5497	1	3304	2193	2194	8	8	7	chr1_hap1
r113_hap2_chr1_hap1:6825-10768	2	6825	3943	3945	12	14	12	chr1_hap1
r114_hap1_chr1_hap1:14644-17092	1	14644	2448	2448	4	6	6	chr1_hap1
r115_hap2_chr1_hap1:11215-13374	2	11215	2159	2164	7	8	3	chr1_hap1
r116_hap2_chr1_hap1:1327-4244	2	1327	2917	2912	13	3	8	chr1_hap1
r117_hap1_chr1_hap1:8428-12806	1	8428	4378	4386	24	16	8	chr1_hap1
r118_hap1_chr1_hap1:2271-5240	1	2271	2969	2977	10	13	5	chr1_hap1
r119_hap1_chr1_hap1:3259-6977	1	3259	3718	3714	10	7	11	chr1_hap1
r120_hap1_chr1_hap1:1457-7134	1	1457	5677	5682	17	19	14	chr1_hap1
r121_hap1_chr1_hap1:9691-12740	1	9691	3049	3051	10	8	6	chr1_hap1
r122_hap1_chr1_hap1:2034-4700	1	2034	2666	2674	7	15	7	chr1_hap1
r123_hap1_chr1_hap1:8267-10529	1	8267	2262	2259	8	5	8	chr1_hap1
r124_hap2_chr1_hap1:15054-19594	2	15054	4540	4542	15	10	8	chr1_hap1
r125_hap1_chr1_hap1:11313-14687	1	11313	3374	3371	19	14	17	chr1_hap1
r126_hap1_chr1_hap1:15955-18455	1	15955	2500	2501	12	9	8	chr1_hap1
r127_hap2_chr1_hap1:8911-11049	2	8911	2138	2133	10	4	9	chr1_hap1
r128_hap1_chr1_hap1:15297-18556	1	15297	3259	3257	15	10	12	chr1_hap1
r129_hap1_chr1_hap1:2393-6161	1	2393	3768	3765	19	10	13	chr1_hap1
r130_hap2_chr1_hap1:3654-6657	2	3654	3003	3009	16	10	4	chr1_hap1
r131_hap1_chr1_hap1:4251-10166	1	4251	5915	5928	21	32	19	chr1_hap1
r132_hap2_chr1_hap1:16318-18648	2	16318	2330	2329	6	7	8	chr1_hap1
r133_hap2_chr1_hap1:5223-10807	2	5223	5584	5579	11	10	15	chr1_hap1
r134_hap2_chr1_hap1:11908-14092	2	11908	2184	2182	13	7	9	chr1_hap1
r135_hap2_chr1_hap1:7893-10085	2	7893	2192	2195	9	11	8	chr1_hap1
r136_hap2_chr1_hap1:8872-10928	2	8872	2056	2062	11	7	1	chr1_hap1
r137_hap1_chr1_hap1:7660-12272	1	7660	4612	4614	20	16	14	chr1_hap1
r138_hap1_chr1_hap1:640-5135	1	640	4495	4492	10	13	16	chr1_hap1
r139_hap1_chr1_hap1:9911-15436	1	9911	5525	5527	23	20	18	chr1_hap1
r140_hap1_chr1_hap1:6566-12540	1	6566	5974	5984	24	27	17	chr1_hap1
r141_hap1_chr1_hap1:4888-7459	1	4888	2571	2578	15	11	4	chr1_hap1
r142_hap1_chr1_hap1:8789-11631	1	8789	2842	2847	3	10	5	chr1_hap1
r143_hap2_chr1_hap1:4188-9184	2	4188	4996	4998	17	17	15	chr1_hap1
r144_hap2_chr1_hap1:316-4602	2	316	4286	4287	15	14	13	chr1_hap1
r145_hap2_chr1_hap1:6422-10799	2	6422	4377	4382	14	16	11	chr1_hap1
r146_hap2_chr1_hap1:6099-11192	2	6099	5093	5097	18	15	11	chr1_hap1
r147_hap2_chr1_hap1:15155-17307	2	15155	2152	2152	5	4	4	chr1_hap1
r148_hap1_chr1_hap1:8494-11629	1	8494	3135	3136	10	11	10	chr1_hap1
r149_hap2_chr1_hap1:9839-12154	2	9839	2315	2312	12	8	11	chr1_hap1
r150_hap1_chr1_hap1:1669-4596	1	1669	2927	2927	16	6	6	chr1_hap1
r151_hap2_chr1_hap1:2887-5759	2	2887	2872	2868	14	7	11	chr1_hap1
r152_hap1_chr1_hap1:14255-17498	1	14255	3243	3248	12	14	9	chr1_hap1
r153_hap2_chr1_hap1:10339-15742	2	10339	5403	5405	25	15	13	chr1_hap1
r154_hap1_chr1_hap1:267-2983	1	267	2716	2714	11	10	12	chr1_hap1
r155_hap2_chr1_hap1:13475-16589	2	13475	3114	3115	17	11	10	chr1_hap1
r156_hap1_chr1_hap1:3479-8149	1	3479	4670	4668	18	11	13	chr1_hap1
r157_hap1_chr1_hap1:5962-9125	1	5962	3163	3169	12	16	10	chr1_hap1
r158_hap1_chr1_hap1:3386-8602	1	3386	5216	5226	22	22	12	chr1_hap1
r159_hap1_chr1_hap1:7878-13109	1	7878	5231	5229	26	14	16	chr1_hap1
r160_hap1_chr1_hap1:17587-19613	1	17587	2026	2019	9	4	11	chr1_hap1
r161_hap2_chr1_hap1:2856-8270	2	2856	5414	5407	16	12	19	chr1_hap1
r162_hap1_chr1_hap1:8063-13172	1	8063	5109	5106	23	18	21	chr1_hap1
r163_hap1_chr1_hap1:11383-15514	1	11383	4131	4129	15	7	9	chr1_hap1
r164_hap2_chr1_hap1:5404-9447	2	5404	4043	4041	18	10	12	chr1_hap1
r165_hap2_chr1_hap1:2405-7015	2	2405	4610	4605	19	7	12	chr1_hap1
r166_hap1_chr1_hap1:5235-8592	1	5235	3357	3352	14	9	14	chr1_hap1
r167_hap2_chr1_hap1:11770-17300	2	11770	5530	5517	15	13	26	chr1_hap1
r168_hap1_chr1_hap1:10040-13242	1	10040	3202	3202	18	9	9	chr1_hap1
r169_hap2_chr1_hap1:10151-14271	2	10151	4120	4123	19	16	13	chr1_hap1
r170_hap2_chr1_hap1:9584-14700	2	9584	5116	5110	23	17	23	chr1_hap1
r171_hap1_chr1_hap1:10216-13279	1	10216	3063	3064	13	12	11	chr1_hap1
r172_hap1_chr1_hap1:13132-16450	1	13132	3318	3311	17	5	12	chr1_hap1
r173_hap2_chr1_hap1:1296-6711	2	1296	5415	5418	21	18	15	chr1_hap1
r174_hap1_chr1_hap1:52-5865	1	52	5813	5812	14	14	15	chr1_hap1
r175_hap2_chr1_hap1:16053-18539	2	16053	2486	2488	7	7	5	chr1_hap1
r176_hap1_chr1_hap1:13978-19038	1	13978	5060	5067	15	14	7	chr1_hap1
r177_hap2_chr1_hap1:5990-8377	2	5990	2387	2394	12	14	7	chr1_hap1
r178_hap2_chr1_hap1:13452-16359	2	13452	2907	2909	9	10	8	chr1_hap1
r179_hap1_chr1_hap1:11835-17707	1	11835	5872	5873	21	19	18	chr1_hap1
r180_hap2_chr1_hap1:6736-10017	2	6736	3281	3278	9	10	13	chr1_hap1
r181_hap2_chr1_hap1:9303-12169	2	9303	2866	2863	7	10	13	chr1_hap1
r182_hap1_chr1_hap1:3668-6317	1	3668	2649	2652	13	6	3	chr1_hap1
r183_hap2_chr1_hap1:10059-13554	2	10059	3495	3499	11	15	11	chr1_hap1
r184_hap1_chr1_hap1:11214-13710	1	11214	2496	2499	12	7	4	chr1_hap1
r185_hap2_chr1_hap1:13139-17369	2	13139	4230	4221	10	5	14	chr1_hap1
r186_hap2_chr1_hap1:5739-10342	2	5739	4603	4599	19	14	18	chr1_hap1
r187_hap2_chr1_hap1:9307-14180	2	9307	4873	4869	21	13	17	chr1_hap1
r188_hap1_chr1_hap1:12502-17976	1	12502	5474	5468	19	19	25	chr1_hap1
r189_hap1_chr1_hap1:1357-5030	1	1357	3673	3672	16	12	13	chr1_hap1
r190_hap1_chr1_hap1:3020-7322	1	3020	4302	4304	15	15	13	chr1_hap1
r191_hap1_chr1_hap1:13134-17351	1	13134	4217	4216	8	14	15	chr1_hap1
r192_hap2_chr1_hap1:8723-14201	2	8723	5478	5485	25	29	22	chr1_hap1
r193_hap2_chr1_hap1:448-6189	2	448	5741	5739	23	18	20	chr1_hap1
r194_hap2_chr1_hap1:11064-16128	2	11064	5064	5065	30	17	16	chr1_hap1
r195_hap1_chr1_hap1:8023-10612	1	8023	2589	2593	9	13	9	chr1_hap1
r196_hap2_chr1_hap1:7986-13712	2	7986	5726	5732	21	23	17	chr1_hap1
r197_hap2_chr1_hap1:9805-14266	2	9805	4461	4466	12	15	10	chr1_hap1
r198_hap1_chr1_hap1:13083-15569	1	13083	2486	2493	8	11	4	chr1_hap1
r199_hap2_chr1_hap1:1569-7146	2	1569	5577	5579	16	20	18	chr1_hap1
