read_id	hap	start0	len	contig
r0_hap2_chr1_hap1:4304-8349	2	4304	4045	chr1_hap1
r1_hap1_chr1_hap1:292-2593	1	292	2301	chr1_hap1
r2_hap2_chr1_hap1:14059-18657	2	14059	4598	chr1_hap1
r3_hap2_chr1_hap1:10299-16182	2	10299	5883	chr1_hap1
r4_hap2_chr1_hap1:14737-18977	2	14737	4240	chr1_hap1
r5_hap2_chr1_hap1:41-4725	2	41	4684	chr1_hap1
r6_hap2_chr1_hap1:530-4747	2	530	4217	chr1_hap1
r7_hap2_chr1_hap1:2567-7954	2	2567	5387	chr1_hap1
r8_hap2_chr1_hap1:9699-11787	2	9699	2088	chr1_hap1
r9_hap1_chr1_hap1:6795-10719	1	6795	3924	chr1_hap1
r10_hap1_chr1_hap1:2234-4255	1	2234	2021	chr1_hap1
r11_hap2_chr1_hap1:10289-14391	2	10289	4102	chr1_hap1
r12_hap2_chr1_hap1:5734-10790	2	5734	5056	chr1_hap1
r13_hap2_chr1_hap1:14497-19717	2	14497	5220	chr1_hap1
r14_hap2_chr1_hap1:9236-15037	2	9236	5801	chr1_hap1
r15_hap2_chr1_hap1:5905-10721	2	5905	4816	chr1_hap1
r16_hap1_chr1_hap1:11316-15632	1	11316	4316	chr1_hap1
r17_hap2_chr1_hap1:5118-8620	2	5118	3502	chr1_hap1
r18_hap1_chr1_hap1:13453-18329	1	13453	4876	chr1_hap1
r19_hap2_chr1_hap1:5680-9805	2	5680	4125	chr1_hap1
r20_hap2_chr1_hap1:5466-8484	2	5466	3018	chr1_hap1
r21_hap2_chr1_hap1:5400-9418	2	5400	4018	chr1_hap1
r22_hap1_chr1_hap1:14856-18169	1	14856	3313	chr1_hap1
r23_hap1_chr1_hap1:9437-14294	1	9437	4857	chr1_hap1
r24_hap1_chr1_hap1:13732-17240	1	13732	3508	chr1_hap1
r25_hap2_chr1_hap1:4005-7271	2	4005	3266	chr1_hap1
r26_hap2_chr1_hap1:1035-3352	2	1035	2317	chr1_hap1
r27_hap1_chr1_hap1:2360-6655	1	2360	4295	chr1_hap1
r28_hap1_chr1_hap1:11483-17063	1	11483	5580	chr1_hap1
r29_hap1_chr1_hap1:776-5844	1	776	5068	chr1_hap1
r30_hap1_chr1_hap1:2781-8768	1	2781	5987	chr1_hap1
r31_hap1_chr1_hap1:8999-13492	1	8999	4493	chr1_hap1
r32_hap1_chr1_hap1:9671-15280	1	9671	5609	chr1_hap1
r33_hap1_chr1_hap1:14101-19134	1	14101	5033	chr1_hap1
r34_hap1_chr1_hap1:1630-6176	1	1630	4546	chr1_hap1
r35_hap2_chr1_hap1:13856-18912	2	13856	5056	chr1_hap1
r36_hap1_chr1_hap1:15372-19269	1	15372	3897	chr1_hap1
r37_hap1_chr1_hap1:7569-9768	1	7569	2199	chr1_hap1
r38_hap2_chr1_hap1:16521-19919	2	16521	3398	chr1_hap1
r39_hap2_chr1_hap1:8251-10316	2	8251	2065	chr1_hap1
r40_hap2_chr1_hap1:8143-11773	2	8143	3630	chr1_hap1
r41_hap2_chr1_hap1:13421-16342	2	13421	2921	chr1_hap1
r42_hap1_chr1_hap1:12393-15520	1	12393	3127	chr1_hap1
r43_hap2_chr1_hap1:13331-19029	2	13331	5698	chr1_hap1
r44_hap1_chr1_hap1:12737-15266	1	12737	2529	chr1_hap1
r45_hap2_chr1_hap1:14836-19509	2	14836	4673	chr1_hap1
r46_hap1_chr1_hap1:15134-17611	1	15134	2477	chr1_hap1
r47_hap2_chr1_hap1:14062-19372	2	14062	5310	chr1_hap1
r48_hap1_chr1_hap1:15497-19564	1	15497	4067	chr1_hap1
r49_hap2_chr1_hap1:13541-17076	2	13541	3535	chr1_hap1
r50_hap1_chr1_hap1:3879-7186	1	3879	3307	chr1_hap1
r51_hap2_chr1_hap1:16109-18667	2	16109	2558	chr1_hap1
r52_hap1_chr1_hap1:8781-12487	1	8781	3706	chr1_hap1
r53_hap1_chr1_hap1:16205-18800	1	16205	2595	chr1_hap1
r54_hap1_chr1_hap1:10791-16049	1	10791	5258	chr1_hap1
r55_hap2_chr1_hap1:453-4460	2	453	4007	chr1_hap1
r56_hap2_chr1_hap1:268-3509	2	268	3241	chr1_hap1
