read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:4640-7993	2	4640	3353	3346	18	7	14	chr1_hap2
r1_hap2_chr1_hap2:74373-78420	2	74373	4047	4042	15	5	10	chr1_hap2
r2_hap1_chr1_hap1:17599-23183	1	17599	5584	5582	20	12	14	chr1_hap1
r3_hap2_chr1_hap2:16388-21900	2	16388	5512	5516	19	16	12	chr1_hap2
r4_hap2_chr1_hap2:34259-37464	2	34259	3205	3205	15	11	11	chr1_hap2
r5_hap1_chr1_hap1:49443-51523	1	49443	2080	2079	14	8	9	chr1_hap1
r6_hap2_chr1_hap2:75180-78858	2	75180	3678	3682	14	14	10	chr1_hap2
r7_hap1_chr1_hap1:50912-55435	1	50912	4523	4526	21	14	11	chr1_hap1
r8_hap2_chr1_hap2:57136-63079	2	57136	5943	5938	18	13	18	chr1_hap2
r9_hap2_chr1_hap2:70693-75859	2	70693	5166	5160	20	8	14	chr1_hap2
r10_hap1_chr1_hap1:10862-16571	1	10862	5709	5711	22	18	16	chr1_hap1
r11_hap2_chr1_hap2:7675-12517	2	7675	4842	4848	13	20	14	chr1_hap2
r12_hap1_chr1_hap1:26182-31073	1	26182	4891	4883	20	10	18	chr1_hap1
r13_hap1_chr1_hap1:15694-21680	1	15694	5986	5979	21	16	23	chr1_hap1
r14_hap1_chr1_hap1:21714-23787	1	21714	2073	2066	9	4	11	chr1_hap1
r15_hap1_chr1_hap1:25307-27557	1	25307	2250	2251	7	5	4	chr1_hap1
r16_hap1_chr1_hap1:30529-35752	1	30529	5223	5219	20	22	26	chr1_hap1
r17_hap2_chr1_hap2:7695-10495	2	7695	2800	2800	13	7	7	chr1_hap2
r18_hap2_chr1_hap2:10769-13774	2	10769	3005	3008	13	11	8	chr1_hap2
r19_hap2_chr1_hap2:74124-77909	2	74124	3785	3789	11	12	8	chr1_hap2
r20_hap1_chr1_hap1:18416-22414	1	18416	3998	3996	7	13	15	chr1_hap1
r21_hap2_chr1_hap2:5210-10718	2	5210	5508	5506	26	17	19	chr1_hap2
r22_hap1_chr1_hap1:45870-47939	1	45870	2069	2066	12	3	6	chr1_hap1
r23_hap1_chr1_hap1:42651-45087	1	42651	2436	2438	12	7	5	chr1_hap1
r24_hap2_chr1_hap2:39810-45544	2	39810	5734	5738	19	19	15	chr1_hap2
r25_hap1_chr1_hap1:11896-17523	1	11896	5627	5632	25	21	16	chr1_hap1
r26_hap1_chr1_hap1:12528-17981	1	12528	5453	5457	17	18	14	chr1_hap1
r27_hap1_chr1_hap1:64400-68550	1	64400	4150	4150	16	17	17	chr1_hap1
r28_hap1_chr1_hap1:29515-32264	1	29515	2749	2747	13	4	6	chr1_hap1
r29_hap1_chr1_hap1:19366-23016	1	19366	3650	3656	17	15	9	chr1_hap1
r30_hap1_chr1_hap1:60755-66321	1	60755	5566	5562	15	12	16	chr1_hap1
r31_hap2_chr1_hap2:2707-8177	2	2707	5470	5473	19	20	17	chr1_hap2
r32_hap1_chr1_hap1:20750-24480	1	20750	3730	3730	16	10	10	chr1_hap1
r33_hap1_chr1_hap1:27561-32834	1	27561	5273	5262	19	13	24	chr1_hap1
r34_hap2_chr1_hap2:51169-53355	2	51169	2186	2185	13	4	5	chr1_hap2
r35_hap2_chr1_hap2:32527-37890	2	32527	5363	5367	16	11	7	chr1_hap2
r36_hap1_chr1_hap1:21968-25542	1	21968	3574	3571	19	8	11	chr1_hap1
r37_hap2_chr1_hap2:39437-44841	2	39437	5404	5399	33	15	20	chr1_hap2
r38_hap2_chr1_hap2:39352-42078	2	39352	2726	2728	7	11	9	chr1_hap2
r39_hap1_chr1_hap1:12704-16128	1	12704	3424	3423	12	10	11	chr1_hap1
r40_hap2_chr1_hap2:18827-21619	2	18827	2792	2782	15	4	14	chr1_hap2
r41_hap1_chr1_hap1:23346-29204	1	23346	5858	5856	27	14	16	chr1_hap1
r42_hap1_chr1_hap1:22830-27016	1	22830	4186	4188	18	14	12	chr1_hap1
r43_hap2_chr1_hap2:24538-29526	2	24538	4988	4986	15	9	11	chr1_hap2
r44_hap2_chr1_hap2:32658-38317	2	32658	5659	5657	23	18	20	chr1_hap2
r45_hap2_chr1_hap2:1727-4938	2	1727	3211	3207	16	7	11	chr1_hap2
r46_hap1_chr1_hap1:15723-18500	1	15723	2777	2782	11	13	8	chr1_hap1
r47_hap2_chr1_hap2:4658-9652	2	4658	4994	4991	20	11	14	chr1_hap2
r48_hap2_chr1_hap2:5146-8537	2	5146	3391	3392	15	12	11	chr1_hap2
r49_hap2_chr1_hap2:1095-6879	2	1095	5784	5783	32	18	19	chr1_hap2
r50_hap1_chr1_hap1:19043-22050	1	19043	3007	3009	10	9	7	chr1_hap1
r51_hap1_chr1_hap1:14659-20588	1	14659	5929	5929	21	21	21	chr1_hap1
r52_hap1_chr1_hap1:50948-55058	1	50948	4110	4106	16	10	14	chr1_hap1
